state,county,median_income,frac_male,frac_male_0_5,frac_male_5_9,frac_male_10_14,frac_male_15_17,frac_male_18_19,frac_male_20,frac_male_21,frac_male_22_24,frac_male_25_29,frac_male_30_34,frac_male_35_39,frac_male_40_44,frac_male_45_49,frac_male_50_54,frac_male_55_59,frac_male_60_61,frac_male_62_64,frac_male_65_66,frac_male_67_69,frac_male_70_74,frac_male_75_79,frac_male_80_84,frac_male_85,frac_female_0_5,frac_female_5_9,frac_female_10_14,frac_female_15_17,frac_female_18_19,frac_female_20,frac_female_21,frac_female_22_24,frac_female_25_29,frac_female_30_34,frac_female_35_39,frac_female_40_44,frac_female_45_49,frac_female_50_54,frac_female_55_59,frac_female_60_61,frac_female_62_64,frac_female_65_66,frac_female_67_69,frac_female_70_74,frac_female_75_79,frac_female_80_84,frac_female_85,frac_white,frac_black,frac_asian,frac_hispanic,totalworkers,car_allworkers,public_transit_allworkers,walk_allworkers,bike_allworkers,cab_allworkers,car_commuter,publictransit_commuter,walked_commuter,bike_commuter,cab_commuter,fips,region,division,stname,ctyname,pop,pop_density
1,1,62216,.4868478,.0324094,.0366123,.0317754,.0227536,.0137681,.0072283,.0071739,.0164855,.0308877,.0307428,.036087,.0285507,.0344022,.0350906,.0386957,.0090399,.0119565,.0067754,.010942,.0200181,.0110326,.0081341,.0062862,.0267029,.0360145,.0328985,.0230254,.0102899,.0088768,.003587,.0171014,.0354167,.0309239,.0380978,.0308514,.035779,.0369928,.0361413,.0152536,.0125543,.0094384,.0139855,.0241848,.0161051,.0104529,.0084783,.7687863,.1913949,.0102899,.0276812,24428,95.2,.1,.6,.1,1.3,.97841727,.00102775,.0061665,.00102775,.01336074,1001,3,6,"Alabama","Autauga County",55869,93.98536
1,3,53853,.4862306,.0281346,.0266738,.0362506,.0198648,.0114316,.0051848,.0044112,.0165492,.0282259,.027409,.0292734,.0299509,.0314982,.0345976,.0331897,.0126137,.0202973,.0126425,.0178562,.0254821,.0168759,.0107589,.0070589,.0276492,.0294944,.0325746,.0188461,.0109175,.0057567,.004022,.0159245,.0285959,.0278559,.0304459,.0322719,.0343045,.0357316,.0361977,.0148001,.0236513,.0133441,.0193026,.0293455,.018553,.0122677,.0119169,.862662,.0949704,.0080728,.0449432,91420,91.7,.1,.7,.1,1.3,.97657082,.00106496,.00745474,.00106496,.01384451,1003,3,6,"Alabama","Baldwin County",223234,140.4163
1,5,31642,.5312621,.0278101,.0260259,.0353735,.0183849,.0103173,.0110154,.0070204,.0194322,.0450702,.0432472,.037468,.0350244,.0371189,.0355287,.033473,.0122954,.0189279,.0120239,.0122566,.0258708,.0150493,.0083004,.0042278,.0261035,.0302149,.0296719,.0172601,.0096579,.0059344,.0050811,.015825,.0271895,.0270344,.0267629,.0211388,.0277325,.0335118,.0307967,.0120239,.0207897,.0112869,.0231945,.0247459,.0175704,.0130711,.0121403,.473819,.4757583,.0037235,.0428981,8538,94.2,.3,2.1,0,2.1,.95440729,.00303951,.0212766,0,.0212766,1005,3,6,"Alabama","Barbour County",24686,27.89782
1,7,46944,.5394416,.0307187,.0288987,.0306299,.0240156,.0197097,.0051494,.0025747,.023039,.0399077,.0441692,.037111,.036312,.041417,.0423492,.0346695,.0116305,.0146491,.0093665,.0182448,.0221068,.0118081,.0062148,.0047499,.0258801,.0233941,.0265903,.0166911,.0067918,.0129178,.0057265,.0167799,.0292094,.0232166,.0274781,.0276113,.0390642,.0298309,.0316509,.0129622,.0147379,.0094997,.0197097,.0152706,.015892,.0154481,.0142052,.7665468,.2227549,.0016425,.024282,7946,95.5,.5,.6,0,.9,.97948718,.00512821,.00615385,0,.00923077,1007,3,6,"Alabama","Bibb County",22394,35.96969
1,9,45000,.4932605,.0314511,.0293694,.0367421,.0210773,.0135831,.002897,.0069564,.0188915,.0289531,.0290572,.0262122,.0359615,.0339145,.0354931,.0358574,.0103391,.0177466,.0101136,.0168098,.022413,.012976,.0096626,.0067829,.0290051,.0336369,.0325614,.0197936,.0100269,.0072339,.0036777,.0156648,.0300286,.0296817,.0265244,.035389,.0347645,.033689,.0317113,.0147454,.0198456,.0175904,.0132535,.0261948,.0178333,.0156475,.0082401,.9550525,.0149536,.0034348,.0912655,21148,96.6,.1,.2,0,.8,.98874104,.00102354,.00204708,0,.00818833,1009,3,6,"Alabama","Blount County",57826,89.67999
1,11,26117,.547044,.0306221,.0345827,.0238601,.0206723,.0262751,.0097566,.0141036,.0177743,.0411515,.0276275,.0544822,.0335201,.0328439,.0386399,.0318779,.014973,.0281105,.0158424,.008211,.0250193,.010143,.0064722,.000483,.0269513,.0266615,.0283037,.0160355,.011592,0,.0084042,.0181607,.0266615,.0127512,.0287867,.0376739,.0261785,.0300425,.0254057,.0279173,.0114954,.0102396,.0212519,.0170981,.0138138,.011109,.0164219,.2198609,.7624614,.0054096,.0049266,3940,91.4,0,5.8,0,0,.94032922,0,.05967078,0,0,1011,3,6,"Alabama","Bullock County",10101,16.21862
1,13,40536,.4678152,.0297129,.0341074,.0352559,.020824,.0114856,.0075905,.0066916,.0133833,.0303121,.026417,.0218227,.0335581,.0263171,.0275156,.0346567,.0105368,.019975,.0078402,.0166792,.0242197,.0110362,.0077403,.0101373,.0304619,.0304619,.0283645,.0188265,.0133833,.0088889,.004794,.0122347,.0315106,.032809,.0387516,.0257678,.03201,.0353558,.0382522,.0180774,.0198252,.013633,.0161298,.0254182,.0265668,.0129838,.0176779,.5200499,.4521848,.0115356,.0033458,7769,96.3,0,.9,0,1.2,.97865854,0,.00914634,0,.01219512,1013,3,6,"Alabama","Butler County",19448,25.03525
1,15,45509,.4805905,.027785,.0303046,.0323203,.0209734,.0140402,.0081756,.0083842,.0164729,.0341274,.0294097,.0282455,.029905,.0295314,.0338147,.0306087,.0157431,.0193053,.01126,.0150133,.0196702,.012763,.007498,.005239,.0292273,.0291578,.0298702,.0192705,.0132496,.004431,.0065683,.0222245,.0355262,.031408,.0329111,.0292273,.0325722,.0340406,.0376027,.0160124,.0191228,.0129542,.0186971,.0222245,.0178543,.0126848,.0125719,.7433491,.205703,.009253,.0365167,47147,94.4,.3,1.2,0,1,.97420021,.00309597,.0123839,0,.01031992,1015,3,6,"Alabama","Calhoun County",113605,187.5022
1,17,37656,.4806066,.0289127,.0273458,.0304499,.0189204,.0117957,.007716,.0079229,.0265772,.0224384,.0265476,.026252,.0300065,.033968,.0342045,.0394371,.0115887,.0163779,.0106723,.0171466,.0229114,.0153728,.0077455,.0062969,.0287353,.0237391,.0316029,.0174126,.0098149,.0070656,.0052327,.0201324,.0316325,.0284988,.0287649,.0324307,.0334654,.0357713,.0385502,.0144563,.0227636,.0133034,.020635,.0269319,.0196594,.0143381,.0144563,.5759771,.3937504,.011973,.0227044,14396,96.7,.2,.6,0,.7,.98472505,.00203666,.00610998,0,.00712831,1017,3,6,"Alabama","Chambers County",33254,55.74586
1,19,44333,.4958805,.0259158,.0254129,.0310215,.0202684,.0100569,.0064596,.00762,.0159363,.0286234,.0196882,.0327235,.0241751,.0353151,.0364755,.0405369,.013306,.0213515,.0145824,.0244459,.0246393,.0234789,.0090125,.004835,.0206552,.031447,.0277724,.0219704,.0097087,.0054152,.0030944,.0149692,.0269601,.0225506,.0276564,.0282752,.0323367,.0367462,.0386415,.0187986,.0206939,.0167099,.0190694,.0330716,.0224732,.0114107,.0136928,.9282095,.0490079,.0021274,.0153947,9671,96.5,.2,.3,0,1.2,.98268839,.00203666,.00305499,0,.01221996,1019,3,6,"Alabama","Cherokee County",26196,47.30933
1,21,45404,.4933303,.0322331,.035898,.0318006,.024539,.0117915,.0066925,.0049397,.0181425,.0330526,.0317095,.0332575,.0320282,.0300023,.0316868,.032051,.0178921,.0137719,.0112452,.0116549,.021466,.0157068,.0065559,.0052128,.0307535,.0347371,.0335079,.0188937,.0090371,.0061006,.0096517,.013089,.0342135,.0337127,.0285682,.0338038,.0347143,.0323469,.0370817,.0133166,.0173003,.0106533,.0130662,.0260642,.0158206,.011746,.0084908,.8331209,.0944229,.0043251,.0777601,17207,96.1,0,.4,0,1,.98564103,0,.00410256,0,.01025641,1021,3,6,"Alabama","Chilton County",44428,64.1235
1,23,34476,.4782409,.0222562,.0292925,.0304398,.0256214,.0091013,.0032122,.0116252,.0122371,.0266157,.0228681,.0303633,.0217973,.0295985,.035717,.0412237,.0134608,.0161377,.0153728,.0187381,.0229446,.0278394,.0053537,.0064245,.0290631,.0247801,.0276864,.0135373,.0134608,.0065774,.0018356,.0175908,.0260803,.0258509,.016826,.0416061,.0335755,.0392352,.0409178,.0097897,.0294455,.0107075,.0221797,.0360229,.0241683,.0146845,.0161377,.5674952,.4275334,.0009943,.0055832,4128,95.1,0,1.5,.1,1.5,.96843177,0,.01527495,.00101833,.01527495,1023,3,6,"Alabama","Choctaw County",12589,13.78112
1,25,38176,.4731619,.0277607,.0282528,.0327224,.0209948,.0104564,.0044696,.0068479,.0214869,.0267356,.0236191,.0264895,.0291959,.0306311,.0339115,.037233,.0113175,.0174683,.0112355,.0176323,.0215279,.0176734,.0119326,.0035675,.0281707,.0281297,.0325173,.02243,.0121786,.0081191,.0048796,.0188215,.0291139,.0268586,.0351007,.0289909,.0336655,.037807,.0423176,.0118916,.0197236,.0091852,.0248493,.0211588,.0215279,.0139008,.0155001,.5304055,.4581539,.0050437,.0019683,7529,97.5,.1,.7,.1,.6,.98484848,.0010101,.00707071,.0010101,.00606061,1025,3,6,"Alabama","Clarke County",23622,19.0737
1,27,46333,.4831814,.0238451,.0196591,.042981,.0201076,.0159217,.0162954,.008073,.0092689,.0177157,.0145762,.0297503,.036403,.0319181,.0344596,.04328,.0099417,.0189864,.0094932,.0163702,.0275078,.0198086,.0103902,.0064285,.0262371,.0290028,.0315443,.0173419,.0133802,.0076992,.0033637,.0212289,.0282553,.0287038,.0293018,.0281806,.0289281,.0410375,.040888,.0085215,.0249664,.0128569,.0213784,.0278068,.0195844,.0144267,.0121842,.830169,.1477799,.0013455,.0310211,5427,95.4,0,.7,0,.6,.98655636,0,.00723888,0,.00620476,1027,3,6,"Alabama","Clay County",13235,21.91376
1,29,42139,.4874147,.028317,.031865,.0334717,.0213549,.0113134,.0032802,.0067613,.0156647,.0291873,.0273129,.0242335,.0379569,.0344089,.0334717,.0298567,.0187441,.0168028,.0137234,.0191458,.0191458,.0210872,.0034141,.0068952,.0266435,.0387602,.0309278,.0188111,.0084349,.0048869,.0025438,.01774,.0279154,.0297898,.0314634,.0284509,.0398313,.0335386,.0348106,.010644,.0231624,.0146606,.022493,.0191458,.0150623,.0121837,.0206855,.9417593,.0263087,.0002008,.0242335,5355,95.8,0,.7,0,.1,.99171843,0,.00724638,0,.0010352,1029,3,6,"Alabama","Cleburne County",14910,26.62016
