GEO_ID,NAME,S0801_C01_001E,S0801_C01_001M,S0801_C01_002E,S0801_C01_009E,S0801_C01_010E,S0801_C01_011E,S0801_C01_012E,,,,,
id,Geographic Area Name,Total Workers,Margin of Error!!Total MOE!!Workers 16 years and over,"Car, truck, or van to work",Public transportation (excluding taxicab) to work,Walked to work,Bicycle to work,"Taxicab, motorcycle, or other means to work",Fraction Car,Fraction Public Transit,Fraction Walked,Fraction Bike,Fraction Cab
0500000US01001,"Autauga County, Alabama",24428,746,95.2,0.1,0.6,0.1,1.3,0.978417266,0.001027749,0.006166495,0.001027749,0.01336074
0500000US01003,"Baldwin County, Alabama",91420,1623,91.7,0.1,0.7,0.1,1.3,0.97657082,0.001064963,0.007454739,0.001064963,0.013844515
0500000US01005,"Barbour County, Alabama",8538,415,94.2,0.3,2.1,0,2.1,0.954407295,0.003039514,0.021276596,0,0.021276596
0500000US01007,"Bibb County, Alabama",7946,500,95.5,0.5,0.6,0,0.9,0.979487179,0.005128205,0.006153846,0,0.009230769
0500000US01009,"Blount County, Alabama",21148,692,96.6,0.1,0.2,0,0.8,0.988741044,0.001023541,0.002047083,0,0.008188332
0500000US01011,"Bullock County, Alabama",3940,482,91.4,0,5.8,0,0,0.940329218,0,0.059670782,0,0
0500000US01013,"Butler County, Alabama",7769,337,96.3,0,0.9,0,1.2,0.978658537,0,0.009146341,0,0.012195122
0500000US01015,"Calhoun County, Alabama",47147,1150,94.4,0.3,1.2,0,1,0.974200206,0.003095975,0.012383901,0,0.010319917
0500000US01017,"Chambers County, Alabama",14396,519,96.7,0.2,0.6,0,0.7,0.984725051,0.00203666,0.00610998,0,0.00712831
0500000US01019,"Cherokee County, Alabama",9671,442,96.5,0.2,0.3,0,1.2,0.982688391,0.00203666,0.00305499,0,0.012219959
0500000US01021,"Chilton County, Alabama",17207,735,96.1,0,0.4,0,1,0.985641026,0,0.004102564,0,0.01025641
0500000US01023,"Choctaw County, Alabama",4128,312,95.1,0,1.5,0.1,1.5,0.968431772,0,0.015274949,0.00101833,0.015274949
0500000US01025,"Clarke County, Alabama",7529,425,97.5,0.1,0.7,0.1,0.6,0.984848485,0.001010101,0.007070707,0.001010101,0.006060606
0500000US01027,"Clay County, Alabama",5427,341,95.4,0,0.7,0,0.6,0.98655636,0,0.007238883,0,0.006204757
0500000US01029,"Cleburne County, Alabama",5355,287,95.8,0,0.7,0,0.1,0.991718427,0,0.007246377,0,0.001035197
0500000US01031,"Coffee County, Alabama",22274,498,94.9,0,0.9,0.4,1.2,0.974332649,0,0.009240246,0.004106776,0.012320329
0500000US01033,"Colbert County, Alabama",22074,591,96.6,0.1,0.5,0,0.7,0.986721144,0.00102145,0.005107252,0,0.007150153
0500000US01035,"Conecuh County, Alabama",3876,384,95.9,0.2,0.9,0.5,0.1,0.982581967,0.00204918,0.009221311,0.005122951,0.00102459
0500000US01037,"Coosa County, Alabama",3995,266,93,0.5,1.6,0,0.6,0.971786834,0.00522466,0.016718913,0,0.006269592
0500000US01039,"Covington County, Alabama",14709,403,95.6,0,1,0.2,1.5,0.972533062,0,0.01017294,0.002034588,0.01525941
0500000US01041,"Crenshaw County, Alabama",5561,275,92.6,0.5,1.7,0.1,0.8,0.967607106,0.00522466,0.017763845,0.001044932,0.008359457
0500000US01043,"Cullman County, Alabama",32668,1059,96.8,0.1,0.6,0,0.4,0.988764045,0.00102145,0.006128703,0,0.004085802
0500000US01045,"Dale County, Alabama",20088,533,92.8,0,2.6,0.2,1.3,0.957688338,0,0.026831785,0.002063983,0.013415893
0500000US01047,"Dallas County, Alabama",13991,558,95.6,0,1.5,0.2,1.3,0.969574037,0,0.015212982,0.002028398,0.013184584
0500000US01049,"DeKalb County, Alabama",28264,727,96,0.1,1,0,0.4,0.984615385,0.001025641,0.01025641,0,0.004102564
0500000US01051,"Elmore County, Alabama",33582,934,95.8,0.1,0.7,0,0.7,0.984583762,0.001027749,0.007194245,0,0.007194245
0500000US01053,"Escambia County, Alabama",11999,574,98.5,0,0.4,0.1,0.3,0.991943605,0,0.004028197,0.001007049,0.003021148
0500000US01055,"Etowah County, Alabama",41319,992,94.3,0.2,0.8,0.1,0.6,0.982291667,0.002083333,0.008333333,0.001041667,0.00625
0500000US01057,"Fayette County, Alabama",6296,360,96.2,0,1.3,0,0.4,0.982635342,0,0.013278856,0,0.004085802
0500000US01059,"Franklin County, Alabama",12771,536,96.2,0.2,0.8,0,1.5,0.974670719,0.002026342,0.00810537,0,0.015197568
0500000US01061,"Geneva County, Alabama",9908,517,95,0,0.6,0.1,2.5,0.967413442,0,0.00610998,0.00101833,0.025458248
0500000US01063,"Greene County, Alabama",2204,286,94.1,0,0.8,0.2,1.2,0.977154725,0,0.008307373,0.002076843,0.012461059
0500000US01065,"Hale County, Alabama",4990,326,95.5,0.1,0.2,0,1.1,0.985552116,0.001031992,0.002063983,0,0.011351909
0500000US01067,"Henry County, Alabama",6834,301,94.2,0,0.6,0,3,0.963190184,0,0.006134969,0,0.030674847
0500000US01069,"Houston County, Alabama",43707,609,95.7,0.1,0.7,0.1,0.8,0.982546201,0.001026694,0.007186858,0.001026694,0.008213552
0500000US01071,"Jackson County, Alabama",19852,791,95.1,0,1.5,0,0.6,0.978395062,0,0.015432099,0,0.00617284
0500000US01073,"Jefferson County, Alabama",297470,2378,93.5,0.9,1.4,0.2,0.9,0.964912281,0.009287926,0.014447884,0.002063983,0.009287926
0500000US01075,"Lamar County, Alabama",5283,300,98.2,0.7,0.1,0,0.1,0.990918264,0.007063572,0.001009082,0,0.001009082
0500000US01077,"Lauderdale County, Alabama",39558,990,95.7,0,1.7,0.2,0.5,0.975535168,0,0.017329256,0.002038736,0.00509684
0500000US01079,"Lawrence County, Alabama",12388,564,96.2,0.1,1,0,0.4,0.984646878,0.001023541,0.010235415,0,0.004094166
0500000US01081,"Lee County, Alabama",72229,1383,92.4,0.7,1.8,0.3,0.8,0.9625,0.007291667,0.01875,0.003125,0.008333333
0500000US01083,"Limestone County, Alabama",39277,990,95.5,0.2,0.6,0,0.8,0.983522142,0.002059732,0.006179197,0,0.008238929
0500000US01085,"Lowndes County, Alabama",3360,250,96.2,0.4,0.4,0.2,1.9,0.97073663,0.004036327,0.004036327,0.002018163,0.019172553
0500000US01087,"Macon County, Alabama",7144,356,91.4,0.5,5.9,0.2,0.9,0.924165824,0.005055612,0.059656218,0.002022245,0.009100101
0500000US01089,"Madison County, Alabama",171047,1772,94,0.2,0.9,0.1,1.2,0.975103734,0.002074689,0.0093361,0.001037344,0.012448133
0500000US01091,"Marengo County, Alabama",6416,340,93.7,0,1.2,0,1.9,0.967975207,0,0.012396694,0,0.019628099
0500000US01093,"Marion County, Alabama",11733,535,96.9,0.1,0.6,0,0.8,0.984756098,0.00101626,0.006097561,0,0.008130081
0500000US01095,"Marshall County, Alabama",38549,751,95,0.5,1.3,0,0.5,0.976361768,0.005138746,0.01336074,0,0.005138746
0500000US01097,"Mobile County, Alabama",172096,1947,93.2,0.5,1.1,0.1,0.8,0.973876698,0.00522466,0.011494253,0.001044932,0.008359457
0500000US01099,"Monroe County, Alabama",6349,473,94.6,0.7,0.3,0,1.1,0.978283351,0.007238883,0.003102378,0,0.011375388
0500000US01101,"Montgomery County, Alabama",99723,1378,93.6,0.5,1.6,0.1,0.6,0.970954357,0.005186722,0.01659751,0.001037344,0.006224066
0500000US01103,"Morgan County, Alabama",50735,1005,96.1,0.4,0.8,0.1,0.7,0.97961264,0.004077472,0.008154944,0.001019368,0.007135576
0500000US01105,"Perry County, Alabama",2315,412,92.4,0,2,0,4.3,0.936170213,0,0.020263425,0,0.043566363
0500000US01107,"Pickens County, Alabama",7016,403,91.7,0.1,1.9,0,0.4,0.974495218,0.001062699,0.020191286,0,0.004250797
0500000US01109,"Pike County, Alabama",13757,720,91.7,0.1,2.8,0,1.7,0.952232606,0.001038422,0.029075805,0,0.017653167
0500000US01111,"Randolph County, Alabama",8516,475,95.5,0.1,0.1,0,0.6,0.991692627,0.001038422,0.001038422,0,0.00623053
0500000US01113,"Russell County, Alabama",24304,833,95,0.2,1.3,0,0.9,0.975359343,0.002053388,0.013347023,0,0.009240246
0500000US01115,"St. Clair County, Alabama",38109,1256,95.7,0.2,0.4,0,1.2,0.981538462,0.002051282,0.004102564,0,0.012307692
0500000US01117,"Shelby County, Alabama",104383,1066,93.4,0,0.8,0,0.6,0.985232068,0,0.008438819,0,0.006329114
0500000US01119,"Sumter County, Alabama",4045,396,94.4,0.4,3.8,0,0.2,0.955465587,0.004048583,0.038461538,0,0.002024291
0500000US01121,"Talladega County, Alabama",30336,927,94,0.4,2,0,1.1,0.964102564,0.004102564,0.020512821,0,0.011282051
0500000US01123,"Tallapoosa County, Alabama",14901,659,95.8,0.1,0.8,0,0.8,0.982564103,0.001025641,0.008205128,0,0.008205128
0500000US01125,"Tuscaloosa County, Alabama",92238,1502,94.3,0.3,1.3,0.3,0.5,0.975180972,0.003102378,0.01344364,0.003102378,0.005170631
0500000US01127,"Walker County, Alabama",24210,764,95.7,0.2,1.1,0,0.8,0.978527607,0.00204499,0.011247444,0,0.008179959
0500000US01129,"Washington County, Alabama",5445,432,96.6,0,0.2,0,0.8,0.989754098,0,0.00204918,0,0.008196721
0500000US01131,"Wilcox County, Alabama",2864,276,95.4,0.3,0.7,0,0.3,0.98655636,0.003102378,0.007238883,0,0.003102378
0500000US01133,"Winston County, Alabama",8638,444,94.6,0.4,0.3,0,1.7,0.975257732,0.004123711,0.003092784,0,0.017525773
0500000US02013,"Aleutians East Borough, Alaska",2365,155,33.9,0.1,53.8,0,3.2,0.372527473,0.001098901,0.591208791,0,0.035164835
0500000US02016,"Aleutians West Census Area, Alaska",3861,190,55.7,0.7,39.6,0.3,2.5,0.563765182,0.00708502,0.400809717,0.003036437,0.025303644
0500000US02020,"Anchorage Municipality, Alaska",155065,1365,87.9,1.6,3.1,1.4,2.2,0.913721414,0.016632017,0.032224532,0.014553015,0.022869023
0500000US02050,"Bethel Census Area, Alaska",5938,217,36,0.5,30.6,0.8,26.8,0.380147835,0.005279831,0.32312566,0.00844773,0.282998944
0500000US02060,"Bristol Bay Borough, Alaska",490,64,74.1,0.6,15.5,0.8,3.1,0.787460149,0.006376196,0.164718385,0.008501594,0.032943677
0500000US02068,"Denali Borough, Alaska",1492,620,42.9,0.5,48.7,0,0.7,0.462284483,0.005387931,0.524784483,0,0.007543103
0500000US02070,"Dillingham Census Area, Alaska",1980,101,53.6,0.9,26.5,0.2,13.9,0.563617245,0.009463722,0.278654048,0.002103049,0.146161935
0500000US02090,"Fairbanks North Star Borough, Alaska",51749,945,89.8,1,3.3,1,1.7,0.92768595,0.010330579,0.034090909,0.010330579,0.017561983
0500000US02100,"Haines Borough, Alaska",1277,143,70.9,0.2,9.9,2,2.9,0.825378347,0.002328289,0.115250291,0.023282887,0.033760186
0500000US02105,"Hoonah-Angoon Census Area, Alaska",1015,101,43.1,1.7,38.8,1,5.8,0.476769912,0.01880531,0.42920354,0.011061947,0.064159292
0500000US02110,"Juneau City and Borough, Alaska",17376,459,82.3,5,6.3,1,1,0.860878661,0.052301255,0.065899582,0.010460251,0.010460251
0500000US02122,"Kenai Peninsula Borough, Alaska",24803,593,79.1,0.7,5,0.5,6.6,0.860718172,0.007616975,0.054406964,0.005440696,0.071817193
0500000US02130,"Ketchikan Gateway Borough, Alaska",6971,173,82,3.6,8.4,0.2,3,0.843621399,0.037037037,0.086419753,0.002057613,0.030864198
0500000US02150,"Kodiak Island Borough, Alaska",7274,280,79.9,0,7.6,0.7,5.3,0.854545455,0,0.081283422,0.007486631,0.056684492
0500000US02158,"Kusilvak Census Area, Alaska",2038,100,9.3,0.1,41.2,2.1,44.6,0.095580678,0.001027749,0.423432682,0.021582734,0.458376156
0500000US02164,"Lake and Peninsula Borough, Alaska",572,159,30.8,0.3,37.1,0.5,27.4,0.32049948,0.003121748,0.386056191,0.005202914,0.285119667
0500000US02170,"Matanuska-Susitna Borough, Alaska",42213,803,84,0.8,2,0.2,6.5,0.898395722,0.00855615,0.021390374,0.002139037,0.069518717
