,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2020-09-02,6254280.538317626,6185187.081085478,6324736.671368901,6075652.0,2020-09-01
1,2020-09-03,6310458.896532737,6238051.604002923,6384911.881022041,6114406.0,2020-09-01
2,2020-09-04,6366637.254747842,6293281.947962219,6435081.426617709,6150655.0,2020-09-01
3,2020-09-05,6422815.612962951,6350176.355573844,6490050.815415455,6201726.0,2020-09-01
4,2020-09-06,6478993.971178061,6401766.341526717,6554749.593122388,6245866.0,2020-09-01
5,2020-09-07,6535172.32939317,6460567.121799394,6610801.413078881,6276421.0,2020-09-01
6,2020-09-08,6591350.687608276,6513982.434791504,6671895.538789118,6300671.0,2020-09-01
7,2020-09-09,6647529.045823383,6550178.144001488,6733621.9663935155,6327793.0,2020-09-01
8,2020-09-10,6703707.404038494,6613481.716308532,6795139.0060936585,6359720.0,2020-09-01
9,2020-09-11,6759885.762253602,6664311.993908799,6852247.786960501,6397227.0,2020-09-01
10,2020-09-12,6816064.120468711,6709204.549985004,6919065.220262852,6445288.0,2020-09-01
11,2020-09-13,6872242.478683819,6754274.465454006,6982965.768633656,6486108.0,2020-09-01
12,2020-09-14,6928420.836898927,6806702.893965397,7054749.696268047,6519979.0,2020-09-01
13,2020-09-15,6984599.195114035,6857425.076899748,7114504.316376865,6554820.0,2020-09-01
14,2020-09-16,7040777.553329146,6893473.742771973,7182082.787368665,6606293.0,2020-09-01
15,2020-09-17,7096955.911544251,6927307.913582285,7263454.216003407,6630891.0,2020-09-01
16,2020-09-18,7153134.26975936,6990166.924450629,7314191.136708451,6674458.0,2020-09-01
17,2020-09-19,7209312.62797447,7026792.59238849,7376927.48246037,6724667.0,2020-09-01
18,2020-09-20,7265490.986189579,7067476.24234465,7454211.729254706,6764962.0,2020-09-01
19,2020-09-21,7321669.344404687,7113322.481910663,7530830.968414861,6804814.0,2020-09-01
20,2020-09-22,7377847.702619792,7155149.523768346,7586714.115305961,6857967.0,2020-09-01
21,2020-09-23,7434026.060834903,7206062.925850648,7661897.694697294,6896274.0,2020-09-01
22,2020-09-24,7490204.419050012,7237669.237311564,7740202.070672641,6934204.0,2020-09-01
23,2020-09-25,7546382.777265119,7292071.566518838,7799812.3154397905,6978417.0,2020-09-01
24,2020-09-26,7602561.135480228,7316976.058625232,7866404.057254465,7033430.0,2020-09-01
25,2020-09-27,7658739.493695336,7362932.590314662,7930828.923542395,7078798.0,2020-09-01
26,2020-09-28,7714917.851910444,7429130.145038515,8023333.609562644,7115046.0,2020-09-01
27,2020-09-29,7771096.210125555,7438835.276168791,8056305.921104357,7148044.0,2020-09-01
28,2020-09-30,7827274.568340663,7492904.424933233,8150864.8797438145,7191061.0,2020-09-01
29,2020-10-01,7883452.926555769,7542639.977895362,8218765.488983576,7233043.0,2020-09-01
