,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2020-09-02,6253588.621219853,6184175.374141241,6329196.374567558,6075652.0,2020-09-01
1,2020-09-03,6309849.323147683,6238073.930586079,6378448.327461648,6114406.0,2020-09-01
2,2020-09-04,6367198.840937707,6295684.41718937,6436652.031669537,6150655.0,2020-09-01
3,2020-09-05,6425898.559834601,6355858.067697513,6504101.585882263,6201726.0,2020-09-01
4,2020-09-06,6482042.384966586,6406688.118955136,6549433.862818819,6245866.0,2020-09-01
5,2020-09-07,6534016.523268502,6460751.740397181,6609326.989805871,6276421.0,2020-09-01
6,2020-09-08,6586615.692441828,6513493.393102761,6669842.825040208,6300671.0,2020-09-01
7,2020-09-09,6646783.89064682,6572947.950256329,6733597.856135491,6327793.0,2020-09-01
8,2020-09-10,6703044.592574657,6625446.708361158,6786258.813609156,6359720.0,2020-09-01
9,2020-09-11,6760394.110364688,6671117.458112864,6858892.257756089,6397227.0,2020-09-01
10,2020-09-12,6819093.829261585,6733068.501586413,6927682.116389277,6445288.0,2020-09-01
11,2020-09-13,6875237.654393566,6770986.430788408,6983430.489229267,6486108.0,2020-09-01
12,2020-09-14,6927211.792695502,6828712.01379322,7043145.447119421,6519979.0,2020-09-01
13,2020-09-15,6979810.961868808,6866292.533581823,7110213.961453656,6554820.0,2020-09-01
14,2020-09-16,7039979.160073803,6929480.33632554,7166835.995068857,6606293.0,2020-09-01
15,2020-09-17,7096239.862001636,6965403.324286071,7246959.880206159,6630891.0,2020-09-01
16,2020-09-18,7153589.379791666,7018039.148634714,7324480.501560008,6674458.0,2020-09-01
17,2020-09-19,7212289.098688563,7066440.730669952,7387688.082738249,6724667.0,2020-09-01
18,2020-09-20,7268432.923820549,7109633.339881188,7469200.7746121995,6764962.0,2020-09-01
19,2020-09-21,7320407.0621224735,7153443.381284426,7530542.136182706,6804814.0,2020-09-01
20,2020-09-22,7373006.231295786,7182780.903626896,7566613.668872889,6857967.0,2020-09-01
21,2020-09-23,7433174.429500783,7241784.542112313,7663738.040170207,6896274.0,2020-09-01
22,2020-09-24,7489435.131428615,7282159.923514793,7737838.195639014,6934204.0,2020-09-01
23,2020-09-25,7546784.64921864,7334525.5517887,7792483.63411181,6978417.0,2020-09-01
24,2020-09-26,7605484.368115537,7355156.54093064,7871018.823962641,7033430.0,2020-09-01
25,2020-09-27,7661628.193247528,7427475.569521671,7939850.59625943,7078798.0,2020-09-01
26,2020-09-28,7713602.331549449,7467475.500260601,7997442.784805025,7115046.0,2020-09-01
27,2020-09-29,7766201.500722768,7494560.982482974,8086629.051704187,7148044.0,2020-09-01
28,2020-09-30,7826369.698927767,7558313.451787345,8156981.724622506,7191061.0,2020-09-01
29,2020-10-01,7882630.400855593,7590221.35010341,8233827.258819686,7233043.0,2020-09-01
