,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2020-08-02,4622447.759428343,4616258.409407505,4629382.935798529,4620444.0,2020-08-01
1,2020-08-03,4687993.77772337,4681430.930172127,4694515.299673021,4667955.0,2020-08-01
2,2020-08-04,4754162.178824295,4747219.934162214,4761208.686776798,4713562.0,2020-08-01
3,2020-08-05,4821112.553303039,4813180.3418978285,4829304.097514589,4771087.0,2020-08-01
4,2020-08-06,4888996.05153403,4879525.09152127,4898212.677313999,4823891.0,2020-08-01
5,2020-08-07,4957948.920742509,4947339.454978371,4970184.384428025,4883646.0,2020-08-01
6,2020-08-08,5028085.955368034,5013927.615550623,5043280.088286212,4941796.0,2020-08-01
7,2020-08-09,5099494.022538829,5083075.282335354,5117433.0966706,4998017.0,2020-08-01
8,2020-08-10,5172225.830777924,5153683.217618061,5194324.859023192,5044864.0,2020-08-01
9,2020-08-11,5246294.112355113,5223551.825273588,5274269.891601467,5094394.0,2020-08-01
10,2020-08-12,5321666.387772723,5295187.158450847,5352181.710594319,5141207.0,2020-08-01
11,2020-08-13,5398260.474587125,5368417.10556509,5431987.606726304,5197148.0,2020-08-01
12,2020-08-14,5475940.892157518,5444412.464187031,5512889.090988718,5248242.0,2020-08-01
13,2020-08-15,5554516.299055282,5518204.92951397,5598168.749805781,5313080.0,2020-08-01
14,2020-08-16,5633738.081024345,5596820.307599273,5679786.531527497,5361165.0,2020-08-01
15,2020-08-17,5713300.184863143,5670708.329583251,5766426.8978088545,5403269.0,2020-08-01
16,2020-08-18,5792840.267872173,5746260.49605158,5850013.624813017,5438325.0,2020-08-01
17,2020-08-19,5871942.204095235,5821904.323012898,5933441.393130278,5482416.0,2020-08-01
18,2020-08-20,5950139.958118688,5895887.251699733,6015904.956212601,5529842.0,2020-08-01
19,2020-08-21,6026922.805364499,5968003.218078281,6098500.732386625,5573847.0,2020-08-01
20,2020-08-22,6101741.845375414,6038634.605411663,6176918.234248026,5623727.0,2020-08-01
21,2020-08-23,6174017.722326509,6108659.462477726,6256430.729330401,5668105.0,2020-08-01
22,2020-08-24,6243149.435705572,6173145.741121606,6330841.199831048,5702611.0,2020-08-01
23,2020-08-25,6308524.094590481,6235542.396280122,6398082.773428296,5740909.0,2020-08-01
24,2020-08-26,6369527.441979466,6292493.328549362,6464761.50379227,5779028.0,2020-08-01
25,2020-08-27,6425554.951933712,6343102.979814089,6522271.010179934,5821876.0,2020-08-01
26,2020-08-28,6476023.282538823,6388577.007749247,6581608.864196071,5867785.0,2020-08-01
27,2020-08-29,6520381.852452114,6425456.2729940675,6629945.1619181875,5917439.0,2020-08-01
28,2020-08-30,6558124.298577008,6462493.629440709,6672781.128253194,5961582.0,2020-08-01
29,2020-08-31,6588799.567544561,6486295.755670581,6709038.6715386,5997163.0,2020-08-01
