Entity,Code,Date,School closures (OxBSG),Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Stay at home requirements (OxBSG),Facial coverings (OxBSG),new_cases,new_deaths,new_tests,positive_rate,total_cases,total_deaths,total_tests
United States,USA,2020-03-08,3,0,1,0,0,0,95,3,1400,0.053,433,17,6994
United States,USA,2020-03-09,3,0,1,0,0,0,121,4,1998,0.055,554,21,8992
United States,USA,2020-03-10,3,0,1,0,0,0,200,5,2653,0.062,754,26,11645
United States,USA,2020-03-11,3,0,1,1,0,0,271,2,3823,0.067,1025,28,15468
United States,USA,2020-03-12,3,0,2,2,0,0,287,2,6988,0.059,1312,30,22456
United States,USA,2020-03-13,3,0,2,2,0,0,351,10,9939,0.051,1663,40,32395
United States,USA,2020-03-14,3,0,2,2,0,0,511,7,10708,0.049,2174,47,43103
United States,USA,2020-03-15,3,0,2,2,2,0,777,10,11977,0.052,2951,57,55080
United States,USA,2020-03-16,3,0,2,2,2,0,823,12,23360,0.046,3774,69,78440
United States,USA,2020-03-17,3,0,2,2,2,0,887,16,36293,0.038,4661,85,114733
United States,USA,2020-03-18,3,0,2,2,2,0,1766,23,47057,0.037,6427,108,161790
United States,USA,2020-03-19,3,3,2,2,2,0,2988,42,56792,0.041,9415,150,218582
United States,USA,2020-03-20,3,3,2,2,2,0,4835,0,68545,0.049,14250,150,287127
United States,USA,2020-03-21,3,3,2,4,2,0,5374,110,68853,0.056,19624,260,355980
United States,USA,2020-03-22,3,3,2,4,2,0,7123,80,63336,0.065,26747,340,419316
United States,USA,2020-03-23,3,3,2,4,2,0,8459,131,71572,0.076,35206,471,490888
United States,USA,2020-03-24,3,3,2,4,2,0,11236,119,92606,0.089,46442,590,583494
United States,USA,2020-03-25,3,3,2,4,2,0,8789,211,101756,0.093,55231,801,685250
United States,USA,2020-03-26,3,3,2,4,2,0,13963,249,113644,0.103,69194,1050,798894
United States,USA,2020-03-27,3,3,2,4,2,0,16797,246,119598,0.114,85991,1296,918492
United States,USA,2020-03-28,3,3,2,4,2,0,18695,411,108239,0.127,104686,1707,1026731
United States,USA,2020-03-29,3,3,2,4,2,0,19979,484,98914,0.139,124665,2191,1125645
United States,USA,2020-03-30,3,3,2,4,2,0,18360,318,109537,0.145,143025,2509,1235182
United States,USA,2020-03-31,3,3,2,4,2,0,21595,661,127832,0.152,164620,3170,1363014
United States,USA,2020-04-01,3,3,2,4,2,0,24998,909,135813,0.165,189618,4079,1498827
United States,USA,2020-04-02,3,3,2,4,2,0,27103,1059,142668,0.175,216721,5138,1641495
United States,USA,2020-04-03,3,3,2,4,2,0,28819,915,151259,0.182,245540,6053,1792754
United States,USA,2020-04-04,3,3,2,4,2,0,32425,1104,135156,0.192,277965,7157,1927910
United States,USA,2020-04-05,3,3,2,4,2,0,34272,1344,128169,0.202,312237,8501,2056079
