,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2020-08-02,4625756.54980609,4620013.680866496,4631409.951875342,4620444.0,2020-08-01
1,2020-08-03,4689721.386247584,4684094.8715995215,4695232.141226281,4667955.0,2020-08-01
2,2020-08-04,4754671.232891801,4747757.553615395,4760345.506699903,4713562.0,2020-08-01
3,2020-08-05,4822841.994843919,4814851.249396324,4828815.112094048,4771087.0,2020-08-01
4,2020-08-06,4892981.538058777,4882725.529478969,4901092.373407444,4823891.0,2020-08-01
5,2020-08-07,4966290.772571593,4953611.0161617575,4976820.980013861,4883646.0,2020-08-01
6,2020-08-08,5042248.082765944,5027935.21556277,5055801.034547351,4941796.0,2020-08-01
7,2020-08-09,5119241.02840776,5100337.664519113,5137339.315239602,4998017.0,2020-08-01
8,2020-08-10,5195611.348789726,5172412.733533745,5216283.504838714,5044864.0,2020-08-01
9,2020-08-11,5274662.673123829,5250200.352506939,5299858.59328617,5094394.0,2020-08-01
10,2020-08-12,5358509.505931025,5330328.604441551,5386222.719859621,5141207.0,2020-08-01
11,2020-08-13,5445725.958331603,5412356.292730818,5477529.508392853,5197148.0,2020-08-01
12,2020-08-14,5537287.204764401,5502703.200866764,5573240.814579347,5248242.0,2020-08-01
13,2020-08-15,5632395.502216137,5592949.48132473,5673252.385103054,5313080.0,2020-08-01
14,2020-08-16,5729114.716311051,5687298.120345216,5776336.752583228,5361165.0,2020-08-01
15,2020-08-17,5825419.378232093,5778169.434167239,5875062.769597696,5403269.0,2020-08-01
16,2020-08-18,5924207.637434706,5869486.330077363,5979976.224090239,5438325.0,2020-08-01
17,2020-08-19,6027156.610801008,5969259.505834054,6087397.191582826,5482416.0,2020-08-01
18,2020-08-20,6132378.501785988,6069303.460951165,6193531.173117961,5529842.0,2020-08-01
19,2020-08-21,6240370.343874296,6172636.215777774,6308737.528823417,5573847.0,2020-08-01
20,2020-08-22,6349849.05453152,6276043.84237545,6425078.715452317,5623727.0,2020-08-01
21,2020-08-23,6458395.570257663,6382694.726951909,6536204.433597641,5668105.0,2020-08-01
22,2020-08-24,6563513.893639443,6481618.476715062,6647228.372400688,5702611.0,2020-08-01
23,2020-08-25,6667654.209030057,6580181.368771603,6757522.480015723,5740909.0,2020-08-01
24,2020-08-26,6772078.34847974,6677008.043903506,6871097.413092811,5779028.0,2020-08-01
25,2020-08-27,6874525.756688913,6776693.374228961,6980772.789569507,5821876.0,2020-08-01
26,2020-08-28,6975172.583977811,6871251.456960043,7086882.9319648165,5867785.0,2020-08-01
27,2020-08-29,7072475.372918186,6964924.881535148,7187821.283734325,5917439.0,2020-08-01
28,2020-08-30,7163822.89883539,7050150.140707816,7285159.330707059,5961582.0,2020-08-01
29,2020-08-31,7246601.800027307,7128089.8577677505,7373302.891380633,5997163.0,2020-08-01
