,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2020-09-02,6079671.240096414,6073234.927589122,6086603.887880157,6075652.0,2020-09-01
1,2020-09-03,6126117.951768246,6118733.240507382,6132645.5355990045,6114406.0,2020-09-01
2,2020-09-04,6175676.275364148,6168626.482165726,6182409.815586863,6150655.0,2020-09-01
3,2020-09-05,6228869.429095117,6220903.272776743,6236999.120560503,6201726.0,2020-09-01
4,2020-09-06,6282406.673025261,6274289.337738673,6291422.787974796,6245866.0,2020-09-01
5,2020-09-07,6334480.904559483,6323235.935803337,6345637.627644315,6276421.0,2020-09-01
6,2020-09-08,6389227.1755693015,6374997.596611869,6401539.481074395,6300671.0,2020-09-01
7,2020-09-09,6449596.803927973,6433605.361633089,6464175.369303529,6327793.0,2020-09-01
8,2020-09-10,6513635.446052112,6494990.574965996,6531265.281660818,6359720.0,2020-09-01
9,2020-09-11,6582011.090810226,6560545.275742658,6599365.693574139,6397227.0,2020-09-01
10,2020-09-12,6654930.529945058,6630885.149313815,6674122.773582936,6445288.0,2020-09-01
11,2020-09-13,6728727.267876479,6701432.77528977,6752552.366923218,6486108.0,2020-09-01
12,2020-09-14,6801162.285935501,6770578.633289912,6825701.438071505,6519979.0,2020-09-01
13,2020-09-15,6875887.376931448,6841923.637091609,6902153.990312055,6554820.0,2020-09-01
14,2020-09-16,6955325.705910116,6918735.045766594,6984726.371522303,6606293.0,2020-09-01
15,2020-09-17,7036957.903966451,6998326.096441129,7069729.805513453,6630891.0,2020-09-01
16,2020-09-18,7120859.552651804,7077765.812783878,7156594.362323421,6674458.0,2020-09-01
17,2020-09-19,7206628.469103066,7158764.941821356,7245553.070835607,6724667.0,2020-09-01
18,2020-09-20,7289984.569521176,7238759.082897223,7332476.3087313045,6764962.0,2020-09-01
19,2020-09-21,7368083.503717062,7313994.177907679,7412535.745856476,6804814.0,2020-09-01
20,2020-09-22,7443993.521351812,7386290.489923394,7491080.283449829,6857967.0,2020-09-01
21,2020-09-23,7519589.942671817,7455775.791175213,7570646.002485051,6896274.0,2020-09-01
22,2020-09-24,7591855.235771944,7526123.70276563,7648602.552813012,6934204.0,2020-09-01
23,2020-09-25,7660430.238094399,7590881.84110942,7721060.301737716,6978417.0,2020-09-01
24,2020-09-26,7724554.604793744,7649643.003393225,7789208.257413927,7033430.0,2020-09-01
25,2020-09-27,7779678.9341979325,7700584.722031972,7848191.109339399,7078798.0,2020-09-01
26,2020-09-28,7822789.443773402,7742123.856169766,7894588.972756399,7115046.0,2020-09-01
27,2020-09-29,7856894.353991708,7768512.258604616,7936797.784434755,7148044.0,2020-09-01
28,2020-09-30,7883926.073611516,7792020.457439426,7963388.617996179,7191061.0,2020-09-01
29,2020-10-01,7901046.940490531,7803038.757185595,7986779.151533574,7233043.0,2020-09-01
