iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ARG,South America,Argentina,2020-03-11,19.0,7.0,1.0,0.0,0.42,0.155,0.022,0.0,30.0,158.0,0.003,0.001,17.0,0.0,0.151,people tested,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-11,Argentina,ARG,"Mar 11, 2020",0,2020-03-11
ARG,South America,Argentina,2020-03-13,31.0,12.0,1.0,0.0,0.686,0.266,0.022,0.0,83.0,282.0,0.006,0.002,33.0,0.001,0.126,people tested,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-13,Argentina,ARG,"Mar 13, 2020",0,2020-03-13
ARG,South America,Argentina,2020-03-14,34.0,3.0,2.0,1.0,0.752,0.066,0.044,0.022,49.0,331.0,0.007,0.001,38.0,0.001,0.098,people tested,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-14,Argentina,ARG,"Mar 14, 2020",0,2020-03-14
ARG,South America,Argentina,2020-03-15,45.0,11.0,2.0,0.0,0.996,0.243,0.044,0.0,79.0,410.0,0.009,0.002,46.0,0.001,0.11199999999999999,people tested,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-15,Argentina,ARG,"Mar 15, 2020",0,2020-03-15
ARG,South America,Argentina,2020-03-16,56.0,11.0,2.0,0.0,1.239,0.243,0.044,0.0,100.0,510.0,0.011,0.002,59.0,0.001,0.107,people tested,41.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-16,Argentina,ARG,"Mar 16, 2020",0,2020-03-16
ARG,South America,Argentina,2020-03-17,65.0,9.0,2.0,0.0,1.438,0.199,0.044,0.0,120.0,630.0,0.014,0.003,72.0,0.002,0.105,people tested,41.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-17,Argentina,ARG,"Mar 17, 2020",0,2020-03-17
ARG,South America,Argentina,2020-03-18,79.0,14.0,2.0,0.0,1.748,0.31,0.044,0.0,190.0,820.0,0.018,0.004,95.0,0.002,0.09,people tested,41.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-18,Argentina,ARG,"Mar 18, 2020",0,2020-03-18
ARG,South America,Argentina,2020-03-19,97.0,18.0,2.0,0.0,2.146,0.398,0.044,0.0,137.0,957.0,0.021,0.003,108.0,0.002,0.10300000000000001,people tested,75.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-19,Argentina,ARG,"Mar 19, 2020",3,2020-03-19
ARG,South America,Argentina,2020-03-20,128.0,31.0,3.0,1.0,2.832,0.686,0.066,0.022,214.0,1171.0,0.026,0.005,127.0,0.003,0.109,people tested,88.89,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-20,Argentina,ARG,"Mar 20, 2020",3,2020-03-20
ARG,South America,Argentina,2020-03-21,158.0,30.0,3.0,0.0,3.496,0.664,0.066,0.0,295.0,1466.0,0.032,0.007,162.0,0.004,0.109,people tested,88.89,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-21,Argentina,ARG,"Mar 21, 2020",3,2020-03-21
ARG,South America,Argentina,2020-03-22,225.0,67.0,4.0,1.0,4.978,1.482,0.089,0.022,218.0,1684.0,0.037,0.005,182.0,0.004,0.141,people tested,88.89,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-22,Argentina,ARG,"Mar 22, 2020",3,2020-03-22
ARG,South America,Argentina,2020-03-23,266.0,41.0,4.0,0.0,5.886,0.907,0.089,0.0,257.0,1941.0,0.043,0.006,204.0,0.005,0.147,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-23,Argentina,ARG,"Mar 23, 2020",3,2020-03-23
ARG,South America,Argentina,2020-03-24,301.0,35.0,4.0,0.0,6.66,0.774,0.089,0.0,389.0,2330.0,0.052,0.009,243.0,0.005,0.139,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-24,Argentina,ARG,"Mar 24, 2020",3,2020-03-24
ARG,South America,Argentina,2020-03-25,387.0,86.0,6.0,2.0,8.563,1.903,0.133,0.044,446.0,2776.0,0.061,0.01,279.0,0.006,0.158,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-25,Argentina,ARG,"Mar 25, 2020",3,2020-03-25
ARG,South America,Argentina,2020-03-26,502.0,115.0,8.0,2.0,11.107,2.544,0.177,0.044,485.0,3261.0,0.072,0.011,329.0,0.007,0.17600000000000002,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-26,Argentina,ARG,"Mar 26, 2020",3,2020-03-26
ARG,South America,Argentina,2020-03-27,589.0,87.0,12.0,4.0,13.032,1.925,0.266,0.089,362.0,3623.0,0.08,0.008,350.0,0.008,0.188,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-27,Argentina,ARG,"Mar 27, 2020",3,2020-03-27
ARG,South America,Argentina,2020-03-28,690.0,101.0,17.0,5.0,15.267,2.235,0.376,0.111,412.0,4035.0,0.089,0.009,367.0,0.008,0.207,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-28,Argentina,ARG,"Mar 28, 2020",3,2020-03-28
ARG,South America,Argentina,2020-03-29,745.0,55.0,19.0,2.0,16.484,1.217,0.42,0.044,625.0,4660.0,0.103,0.014,425.0,0.009,0.175,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-29,Argentina,ARG,"Mar 29, 2020",3,2020-03-29
ARG,South America,Argentina,2020-03-30,820.0,75.0,20.0,1.0,18.143,1.659,0.443,0.022,534.0,5194.0,0.115,0.012,465.0,0.01,0.17,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-30,Argentina,ARG,"Mar 30, 2020",3,2020-03-30
ARG,South America,Argentina,2020-03-31,966.0,146.0,24.0,4.0,21.374,3.23,0.531,0.089,591.0,5785.0,0.128,0.013,494.0,0.011,0.192,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-03-31,Argentina,ARG,"Mar 31, 2020",3,2020-03-31
ARG,South America,Argentina,2020-04-01,966.0,0.0,24.0,0.0,21.374,0.0,0.531,0.0,933.0,6718.0,0.149,0.021,563.0,0.012,0.147,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-04-01,Argentina,ARG,"Apr 1, 2020",3,2020-04-01
ARG,South America,Argentina,2020-04-02,1133.0,167.0,31.0,7.0,25.069,3.695,0.686,0.155,1296.0,8014.0,0.177,0.029,679.0,0.015,0.133,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-04-02,Argentina,ARG,"Apr 2, 2020",3,2020-04-02
ARG,South America,Argentina,2020-04-03,1133.0,0.0,34.0,3.0,25.069,0.0,0.752,0.066,1262.0,9276.0,0.205,0.028,808.0,0.018,0.096,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-04-03,Argentina,ARG,"Apr 3, 2020",3,2020-04-03
ARG,South America,Argentina,2020-04-04,1265.0,132.0,37.0,3.0,27.989,2.921,0.819,0.066,1098.0,10374.0,0.23,0.024,906.0,0.02,0.091,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-04-04,Argentina,ARG,"Apr 4, 2020",3,2020-04-04
ARG,South America,Argentina,2020-04-05,1451.0,186.0,43.0,6.0,32.105,4.115,0.951,0.133,830.0,11204.0,0.248,0.018,935.0,0.021,0.10800000000000001,people tested,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,2020-04-05,Argentina,ARG,"Apr 5, 2020",3,2020-04-05
