iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
AUS,Oceania,Australia,2020-04-06,5744.0,57.0,36.0,2.0,225.256,2.235,1.412,0.078,5509.0,302663.0,11.869,0.216,11305.0,0.443,0.021,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-06,Australia,AUS,"Apr 6, 2020",2,2020-04-06
AUS,Oceania,Australia,2020-04-07,5844.0,100.0,42.0,6.0,229.178,3.922,1.647,0.235,8037.0,310700.0,12.184,0.315,10700.0,0.42,0.017,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-07,Australia,AUS,"Apr 7, 2020",2,2020-04-07
AUS,Oceania,Australia,2020-04-08,5956.0,112.0,45.0,3.0,233.57,4.392,1.765,0.118,8668.0,319368.0,12.524,0.34,10185.0,0.399,0.018000000000000002,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-08,Australia,AUS,"Apr 8, 2020",2,2020-04-08
AUS,Oceania,Australia,2020-04-09,6052.0,96.0,50.0,5.0,237.334,3.765,1.961,0.196,10766.0,330134.0,12.946,0.422,9970.0,0.391,0.015,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-09,Australia,AUS,"Apr 9, 2020",2,2020-04-09
AUS,Oceania,Australia,2020-04-10,6152.0,100.0,52.0,2.0,241.256,3.922,2.039,0.078,8212.0,338346.0,13.269,0.322,9390.0,0.368,0.013999999999999999,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-10,Australia,AUS,"Apr 10, 2020",2,2020-04-10
AUS,Oceania,Australia,2020-04-11,6238.0,86.0,54.0,2.0,244.629,3.373,2.118,0.078,9501.0,347847.0,13.641,0.373,8995.0,0.353,0.011000000000000001,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-11,Australia,AUS,"Apr 11, 2020",2,2020-04-11
AUS,Oceania,Australia,2020-04-12,6289.0,51.0,57.0,3.0,246.629,2.0,2.235,0.118,6094.0,353941.0,13.88,0.239,8112.0,0.318,0.011000000000000001,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-12,Australia,AUS,"Apr 12, 2020",2,2020-04-12
AUS,Oceania,Australia,2020-04-13,6322.0,33.0,61.0,4.0,247.923,1.294,2.392,0.157,8195.0,362136.0,14.201,0.321,8496.0,0.333,0.01,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-13,Australia,AUS,"Apr 13, 2020",2,2020-04-13
AUS,Oceania,Australia,2020-04-14,6366.0,44.0,61.0,0.0,249.648,1.725,2.392,0.0,4357.0,366493.0,14.372,0.171,7970.0,0.313,0.009000000000000001,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-14,Australia,AUS,"Apr 14, 2020",2,2020-04-14
AUS,Oceania,Australia,2020-04-15,6416.0,50.0,61.0,0.0,251.609,1.961,2.392,0.0,4884.0,371377.0,14.564,0.192,7430.0,0.291,0.009000000000000001,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-15,Australia,AUS,"Apr 15, 2020",2,2020-04-15
AUS,Oceania,Australia,2020-04-16,6458.0,42.0,63.0,2.0,253.256,1.647,2.471,0.078,8626.0,380003.0,14.902,0.338,7124.0,0.279,0.008,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-16,Australia,AUS,"Apr 16, 2020",2,2020-04-16
AUS,Oceania,Australia,2020-04-17,6497.0,39.0,63.0,0.0,254.786,1.529,2.471,0.0,11527.0,391530.0,15.354,0.452,7598.0,0.298,0.006,tests performed,75.93,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-17,Australia,AUS,"Apr 17, 2020",2,2020-04-17
AUS,Oceania,Australia,2020-04-18,6533.0,36.0,67.0,4.0,256.197,1.412,2.627,0.157,14980.0,406510.0,15.942,0.587,8380.0,0.329,0.005,tests performed,72.22,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-18,Australia,AUS,"Apr 18, 2020",2,2020-04-18
AUS,Oceania,Australia,2020-04-19,6586.0,53.0,69.0,2.0,258.276,2.078,2.706,0.078,14486.0,420996.0,16.51,0.568,9579.0,0.376,0.004,tests performed,72.22,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,2020-04-19,Australia,AUS,"Apr 19, 2020",2,2020-04-19
