iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
AUT,Europe,Austria,2020-03-04,24.0,6.0,0.0,0.0,2.665,0.666,0.0,0.0,455.0,3138.0,0.348,0.051,402.0,0.045,0.008,tests performed,11.11,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-04,Austria,AUT,"Mar 4, 2020",0,2020-03-04
AUT,Europe,Austria,2020-03-05,29.0,5.0,0.0,0.0,3.22,0.555,0.0,0.0,573.0,3711.0,0.412,0.064,466.0,0.052,0.008,tests performed,11.11,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-05,Austria,AUT,"Mar 5, 2020",0,2020-03-05
AUT,Europe,Austria,2020-03-06,41.0,12.0,0.0,0.0,4.552,1.332,0.0,0.0,289.0,4000.0,0.444,0.032,462.0,0.051,0.011000000000000001,tests performed,11.11,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-06,Austria,AUT,"Mar 6, 2020",0,2020-03-06
AUT,Europe,Austria,2020-03-07,74.0,33.0,0.0,0.0,8.216,3.664,0.0,0.0,308.0,4308.0,0.478,0.034,380.0,0.042,0.025,tests performed,11.11,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-07,Austria,AUT,"Mar 7, 2020",0,2020-03-07
AUT,Europe,Austria,2020-03-08,99.0,25.0,0.0,0.0,10.992,2.776,0.0,0.0,201.0,4509.0,0.501,0.022,359.0,0.04,0.035,tests performed,11.11,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-08,Austria,AUT,"Mar 8, 2020",0,2020-03-08
AUT,Europe,Austria,2020-03-09,102.0,3.0,0.0,0.0,11.325,0.333,0.0,0.0,225.0,4734.0,0.526,0.025,342.0,0.038,0.037000000000000005,tests performed,19.44,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-09,Austria,AUT,"Mar 9, 2020",0,2020-03-09
AUT,Europe,Austria,2020-03-10,131.0,29.0,0.0,0.0,14.545,3.22,0.0,0.0,292.0,5026.0,0.558,0.032,335.0,0.037,0.048,tests performed,19.44,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-10,Austria,AUT,"Mar 10, 2020",0,2020-03-10
AUT,Europe,Austria,2020-03-11,182.0,51.0,0.0,0.0,20.208,5.663,0.0,0.0,336.0,5362.0,0.595,0.037,318.0,0.035,0.071,tests performed,30.56,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-11,Austria,AUT,"Mar 11, 2020",0,2020-03-11
AUT,Europe,Austria,2020-03-12,246.0,64.0,0.0,0.0,27.314,7.106,0.0,0.0,507.0,5869.0,0.652,0.056,308.0,0.034,0.10099999999999999,tests performed,34.26,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-12,Austria,AUT,"Mar 12, 2020",0,2020-03-12
AUT,Europe,Austria,2020-03-13,361.0,115.0,1.0,1.0,40.083,12.769,0.111,0.111,713.0,6582.0,0.731,0.079,369.0,0.041,0.124,tests performed,48.15,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-13,Austria,AUT,"Mar 13, 2020",0,2020-03-13
AUT,Europe,Austria,2020-03-14,504.0,143.0,1.0,0.0,55.96,15.878,0.111,0.0,885.0,7467.0,0.829,0.098,451.0,0.05,0.136,tests performed,48.15,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-14,Austria,AUT,"Mar 14, 2020",0,2020-03-14
AUT,Europe,Austria,2020-03-15,655.0,151.0,1.0,0.0,72.726,16.766,0.111,0.0,700.0,8167.0,0.907,0.078,523.0,0.058,0.152,tests performed,48.15,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-15,Austria,AUT,"Mar 15, 2020",0,2020-03-15
AUT,Europe,Austria,2020-03-16,860.0,205.0,1.0,0.0,95.488,22.762,0.111,0.0,323.0,8490.0,0.943,0.036,537.0,0.06,0.20199999999999999,tests performed,85.19,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-16,Austria,AUT,"Mar 16, 2020",2,2020-03-16
AUT,Europe,Austria,2020-03-17,1016.0,156.0,3.0,2.0,112.809,17.321,0.333,0.222,1788.0,10278.0,1.141,0.199,750.0,0.083,0.16899999999999998,tests performed,85.19,9006400.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,81.54,2020-03-17,Austria,AUT,"Mar 17, 2020",2,2020-03-17
