iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
BHR,Asia,Bahrain,2020-03-12,162.0,52.0,0.0,0.0,95.205,30.56,0.0,0.0,232.0,9042.0,5.314,0.136,530.0,0.311,0.03,units unclear,30.56,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-03-12,Bahrain,BHR,"Mar 12, 2020",0,2020-03-12
BHR,Asia,Bahrain,2020-03-17,221.0,7.0,1.0,1.0,129.879,4.114,0.588,0.588,1422.0,13553.0,7.965,0.836,743.0,0.437,0.022000000000000002,units unclear,30.56,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-03-17,Bahrain,BHR,"Mar 17, 2020",0,2020-03-17
BHR,Asia,Bahrain,2020-03-30,500.0,27.0,4.0,0.0,293.844,15.868,2.351,0.0,701.0,32596.0,19.156,0.412,1061.0,0.624,0.022000000000000002,units unclear,78.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-03-30,Bahrain,BHR,"Mar 30, 2020",1,2020-03-30
BHR,Asia,Bahrain,2020-04-04,643.0,0.0,4.0,0.0,377.883,0.0,2.351,0.0,1260.0,39256.0,23.07,0.74,1164.0,0.684,0.022000000000000002,units unclear,78.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-04,Bahrain,BHR,"Apr 4, 2020",1,2020-04-04
BHR,Asia,Bahrain,2020-04-05,688.0,45.0,4.0,0.0,404.329,26.446,2.351,0.0,5130.0,44386.0,26.085,3.015,1784.0,1.048,0.017,units unclear,78.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-05,Bahrain,BHR,"Apr 5, 2020",1,2020-04-05
BHR,Asia,Bahrain,2020-04-06,700.0,12.0,4.0,0.0,411.382,7.052,2.351,0.0,3298.0,47684.0,28.023,1.938,2155.0,1.266,0.013000000000000001,units unclear,78.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-06,Bahrain,BHR,"Apr 6, 2020",1,2020-04-06
BHR,Asia,Bahrain,2020-04-07,756.0,56.0,4.0,0.0,444.292,32.911,2.351,0.0,2443.0,50127.0,29.459,1.436,2312.0,1.359,0.015,units unclear,78.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-07,Bahrain,BHR,"Apr 7, 2020",1,2020-04-07
BHR,Asia,Bahrain,2020-04-08,811.0,55.0,5.0,1.0,476.615,32.323,2.938,0.588,2677.0,52804.0,31.032,1.573,2501.0,1.47,0.013999999999999999,units unclear,78.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-08,Bahrain,BHR,"Apr 8, 2020",1,2020-04-08
BHR,Asia,Bahrain,2020-04-09,823.0,12.0,5.0,0.0,483.667,7.052,2.938,0.0,2292.0,55096.0,32.379,1.347,2636.0,1.549,0.013999999999999999,units unclear,75.0,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-09,Bahrain,BHR,"Apr 9, 2020",1,2020-04-09
BHR,Asia,Bahrain,2020-04-10,887.0,64.0,5.0,0.0,521.279,37.612,2.938,0.0,2585.0,57681.0,33.898,1.519,2812.0,1.653,0.012,units unclear,75.0,1701583.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,77.29,2020-04-10,Bahrain,BHR,"Apr 10, 2020",1,2020-04-10
