iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
BGD,Asia,Bangladesh,2020-03-17,5.0,2.0,0.0,0.0,0.03,0.012,0.0,0.0,49.0,342.0,0.002,0.0,28.0,0.0,0.01,samples tested,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-17,Bangladesh,BGD,"Mar 17, 2020",0,2020-03-17
BGD,Asia,Bangladesh,2020-03-18,8.0,3.0,0.0,0.0,0.049,0.018,0.0,0.0,39.0,381.0,0.002,0.0,31.0,0.0,0.023,samples tested,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-18,Bangladesh,BGD,"Mar 18, 2020",0,2020-03-18
BGD,Asia,Bangladesh,2020-03-19,10.0,2.0,0.0,0.0,0.061,0.012,0.0,0.0,46.0,427.0,0.003,0.0,34.0,0.0,0.028999999999999998,samples tested,75.93,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-19,Bangladesh,BGD,"Mar 19, 2020",2,2020-03-19
BGD,Asia,Bangladesh,2020-03-20,10.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,36.0,463.0,0.003,0.0,36.0,0.0,0.027999999999999997,samples tested,75.93,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-20,Bangladesh,BGD,"Mar 20, 2020",2,2020-03-20
BGD,Asia,Bangladesh,2020-03-21,17.0,7.0,0.0,0.0,0.103,0.043,0.0,0.0,36.0,499.0,0.003,0.0,37.0,0.0,0.054000000000000006,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-21,Bangladesh,BGD,"Mar 21, 2020",2,2020-03-21
BGD,Asia,Bangladesh,2020-03-22,24.0,7.0,2.0,2.0,0.146,0.043,0.012,0.012,65.0,564.0,0.003,0.0,42.0,0.0,0.071,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-22,Bangladesh,BGD,"Mar 22, 2020",2,2020-03-22
BGD,Asia,Bangladesh,2020-03-23,27.0,3.0,3.0,1.0,0.164,0.018,0.018,0.006,56.0,620.0,0.004,0.0,47.0,0.0,0.073,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-23,Bangladesh,BGD,"Mar 23, 2020",2,2020-03-23
BGD,Asia,Bangladesh,2020-03-24,33.0,6.0,3.0,0.0,0.2,0.036,0.018,0.0,92.0,712.0,0.004,0.001,53.0,0.0,0.075,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-24,Bangladesh,BGD,"Mar 24, 2020",2,2020-03-24
BGD,Asia,Bangladesh,2020-03-25,39.0,6.0,4.0,1.0,0.237,0.036,0.024,0.006,82.0,794.0,0.005,0.0,59.0,0.0,0.075,samples tested,82.41,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-25,Bangladesh,BGD,"Mar 25, 2020",1,2020-03-25
BGD,Asia,Bangladesh,2020-03-26,39.0,0.0,5.0,1.0,0.237,0.0,0.03,0.006,126.0,920.0,0.006,0.001,70.0,0.0,0.059000000000000004,samples tested,84.26,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-26,Bangladesh,BGD,"Mar 26, 2020",1,2020-03-26
BGD,Asia,Bangladesh,2020-03-27,48.0,9.0,5.0,0.0,0.291,0.055,0.03,0.0,106.0,1026.0,0.006,0.001,80.0,0.0,0.068,samples tested,84.26,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-27,Bangladesh,BGD,"Mar 27, 2020",1,2020-03-27
BGD,Asia,Bangladesh,2020-03-28,48.0,0.0,5.0,0.0,0.291,0.0,0.03,0.0,50.0,1076.0,0.007,0.0,82.0,0.0,0.054000000000000006,samples tested,84.26,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-28,Bangladesh,BGD,"Mar 28, 2020",1,2020-03-28
BGD,Asia,Bangladesh,2020-03-29,48.0,0.0,5.0,0.0,0.291,0.0,0.03,0.0,109.0,1185.0,0.007,0.001,89.0,0.001,0.039,samples tested,84.26,164689383.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,72.59,2020-03-29,Bangladesh,BGD,"Mar 29, 2020",1,2020-03-29
