iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
BLR,Europe,Belarus,2020-03-31,105.0,11.0,0.0,0.0,11.112,1.164,0.0,0.0,1000.0,31000.0,3.281,0.106,1086.0,0.115,0.003,tests performed,8.33,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-03-31,Belarus,BLR,"Mar 31, 2020",0,2020-03-31
BLR,Europe,Belarus,2020-04-01,152.0,47.0,0.0,0.0,16.086,4.974,0.0,0.0,1000.0,32000.0,3.386,0.106,1071.0,0.113,0.009000000000000001,tests performed,8.33,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-01,Belarus,BLR,"Apr 1, 2020",0,2020-04-01
BLR,Europe,Belarus,2020-04-09,1066.0,205.0,13.0,0.0,112.812,21.695,1.376,0.0,3000.0,49000.0,5.186,0.317,2200.0,0.233,0.059000000000000004,tests performed,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-09,Belarus,BLR,"Apr 9, 2020",0,2020-04-09
BLR,Europe,Belarus,2020-04-13,2578.0,352.0,26.0,3.0,272.824,37.251,2.752,0.317,4000.0,68000.0,7.196,0.423,4000.0,0.423,0.07200000000000001,tests performed,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-13,Belarus,BLR,"Apr 13, 2020",0,2020-04-13
BLR,Europe,Belarus,2020-04-14,2919.0,341.0,29.0,3.0,308.911,36.087,3.069,0.317,3875.0,71875.0,7.606,0.41,4125.0,0.437,0.077,tests performed,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-14,Belarus,BLR,"Apr 14, 2020",0,2020-04-14
BLR,Europe,Belarus,2020-04-15,3281.0,362.0,33.0,4.0,347.221,38.31,3.492,0.423,4323.0,76198.0,8.064,0.457,4314.0,0.457,0.08,tests performed,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-15,Belarus,BLR,"Apr 15, 2020",0,2020-04-15
BLR,Europe,Belarus,2020-04-18,4779.0,575.0,43.0,3.0,505.751,60.851,4.551,0.317,5896.0,92709.0,9.811,0.624,4816.0,0.51,0.083,tests performed,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-18,Belarus,BLR,"Apr 18, 2020",0,2020-04-18
BLR,Europe,Belarus,2020-04-19,5297.0,518.0,45.0,2.0,560.569,54.819,4.762,0.212,5522.0,98231.0,10.396,0.584,4890.0,0.517,0.09,tests performed,19.44,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-19,Belarus,BLR,"Apr 19, 2020",0,2020-04-19
BLR,Europe,Belarus,2020-04-20,5807.0,510.0,47.0,2.0,614.542,53.972,4.974,0.212,4335.0,102566.0,10.854,0.459,4938.0,0.523,0.09300000000000001,tests performed,13.89,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-20,Belarus,BLR,"Apr 20, 2020",0,2020-04-20
BLR,Europe,Belarus,2020-04-21,6264.0,457.0,51.0,4.0,662.905,48.363,5.397,0.423,5979.0,108545.0,11.487,0.633,5239.0,0.554,0.091,tests performed,13.89,9449321.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,2020-04-21,Belarus,BLR,"Apr 21, 2020",0,2020-04-21
