iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
BEL,Europe,Belgium,2020-03-08,344.0,27.0,0.0,0.0,29.682,2.33,0.0,0.0,483.0,4488.0,0.387,0.042,629.0,0.054,0.078,units unclear,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-08,Belgium,BEL,"Mar 8, 2020",0,2020-03-08
BEL,Europe,Belgium,2020-03-09,409.0,65.0,0.0,0.0,35.29,5.608,0.0,0.0,610.0,5098.0,0.44,0.053,671.0,0.058,0.083,units unclear,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-09,Belgium,BEL,"Mar 9, 2020",0,2020-03-09
BEL,Europe,Belgium,2020-03-10,503.0,94.0,0.0,0.0,43.401,8.111,0.0,0.0,804.0,5902.0,0.509,0.069,709.0,0.061,0.094,units unclear,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-10,Belgium,BEL,"Mar 10, 2020",0,2020-03-10
BEL,Europe,Belgium,2020-03-11,602.0,99.0,1.0,1.0,51.943,8.542,0.086,0.086,1108.0,7010.0,0.605,0.096,767.0,0.066,0.099,units unclear,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-11,Belgium,BEL,"Mar 11, 2020",0,2020-03-11
BEL,Europe,Belgium,2020-03-12,776.0,174.0,4.0,3.0,66.956,15.013,0.345,0.259,1438.0,8448.0,0.729,0.124,862.0,0.074,0.10800000000000001,units unclear,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-12,Belgium,BEL,"Mar 12, 2020",0,2020-03-12
BEL,Europe,Belgium,2020-03-13,1026.0,250.0,5.0,1.0,88.528,21.571,0.431,0.086,2524.0,10972.0,0.947,0.218,1063.0,0.092,0.11,units unclear,23.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-13,Belgium,BEL,"Mar 13, 2020",0,2020-03-13
BEL,Europe,Belgium,2020-03-14,1364.0,338.0,8.0,3.0,117.692,29.164,0.69,0.259,2171.0,13143.0,1.134,0.187,1305.0,0.113,0.115,units unclear,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-14,Belgium,BEL,"Mar 14, 2020",0,2020-03-14
BEL,Europe,Belgium,2020-03-15,1543.0,179.0,13.0,5.0,133.136,15.445,1.122,0.431,1269.0,14412.0,1.244,0.109,1418.0,0.122,0.121,units unclear,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-15,Belgium,BEL,"Mar 15, 2020",0,2020-03-15
BEL,Europe,Belgium,2020-03-16,1757.0,214.0,19.0,6.0,151.601,18.465,1.639,0.518,1892.0,16304.0,1.407,0.163,1601.0,0.138,0.12,units unclear,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-16,Belgium,BEL,"Mar 16, 2020",0,2020-03-16
BEL,Europe,Belgium,2020-03-17,2144.0,387.0,30.0,11.0,184.993,33.392,2.589,0.949,2255.0,18559.0,1.601,0.195,1808.0,0.156,0.13,units unclear,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-17,Belgium,BEL,"Mar 17, 2020",0,2020-03-17
BEL,Europe,Belgium,2020-03-18,2566.0,422.0,42.0,12.0,221.405,36.412,3.624,1.035,2714.0,21273.0,1.836,0.234,2038.0,0.176,0.138,units unclear,73.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-18,Belgium,BEL,"Mar 18, 2020",2,2020-03-18
BEL,Europe,Belgium,2020-03-19,3100.0,534.0,64.0,22.0,267.481,46.076,5.522,1.898,3395.0,24668.0,2.128,0.293,2317.0,0.2,0.14300000000000002,units unclear,73.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-19,Belgium,BEL,"Mar 19, 2020",2,2020-03-19
BEL,Europe,Belgium,2020-03-20,3813.0,713.0,92.0,28.0,329.001,61.521,7.938,2.416,3120.0,27788.0,2.398,0.269,2402.0,0.207,0.166,units unclear,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-20,Belgium,BEL,"Mar 20, 2020",2,2020-03-20
BEL,Europe,Belgium,2020-03-21,4476.0,663.0,123.0,31.0,386.208,57.206,10.613,2.675,2276.0,30064.0,2.594,0.196,2417.0,0.209,0.184,units unclear,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-21,Belgium,BEL,"Mar 21, 2020",2,2020-03-21
BEL,Europe,Belgium,2020-03-22,4946.0,470.0,162.0,39.0,426.761,40.554,13.978,3.365,1414.0,31478.0,2.716,0.122,2438.0,0.21,0.19899999999999998,units unclear,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-22,Belgium,BEL,"Mar 22, 2020",2,2020-03-22
BEL,Europe,Belgium,2020-03-23,5432.0,486.0,204.0,42.0,468.695,41.934,17.602,3.624,3322.0,34800.0,3.003,0.287,2642.0,0.228,0.19899999999999998,units unclear,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,81.63,2020-03-23,Belgium,BEL,"Mar 23, 2020",2,2020-03-23
