iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
BGR,Europe,Bulgaria,2020-05-02,1588.0,82.0,69.0,3.0,228.54,11.801,9.93,0.432,1126.0,47636.0,6.856,0.162,1833.0,0.264,0.031,tests performed,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-02,Bulgaria,BGR,"May 2, 2020",2,2020-05-02
BGR,Europe,Bulgaria,2020-05-03,1594.0,6.0,72.0,3.0,229.404,0.864,10.362,0.432,982.0,48618.0,6.997,0.141,1602.0,0.231,0.031,tests performed,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-03,Bulgaria,BGR,"May 3, 2020",2,2020-05-03
BGR,Europe,Bulgaria,2020-05-04,1618.0,24.0,73.0,1.0,232.858,3.454,10.506,0.144,527.0,49145.0,7.073,0.076,1306.0,0.188,0.035,tests performed,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-04,Bulgaria,BGR,"May 4, 2020",2,2020-05-04
BGR,Europe,Bulgaria,2020-05-05,1652.0,34.0,78.0,5.0,237.751,4.893,11.226,0.72,1158.0,50303.0,7.239,0.167,1099.0,0.158,0.038,tests performed,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-05,Bulgaria,BGR,"May 5, 2020",2,2020-05-05
BGR,Europe,Bulgaria,2020-05-06,1689.0,37.0,78.0,0.0,243.076,5.325,11.226,0.0,1465.0,51768.0,7.45,0.211,937.0,0.135,0.044000000000000004,tests performed,62.04,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-06,Bulgaria,BGR,"May 6, 2020",2,2020-05-06
BGR,Europe,Bulgaria,2020-05-07,1778.0,89.0,84.0,6.0,255.885,12.809,12.089,0.864,1163.0,52931.0,7.618,0.167,1010.0,0.145,0.047,tests performed,62.04,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-07,Bulgaria,BGR,"May 7, 2020",2,2020-05-07
BGR,Europe,Bulgaria,2020-05-08,1829.0,51.0,84.0,0.0,263.224,7.34,12.089,0.0,1397.0,54328.0,7.819,0.201,1117.0,0.161,0.040999999999999995,tests performed,60.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-08,Bulgaria,BGR,"May 8, 2020",1,2020-05-08
BGR,Europe,Bulgaria,2020-05-09,1911.0,82.0,88.0,4.0,275.026,11.801,12.665,0.576,1777.0,56105.0,8.074,0.256,1210.0,0.174,0.038,tests performed,60.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-09,Bulgaria,BGR,"May 9, 2020",1,2020-05-09
BGR,Europe,Bulgaria,2020-05-10,1955.0,44.0,90.0,2.0,281.358,6.332,12.953,0.288,1126.0,57231.0,8.237,0.162,1230.0,0.177,0.042,tests performed,60.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-10,Bulgaria,BGR,"May 10, 2020",1,2020-05-10
BGR,Europe,Bulgaria,2020-05-11,1965.0,10.0,91.0,1.0,282.797,1.439,13.096,0.144,403.0,57634.0,8.295,0.058,1213.0,0.175,0.040999999999999995,tests performed,60.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-11,Bulgaria,BGR,"May 11, 2020",1,2020-05-11
BGR,Europe,Bulgaria,2020-05-12,1990.0,25.0,93.0,2.0,286.395,3.598,13.384,0.288,1079.0,58713.0,8.45,0.155,1201.0,0.173,0.04,tests performed,60.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-12,Bulgaria,BGR,"May 12, 2020",1,2020-05-12
BGR,Europe,Bulgaria,2020-05-13,2023.0,33.0,95.0,2.0,291.144,4.749,13.672,0.288,1387.0,60100.0,8.649,0.2,1190.0,0.171,0.04,tests performed,60.19,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-13,Bulgaria,BGR,"May 13, 2020",1,2020-05-13
BGR,Europe,Bulgaria,2020-05-14,2069.0,46.0,96.0,1.0,297.764,6.62,13.816,0.144,1611.0,61711.0,8.881,0.232,1254.0,0.18,0.033,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-14,Bulgaria,BGR,"May 14, 2020",1,2020-05-14
BGR,Europe,Bulgaria,2020-05-15,2100.0,31.0,99.0,3.0,302.226,4.461,14.248,0.432,1608.0,63319.0,9.113,0.231,1284.0,0.185,0.03,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-15,Bulgaria,BGR,"May 15, 2020",1,2020-05-15
BGR,Europe,Bulgaria,2020-05-16,2138.0,38.0,102.0,3.0,307.695,5.469,14.68,0.432,1161.0,64480.0,9.28,0.167,1196.0,0.172,0.027000000000000003,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-16,Bulgaria,BGR,"May 16, 2020",1,2020-05-16
BGR,Europe,Bulgaria,2020-05-17,2211.0,73.0,108.0,6.0,318.201,10.506,15.543,0.864,1094.0,65574.0,9.437,0.157,1192.0,0.172,0.031,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-17,Bulgaria,BGR,"May 17, 2020",1,2020-05-17
BGR,Europe,Bulgaria,2020-05-18,2235.0,24.0,110.0,2.0,321.655,3.454,15.831,0.288,362.0,65936.0,9.489,0.052,1186.0,0.171,0.033,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-18,Bulgaria,BGR,"May 18, 2020",1,2020-05-18
BGR,Europe,Bulgaria,2020-05-19,2259.0,24.0,112.0,2.0,325.109,3.454,16.119,0.288,874.0,66810.0,9.615,0.126,1157.0,0.167,0.033,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-19,Bulgaria,BGR,"May 19, 2020",1,2020-05-19
BGR,Europe,Bulgaria,2020-05-20,2292.0,33.0,116.0,4.0,329.858,4.749,16.694,0.576,1433.0,68243.0,9.821,0.206,1163.0,0.167,0.033,tests performed,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-20,Bulgaria,BGR,"May 20, 2020",1,2020-05-20
BGR,Europe,Bulgaria,2020-05-23,2408.0,36.0,126.0,1.0,346.552,5.181,18.134,0.144,1605.0,73210.0,10.536,0.231,1247.0,0.179,0.031,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-23,Bulgaria,BGR,"May 23, 2020",1,2020-05-23
BGR,Europe,Bulgaria,2020-05-24,2408.0,0.0,126.0,0.0,346.552,0.0,18.134,0.0,886.0,74096.0,10.664,0.128,1217.0,0.175,0.023,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-24,Bulgaria,BGR,"May 24, 2020",1,2020-05-24
BGR,Europe,Bulgaria,2020-05-25,2433.0,25.0,130.0,4.0,350.15,3.598,18.709,0.576,443.0,74539.0,10.727,0.064,1229.0,0.177,0.023,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-25,Bulgaria,BGR,"May 25, 2020",1,2020-05-25
BGR,Europe,Bulgaria,2020-05-26,2433.0,0.0,130.0,0.0,350.15,0.0,18.709,0.0,295.0,74834.0,10.77,0.042,1146.0,0.165,0.022000000000000002,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-26,Bulgaria,BGR,"May 26, 2020",1,2020-05-26
BGR,Europe,Bulgaria,2020-05-27,2460.0,27.0,133.0,3.0,354.036,3.886,19.141,0.432,1557.0,76391.0,10.994,0.224,1164.0,0.168,0.021,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-27,Bulgaria,BGR,"May 27, 2020",1,2020-05-27
BGR,Europe,Bulgaria,2020-05-28,2460.0,0.0,133.0,0.0,354.036,0.0,19.141,0.0,1273.0,77664.0,11.177,0.183,1106.0,0.159,0.017,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-28,Bulgaria,BGR,"May 28, 2020",1,2020-05-28
BGR,Europe,Bulgaria,2020-05-29,2485.0,25.0,136.0,3.0,357.634,3.598,19.573,0.432,1725.0,79389.0,11.425,0.248,1112.0,0.16,0.015,tests performed,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-29,Bulgaria,BGR,"May 29, 2020",1,2020-05-29
BGR,Europe,Bulgaria,2020-05-30,2499.0,14.0,139.0,3.0,359.649,2.015,20.004,0.432,1353.0,80742.0,11.62,0.195,1076.0,0.155,0.012,tests performed,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-30,Bulgaria,BGR,"May 30, 2020",1,2020-05-30
BGR,Europe,Bulgaria,2020-05-31,2513.0,14.0,140.0,1.0,361.664,2.015,20.148,0.144,606.0,81348.0,11.707,0.087,1036.0,0.149,0.013999999999999999,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-05-31,Bulgaria,BGR,"May 31, 2020",0,2020-05-31
BGR,Europe,Bulgaria,2020-06-01,2513.0,0.0,140.0,0.0,361.664,0.0,20.148,0.0,346.0,81694.0,11.757,0.05,1022.0,0.147,0.011000000000000001,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-01,Bulgaria,BGR,"Jun 1, 2020",0,2020-06-01
BGR,Europe,Bulgaria,2020-06-02,2513.0,0.0,144.0,4.0,361.664,0.0,20.724,0.576,1220.0,82914.0,11.933,0.176,1154.0,0.166,0.01,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-02,Bulgaria,BGR,"Jun 2, 2020",0,2020-06-02
BGR,Europe,Bulgaria,2020-06-04,2585.0,47.0,147.0,3.0,372.026,6.764,21.156,0.432,1569.0,85830.0,12.352,0.226,1167.0,0.168,0.015,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-04,Bulgaria,BGR,"Jun 4, 2020",0,2020-06-04
BGR,Europe,Bulgaria,2020-06-05,2585.0,0.0,147.0,0.0,372.026,0.0,21.156,0.0,2060.0,87890.0,12.649,0.296,1214.0,0.175,0.012,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-05,Bulgaria,BGR,"Jun 5, 2020",0,2020-06-05
BGR,Europe,Bulgaria,2020-06-06,2668.0,83.0,160.0,13.0,383.971,11.945,23.027,1.871,1196.0,89086.0,12.821,0.172,1192.0,0.172,0.02,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-06,Bulgaria,BGR,"Jun 6, 2020",0,2020-06-06
BGR,Europe,Bulgaria,2020-06-07,2711.0,43.0,160.0,0.0,390.159,6.188,23.027,0.0,816.0,89902.0,12.938,0.117,1222.0,0.176,0.023,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-07,Bulgaria,BGR,"Jun 7, 2020",0,2020-06-07
BGR,Europe,Bulgaria,2020-06-08,2727.0,16.0,160.0,0.0,392.462,2.303,23.027,0.0,427.0,90329.0,13.0,0.061,1234.0,0.178,0.025,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-08,Bulgaria,BGR,"Jun 8, 2020",0,2020-06-08
BGR,Europe,Bulgaria,2020-06-09,2810.0,83.0,164.0,4.0,404.407,11.945,23.602,0.576,1406.0,91735.0,13.202,0.202,1260.0,0.181,0.034,tests performed,44.44,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-09,Bulgaria,BGR,"Jun 9, 2020",0,2020-06-09
BGR,Europe,Bulgaria,2020-06-10,2889.0,79.0,167.0,3.0,415.776,11.369,24.034,0.432,1777.0,93512.0,13.458,0.256,1322.0,0.19,0.038,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-10,Bulgaria,BGR,"Jun 10, 2020",0,2020-06-10
BGR,Europe,Bulgaria,2020-06-11,2993.0,104.0,167.0,0.0,430.744,14.967,24.034,0.0,2308.0,95820.0,13.79,0.332,1427.0,0.205,0.040999999999999995,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-11,Bulgaria,BGR,"Jun 11, 2020",0,2020-06-11
BGR,Europe,Bulgaria,2020-06-12,3086.0,93.0,168.0,1.0,444.128,13.384,24.178,0.144,2640.0,98460.0,14.17,0.38,1510.0,0.217,0.047,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-12,Bulgaria,BGR,"Jun 12, 2020",0,2020-06-12
BGR,Europe,Bulgaria,2020-06-13,3191.0,105.0,172.0,4.0,459.239,15.111,24.754,0.576,2642.0,101102.0,14.55,0.38,1717.0,0.247,0.044000000000000004,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-13,Bulgaria,BGR,"Jun 13, 2020",0,2020-06-13
BGR,Europe,Bulgaria,2020-06-14,3266.0,75.0,172.0,0.0,470.033,10.794,24.754,0.0,1975.0,103077.0,14.835,0.284,1882.0,0.271,0.042,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-14,Bulgaria,BGR,"Jun 14, 2020",0,2020-06-14
BGR,Europe,Bulgaria,2020-06-15,3290.0,24.0,174.0,2.0,473.487,3.454,25.042,0.288,1409.0,104486.0,15.037,0.203,2022.0,0.291,0.04,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-15,Bulgaria,BGR,"Jun 15, 2020",0,2020-06-15
BGR,Europe,Bulgaria,2020-06-16,3341.0,51.0,176.0,2.0,480.827,7.34,25.329,0.288,3839.0,108325.0,15.59,0.552,2370.0,0.341,0.032,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-16,Bulgaria,BGR,"Jun 16, 2020",0,2020-06-16
BGR,Europe,Bulgaria,2020-06-23,3984.0,79.0,207.0,8.0,573.366,11.369,29.791,1.151,2776.0,119556.0,17.206,0.4,1604.0,0.231,0.057,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-23,Bulgaria,BGR,"Jun 23, 2020",0,2020-06-23
BGR,Europe,Bulgaria,2020-06-24,4114.0,130.0,208.0,1.0,592.075,18.709,29.935,0.144,2946.0,122502.0,17.63,0.424,1728.0,0.249,0.055,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-24,Bulgaria,BGR,"Jun 24, 2020",0,2020-06-24
BGR,Europe,Bulgaria,2020-06-25,4242.0,128.0,209.0,1.0,610.496,18.421,30.079,0.144,3016.0,125518.0,18.064,0.434,1862.0,0.268,0.054000000000000006,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-25,Bulgaria,BGR,"Jun 25, 2020",0,2020-06-25
BGR,Europe,Bulgaria,2020-06-26,4408.0,166.0,211.0,2.0,634.387,23.89,30.367,0.288,2775.0,128293.0,18.464,0.399,1992.0,0.287,0.053,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-26,Bulgaria,BGR,"Jun 26, 2020",0,2020-06-26
BGR,Europe,Bulgaria,2020-06-27,4513.0,105.0,215.0,4.0,649.498,15.111,30.942,0.576,2750.0,131043.0,18.859,0.396,2118.0,0.305,0.051,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-27,Bulgaria,BGR,"Jun 27, 2020",0,2020-06-27
BGR,Europe,Bulgaria,2020-06-28,4625.0,112.0,216.0,1.0,665.617,16.119,31.086,0.144,1528.0,132571.0,19.079,0.22,2296.0,0.33,0.047,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-28,Bulgaria,BGR,"Jun 28, 2020",0,2020-06-28
BGR,Europe,Bulgaria,2020-06-29,4691.0,66.0,219.0,3.0,675.115,9.499,31.518,0.432,1034.0,133605.0,19.228,0.149,2404.0,0.346,0.047,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-29,Bulgaria,BGR,"Jun 29, 2020",0,2020-06-29
BGR,Europe,Bulgaria,2020-06-30,4831.0,140.0,223.0,4.0,695.263,20.148,32.094,0.576,4525.0,138130.0,19.879,0.651,2653.0,0.382,0.046,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-06-30,Bulgaria,BGR,"Jun 30, 2020",0,2020-06-30
BGR,Europe,Bulgaria,2020-07-01,4989.0,158.0,230.0,7.0,718.002,22.739,33.101,1.007,3343.0,141473.0,20.36,0.481,2710.0,0.39,0.046,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-01,Bulgaria,BGR,"Jul 1, 2020",0,2020-07-01
BGR,Europe,Bulgaria,2020-07-02,5154.0,165.0,232.0,2.0,741.749,23.746,33.389,0.288,2896.0,144369.0,20.777,0.417,2693.0,0.388,0.048,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-02,Bulgaria,BGR,"Jul 2, 2020",0,2020-07-02
BGR,Europe,Bulgaria,2020-07-03,5315.0,161.0,232.0,0.0,764.919,23.171,33.389,0.0,3155.0,147524.0,21.231,0.454,2747.0,0.395,0.047,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-03,Bulgaria,BGR,"Jul 3, 2020",0,2020-07-03
BGR,Europe,Bulgaria,2020-07-04,5497.0,182.0,239.0,7.0,791.112,26.193,34.396,1.007,2538.0,150062.0,21.596,0.365,2717.0,0.391,0.052000000000000005,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-04,Bulgaria,BGR,"Jul 4, 2020",0,2020-07-04
BGR,Europe,Bulgaria,2020-07-05,5677.0,180.0,241.0,2.0,817.017,25.905,34.684,0.288,3514.0,153576.0,22.102,0.506,3001.0,0.432,0.05,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-05,Bulgaria,BGR,"Jul 5, 2020",0,2020-07-05
BGR,Europe,Bulgaria,2020-07-06,5740.0,63.0,246.0,5.0,826.084,9.067,35.404,0.72,2775.0,156351.0,22.502,0.399,3249.0,0.468,0.046,tests performed,38.89,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-06,Bulgaria,BGR,"Jul 6, 2020",0,2020-07-06
BGR,Europe,Bulgaria,2020-07-09,6342.0,240.0,259.0,5.0,912.722,34.54,37.275,0.72,4286.0,164104.0,23.617,0.617,2819.0,0.406,0.06,tests performed,47.22,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-09,Bulgaria,BGR,"Jul 9, 2020",0,2020-07-09
BGR,Europe,Bulgaria,2020-07-10,6672.0,330.0,262.0,3.0,960.215,47.493,37.706,0.432,3686.0,167790.0,24.148,0.53,2895.0,0.417,0.067,tests performed,47.22,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-10,Bulgaria,BGR,"Jul 10, 2020",0,2020-07-10
BGR,Europe,Bulgaria,2020-07-11,6964.0,292.0,262.0,0.0,1002.239,42.024,37.706,0.0,4540.0,172330.0,24.801,0.653,3181.0,0.458,0.066,tests performed,47.22,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-11,Bulgaria,BGR,"Jul 11, 2020",0,2020-07-11
BGR,Europe,Bulgaria,2020-07-12,7175.0,211.0,262.0,0.0,1032.605,30.367,37.706,0.0,2806.0,175136.0,25.205,0.404,3080.0,0.443,0.069,tests performed,47.22,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-12,Bulgaria,BGR,"Jul 12, 2020",0,2020-07-12
BGR,Europe,Bulgaria,2020-07-13,7252.0,77.0,268.0,6.0,1043.687,11.082,38.57,0.864,1198.0,176334.0,25.377,0.172,2855.0,0.411,0.076,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-13,Bulgaria,BGR,"Jul 13, 2020",0,2020-07-13
BGR,Europe,Bulgaria,2020-07-14,7411.0,159.0,276.0,8.0,1066.57,22.883,39.721,1.151,3341.0,179675.0,25.858,0.481,3084.0,0.444,0.069,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-14,Bulgaria,BGR,"Jul 14, 2020",0,2020-07-14
BGR,Europe,Bulgaria,2020-07-15,7645.0,234.0,283.0,7.0,1100.246,33.677,40.729,1.007,4885.0,184560.0,26.561,0.703,3535.0,0.509,0.062,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-15,Bulgaria,BGR,"Jul 15, 2020",0,2020-07-15
BGR,Europe,Bulgaria,2020-07-16,7877.0,232.0,289.0,6.0,1133.635,33.389,41.592,0.864,5393.0,189953.0,27.337,0.776,3693.0,0.531,0.059000000000000004,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-16,Bulgaria,BGR,"Jul 16, 2020",0,2020-07-16
BGR,Europe,Bulgaria,2020-07-17,8144.0,267.0,293.0,4.0,1172.061,38.426,42.168,0.576,6526.0,196479.0,28.277,0.939,4098.0,0.59,0.051,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-17,Bulgaria,BGR,"Jul 17, 2020",0,2020-07-17
BGR,Europe,Bulgaria,2020-07-18,8442.0,298.0,297.0,4.0,1214.948,42.887,42.743,0.576,4884.0,201363.0,28.98,0.703,4148.0,0.597,0.051,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-18,Bulgaria,BGR,"Jul 18, 2020",0,2020-07-18
BGR,Europe,Bulgaria,2020-07-19,8638.0,196.0,299.0,2.0,1243.156,28.208,43.031,0.288,2003.0,203366.0,29.268,0.288,4033.0,0.58,0.052000000000000005,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,75.05,2020-07-19,Bulgaria,BGR,"Jul 19, 2020",0,2020-07-19
