iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
CAN,North America,Canada,2020-03-25,1959.0,313.0,27.0,3.0,51.905,8.293,0.715,0.079,17092.0,142154.0,3.766,0.453,12597.0,0.334,0.016,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-03-25,Canada,CAN,"Mar 25, 2020",1,2020-03-25
CAN,North America,Canada,2020-03-26,3385.0,1426.0,35.0,8.0,89.688,37.783,0.927,0.212,19449.0,161603.0,4.282,0.515,15235.0,0.404,0.025,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-03-26,Canada,CAN,"Mar 26, 2020",1,2020-03-26
CAN,North America,Canada,2020-03-27,4018.0,633.0,39.0,4.0,106.459,16.772,1.033,0.106,9041.0,170644.0,4.521,0.24,13404.0,0.355,0.034,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-03-27,Canada,CAN,"Mar 27, 2020",1,2020-03-27
CAN,North America,Canada,2020-03-28,4675.0,657.0,53.0,14.0,123.867,17.408,1.404,0.371,13557.0,184201.0,4.881,0.359,13617.0,0.361,0.039,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-03-28,Canada,CAN,"Mar 28, 2020",1,2020-03-28
CAN,North America,Canada,2020-03-29,5386.0,711.0,60.0,7.0,142.705,18.838,1.59,0.185,26234.0,210435.0,5.576,0.695,15944.0,0.422,0.037000000000000005,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-03-29,Canada,CAN,"Mar 29, 2020",1,2020-03-29
CAN,North America,Canada,2020-03-30,6255.0,869.0,61.0,1.0,165.73,23.025,1.616,0.026,30703.0,241138.0,6.389,0.813,19142.0,0.507,0.036000000000000004,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-03-30,Canada,CAN,"Mar 30, 2020",1,2020-03-30
CAN,North America,Canada,2020-04-02,9595.0,1059.0,109.0,13.0,254.225,28.059,2.888,0.344,11221.0,268154.0,7.105,0.297,15222.0,0.403,0.057999999999999996,people tested,74.54,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-04-02,Canada,CAN,"Apr 2, 2020",1,2020-04-02
CAN,North America,Canada,2020-04-03,11268.0,1673.0,138.0,29.0,298.552,44.327,3.656,0.768,26911.0,295065.0,7.818,0.713,17774.0,0.471,0.057999999999999996,people tested,74.54,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-04-03,Canada,CAN,"Apr 3, 2020",1,2020-04-03
CAN,North America,Canada,2020-04-04,12519.0,1251.0,187.0,49.0,331.698,33.146,4.955,1.298,16906.0,311971.0,8.266,0.448,18253.0,0.484,0.061,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-04-04,Canada,CAN,"Apr 4, 2020",1,2020-04-04
CAN,North America,Canada,2020-04-05,13882.0,1363.0,231.0,44.0,367.812,36.113,6.12,1.166,22878.0,334849.0,8.872,0.606,17773.0,0.471,0.068,people tested,72.69,37742157.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,82.43,2020-04-05,Canada,CAN,"Apr 5, 2020",1,2020-04-05
