iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
CHL,South America,Chile,2020-04-08,5116.0,301.0,43.0,6.0,267.626,15.746,2.249,0.314,3269.0,60391.0,3.159,0.171,3193.0,0.167,0.106,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-08,Chile,CHL,"Apr 8, 2020",2,2020-04-08
CHL,South America,Chile,2020-04-09,5546.0,430.0,48.0,5.0,290.12,22.494,2.511,0.262,7962.0,68353.0,3.576,0.417,3947.0,0.206,0.091,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-09,Chile,CHL,"Apr 9, 2020",2,2020-04-09
CHL,South America,Chile,2020-04-10,5972.0,426.0,57.0,9.0,312.405,22.285,2.982,0.471,4444.0,72797.0,3.808,0.232,4095.0,0.214,0.09,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-10,Chile,CHL,"Apr 10, 2020",2,2020-04-10
CHL,South America,Chile,2020-04-11,6501.0,529.0,65.0,8.0,340.078,27.673,3.4,0.418,3577.0,76374.0,3.995,0.187,3966.0,0.207,0.1,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-11,Chile,CHL,"Apr 11, 2020",2,2020-04-11
CHL,South America,Chile,2020-04-12,6927.0,426.0,73.0,8.0,362.363,22.285,3.819,0.418,5897.0,82271.0,4.304,0.308,4331.0,0.227,0.091,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-12,Chile,CHL,"Apr 12, 2020",2,2020-04-12
CHL,South America,Chile,2020-04-13,7213.0,286.0,80.0,7.0,377.324,14.961,4.185,0.366,2764.0,85035.0,4.448,0.145,4310.0,0.225,0.091,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-13,Chile,CHL,"Apr 13, 2020",2,2020-04-13
CHL,South America,Chile,2020-04-14,7525.0,312.0,82.0,2.0,393.645,16.321,4.29,0.105,2759.0,87794.0,4.593,0.144,4382.0,0.229,0.08800000000000001,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-14,Chile,CHL,"Apr 14, 2020",2,2020-04-14
CHL,South America,Chile,2020-04-15,7917.0,392.0,92.0,10.0,414.151,20.506,4.813,0.523,4079.0,91873.0,4.806,0.213,4497.0,0.235,0.08900000000000001,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-15,Chile,CHL,"Apr 15, 2020",2,2020-04-15
CHL,South America,Chile,2020-04-16,8273.0,356.0,94.0,2.0,432.774,18.623,4.917,0.105,6551.0,98424.0,5.149,0.343,4296.0,0.225,0.091,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-16,Chile,CHL,"Apr 16, 2020",2,2020-04-16
CHL,South America,Chile,2020-04-17,8807.0,534.0,105.0,11.0,460.709,27.934,5.493,0.575,5449.0,103873.0,5.434,0.285,4439.0,0.232,0.091,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-17,Chile,CHL,"Apr 17, 2020",2,2020-04-17
CHL,South America,Chile,2020-04-18,9252.0,445.0,116.0,11.0,483.987,23.279,6.068,0.575,5018.0,108891.0,5.696,0.262,4645.0,0.243,0.085,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-18,Chile,CHL,"Apr 18, 2020",2,2020-04-18
CHL,South America,Chile,2020-04-19,9730.0,478.0,126.0,10.0,508.992,25.005,6.591,0.523,4758.0,113649.0,5.945,0.249,4483.0,0.235,0.08900000000000001,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-19,Chile,CHL,"Apr 19, 2020",2,2020-04-19
CHL,South America,Chile,2020-04-20,10088.0,358.0,133.0,7.0,527.72,18.728,6.957,0.366,5178.0,118827.0,6.216,0.271,4827.0,0.253,0.085,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-20,Chile,CHL,"Apr 20, 2020",2,2020-04-20
CHL,South America,Chile,2020-04-21,10507.0,419.0,139.0,6.0,549.638,21.919,7.271,0.314,3530.0,122357.0,6.401,0.185,4938.0,0.258,0.086,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-21,Chile,CHL,"Apr 21, 2020",2,2020-04-21
CHL,South America,Chile,2020-04-22,10832.0,325.0,147.0,8.0,566.64,17.001,7.69,0.418,6365.0,128722.0,6.734,0.333,5264.0,0.275,0.079,tests performed,73.15,19116209.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,2020-04-22,Chile,CHL,"Apr 22, 2020",2,2020-04-22
