iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
COL,South America,Colombia,2020-03-14,16.0,7.0,0.0,0.0,0.314,0.138,0.0,0.0,589.0,2343.0,0.046,0.012,219.0,0.004,0.01,samples tested,34.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-14,Colombia,COL,"Mar 14, 2020",0,2020-03-14
COL,South America,Colombia,2020-03-15,34.0,18.0,0.0,0.0,0.668,0.354,0.0,0.0,833.0,3176.0,0.062,0.016,338.0,0.007,0.013999999999999999,samples tested,34.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-15,Colombia,COL,"Mar 15, 2020",0,2020-03-15
COL,South America,Colombia,2020-03-16,45.0,11.0,0.0,0.0,0.884,0.216,0.0,0.0,431.0,3607.0,0.071,0.008,394.0,0.008,0.016,samples tested,45.37,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-16,Colombia,COL,"Mar 16, 2020",0,2020-03-16
COL,South America,Colombia,2020-03-17,57.0,12.0,0.0,0.0,1.12,0.236,0.0,0.0,324.0,3931.0,0.077,0.006,429.0,0.008,0.018000000000000002,samples tested,50.93,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-17,Colombia,COL,"Mar 17, 2020",0,2020-03-17
COL,South America,Colombia,2020-03-18,65.0,8.0,0.0,0.0,1.277,0.157,0.0,0.0,759.0,4690.0,0.092,0.015,508.0,0.01,0.017,samples tested,50.93,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-18,Colombia,COL,"Mar 18, 2020",0,2020-03-18
COL,South America,Colombia,2020-03-19,102.0,37.0,0.0,0.0,2.005,0.727,0.0,0.0,673.0,5363.0,0.105,0.013,567.0,0.011,0.023,samples tested,50.93,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-19,Colombia,COL,"Mar 19, 2020",0,2020-03-19
COL,South America,Colombia,2020-03-20,128.0,26.0,0.0,0.0,2.516,0.511,0.0,0.0,403.0,5766.0,0.113,0.008,573.0,0.011,0.03,samples tested,50.93,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-20,Colombia,COL,"Mar 20, 2020",0,2020-03-20
COL,South America,Colombia,2020-03-21,158.0,30.0,0.0,0.0,3.105,0.59,0.0,0.0,298.0,6064.0,0.119,0.006,532.0,0.01,0.038,samples tested,50.93,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-21,Colombia,COL,"Mar 21, 2020",0,2020-03-21
COL,South America,Colombia,2020-03-22,210.0,52.0,1.0,1.0,4.127,1.022,0.02,0.02,846.0,6910.0,0.136,0.017,533.0,0.01,0.047,samples tested,50.93,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-22,Colombia,COL,"Mar 22, 2020",0,2020-03-22
COL,South America,Colombia,2020-03-23,235.0,25.0,2.0,1.0,4.618,0.491,0.039,0.02,375.0,7285.0,0.143,0.007,525.0,0.01,0.052000000000000005,samples tested,53.7,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-23,Colombia,COL,"Mar 23, 2020",0,2020-03-23
COL,South America,Colombia,2020-03-24,306.0,71.0,3.0,1.0,6.014,1.395,0.059,0.02,766.0,8051.0,0.158,0.015,589.0,0.012,0.06,samples tested,53.7,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-24,Colombia,COL,"Mar 24, 2020",0,2020-03-24
COL,South America,Colombia,2020-03-25,378.0,72.0,3.0,0.0,7.429,1.415,0.059,0.0,746.0,8797.0,0.173,0.015,587.0,0.012,0.076,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-25,Colombia,COL,"Mar 25, 2020",2,2020-03-25
COL,South America,Colombia,2020-03-26,470.0,92.0,4.0,1.0,9.237,1.808,0.079,0.02,431.0,9228.0,0.181,0.008,552.0,0.011,0.095,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-26,Colombia,COL,"Mar 26, 2020",2,2020-03-26
COL,South America,Colombia,2020-03-27,491.0,21.0,6.0,2.0,9.65,0.413,0.118,0.039,258.0,9486.0,0.186,0.005,531.0,0.01,0.098,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-27,Colombia,COL,"Mar 27, 2020",2,2020-03-27
COL,South America,Colombia,2020-03-28,539.0,48.0,6.0,0.0,10.593,0.943,0.118,0.0,1365.0,10851.0,0.213,0.027,684.0,0.013,0.08,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-28,Colombia,COL,"Mar 28, 2020",2,2020-03-28
COL,South America,Colombia,2020-03-29,608.0,69.0,6.0,0.0,11.949,1.356,0.118,0.0,1474.0,12325.0,0.242,0.029,774.0,0.015,0.073,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-29,Colombia,COL,"Mar 29, 2020",2,2020-03-29
COL,South America,Colombia,2020-03-30,702.0,94.0,10.0,4.0,13.796,1.847,0.197,0.079,1491.0,13816.0,0.272,0.029,933.0,0.018,0.07200000000000001,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-30,Colombia,COL,"Mar 30, 2020",2,2020-03-30
COL,South America,Colombia,2020-03-31,798.0,96.0,14.0,4.0,15.683,1.887,0.275,0.079,4047.0,17863.0,0.351,0.08,1402.0,0.028,0.05,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-03-31,Colombia,COL,"Mar 31, 2020",2,2020-03-31
COL,South America,Colombia,2020-04-01,906.0,108.0,16.0,2.0,17.806,2.123,0.314,0.039,2390.0,20253.0,0.398,0.047,1637.0,0.032,0.046,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-01,Colombia,COL,"Apr 1, 2020",2,2020-04-01
COL,South America,Colombia,2020-04-02,1065.0,159.0,17.0,1.0,20.93,3.125,0.334,0.02,1159.0,21412.0,0.421,0.023,1741.0,0.034,0.049,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-02,Colombia,COL,"Apr 2, 2020",2,2020-04-02
COL,South America,Colombia,2020-04-03,1161.0,96.0,19.0,2.0,22.817,1.887,0.373,0.039,1340.0,22752.0,0.447,0.026,1895.0,0.037,0.051,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-03,Colombia,COL,"Apr 3, 2020",2,2020-04-03
COL,South America,Colombia,2020-04-04,1267.0,106.0,25.0,6.0,24.9,2.083,0.491,0.118,1104.0,23856.0,0.469,0.022,1858.0,0.037,0.055999999999999994,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-04,Colombia,COL,"Apr 4, 2020",2,2020-04-04
COL,South America,Colombia,2020-04-05,1406.0,139.0,32.0,7.0,27.632,2.732,0.629,0.138,1691.0,25547.0,0.502,0.033,1889.0,0.037,0.06,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-05,Colombia,COL,"Apr 5, 2020",2,2020-04-05
COL,South America,Colombia,2020-04-06,1485.0,79.0,35.0,3.0,29.185,1.553,0.688,0.059,2421.0,27968.0,0.55,0.048,2022.0,0.04,0.055,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-06,Colombia,COL,"Apr 6, 2020",2,2020-04-06
COL,South America,Colombia,2020-04-07,1579.0,94.0,46.0,11.0,31.032,1.847,0.904,0.216,2760.0,30728.0,0.604,0.054,1838.0,0.036,0.061,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-07,Colombia,COL,"Apr 7, 2020",2,2020-04-07
COL,South America,Colombia,2020-04-08,1780.0,201.0,50.0,4.0,34.982,3.95,0.983,0.079,3130.0,33858.0,0.665,0.062,1944.0,0.038,0.064,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-08,Colombia,COL,"Apr 8, 2020",2,2020-04-08
COL,South America,Colombia,2020-04-09,2054.0,274.0,55.0,5.0,40.367,5.385,1.081,0.098,1335.0,35193.0,0.692,0.026,1969.0,0.039,0.07200000000000001,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-09,Colombia,COL,"Apr 9, 2020",2,2020-04-09
COL,South America,Colombia,2020-04-10,2223.0,169.0,69.0,14.0,43.689,3.321,1.356,0.275,2683.0,37876.0,0.744,0.053,2161.0,0.042,0.07,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-10,Colombia,COL,"Apr 10, 2020",2,2020-04-10
COL,South America,Colombia,2020-04-11,2473.0,250.0,80.0,11.0,48.602,4.913,1.572,0.216,2742.0,40618.0,0.798,0.054,2395.0,0.047,0.07200000000000001,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-11,Colombia,COL,"Apr 11, 2020",2,2020-04-11
COL,South America,Colombia,2020-04-12,2709.0,236.0,100.0,20.0,53.24,4.638,1.965,0.393,1162.0,41780.0,0.821,0.023,2319.0,0.046,0.08,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-12,Colombia,COL,"Apr 12, 2020",2,2020-04-12
COL,South America,Colombia,2020-04-13,2776.0,67.0,109.0,9.0,54.557,1.317,2.142,0.177,1256.0,43036.0,0.846,0.025,2153.0,0.042,0.086,samples tested,87.96,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-13,Colombia,COL,"Apr 13, 2020",2,2020-04-13
COL,South America,Colombia,2020-04-14,2852.0,76.0,112.0,3.0,56.05,1.494,2.201,0.059,2315.0,45351.0,0.891,0.045,2089.0,0.041,0.087,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-14,Colombia,COL,"Apr 14, 2020",2,2020-04-14
COL,South America,Colombia,2020-04-15,2979.0,127.0,127.0,15.0,58.546,2.496,2.496,0.295,3205.0,48556.0,0.954,0.063,2100.0,0.041,0.08199999999999999,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-15,Colombia,COL,"Apr 15, 2020",2,2020-04-15
COL,South America,Colombia,2020-04-16,3105.0,126.0,131.0,4.0,61.022,2.476,2.575,0.079,3457.0,52013.0,1.022,0.068,2403.0,0.047,0.062,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-16,Colombia,COL,"Apr 16, 2020",2,2020-04-16
COL,South America,Colombia,2020-04-17,3233.0,128.0,144.0,13.0,63.538,2.516,2.83,0.255,3488.0,55501.0,1.091,0.069,2518.0,0.049,0.057,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-17,Colombia,COL,"Apr 17, 2020",2,2020-04-17
COL,South America,Colombia,2020-04-18,3439.0,206.0,153.0,9.0,67.587,4.049,3.007,0.177,3429.0,58930.0,1.158,0.067,2616.0,0.051,0.053,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-18,Colombia,COL,"Apr 18, 2020",2,2020-04-18
COL,South America,Colombia,2020-04-19,3621.0,182.0,166.0,13.0,71.163,3.577,3.262,0.255,3744.0,62674.0,1.232,0.074,2985.0,0.059,0.044000000000000004,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-19,Colombia,COL,"Apr 19, 2020",2,2020-04-19
COL,South America,Colombia,2020-04-20,3792.0,171.0,179.0,13.0,74.524,3.361,3.518,0.255,2423.0,65097.0,1.279,0.048,3152.0,0.062,0.046,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-20,Colombia,COL,"Apr 20, 2020",2,2020-04-20
COL,South America,Colombia,2020-04-21,3977.0,185.0,189.0,10.0,78.16,3.636,3.714,0.197,3259.0,68356.0,1.343,0.064,3286.0,0.065,0.049,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-21,Colombia,COL,"Apr 21, 2020",2,2020-04-21
COL,South America,Colombia,2020-04-22,4149.0,172.0,196.0,7.0,81.54,3.38,3.852,0.138,3051.0,71407.0,1.403,0.06,3264.0,0.064,0.051,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-22,Colombia,COL,"Apr 22, 2020",2,2020-04-22
COL,South America,Colombia,2020-04-23,4356.0,207.0,206.0,10.0,85.608,4.068,4.049,0.197,3457.0,74864.0,1.471,0.068,3264.0,0.064,0.055,samples tested,84.26,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-23,Colombia,COL,"Apr 23, 2020",2,2020-04-23
COL,South America,Colombia,2020-04-24,4561.0,205.0,215.0,9.0,89.637,4.029,4.225,0.177,3121.0,77985.0,1.533,0.061,3212.0,0.063,0.059000000000000004,samples tested,87.04,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-24,Colombia,COL,"Apr 24, 2020",2,2020-04-24
COL,South America,Colombia,2020-04-25,4881.0,320.0,225.0,10.0,95.926,6.289,4.422,0.197,3068.0,81053.0,1.593,0.06,3160.0,0.062,0.065,samples tested,87.04,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-25,Colombia,COL,"Apr 25, 2020",2,2020-04-25
COL,South America,Colombia,2020-04-26,5142.0,261.0,233.0,8.0,101.056,5.129,4.579,0.157,6053.0,87106.0,1.712,0.119,3490.0,0.069,0.062,samples tested,87.04,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-26,Colombia,COL,"Apr 26, 2020",2,2020-04-26
COL,South America,Colombia,2020-04-27,5379.0,237.0,243.0,10.0,105.713,4.658,4.776,0.197,3793.0,90899.0,1.786,0.075,3686.0,0.072,0.062,samples tested,90.74,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-27,Colombia,COL,"Apr 27, 2020",2,2020-04-27
COL,South America,Colombia,2020-04-28,5597.0,218.0,253.0,10.0,109.998,4.284,4.972,0.197,4186.0,95085.0,1.869,0.082,3818.0,0.075,0.061,samples tested,90.74,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-28,Colombia,COL,"Apr 28, 2020",2,2020-04-28
COL,South America,Colombia,2020-04-29,5949.0,352.0,269.0,16.0,116.916,6.918,5.287,0.314,5068.0,100153.0,1.968,0.1,4107.0,0.081,0.063,samples tested,90.74,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-29,Colombia,COL,"Apr 29, 2020",2,2020-04-29
COL,South America,Colombia,2020-04-30,6211.0,262.0,278.0,9.0,122.065,5.149,5.464,0.177,4504.0,104657.0,2.057,0.089,4256.0,0.084,0.062,samples tested,90.74,50882884.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,77.29,2020-04-30,Colombia,COL,"Apr 30, 2020",2,2020-04-30
