iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
CRI,North America,Costa Rica,2020-03-18,50.0,9.0,0.0,0.0,9.815,1.767,0.0,0.0,154.0,852.0,0.167,0.03,112.0,0.022,0.047,people tested,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-18,Costa Rica,CRI,"Mar 18, 2020",0,2020-03-18
CRI,North America,Costa Rica,2020-03-19,69.0,19.0,1.0,1.0,13.545,3.73,0.196,0.196,116.0,968.0,0.19,0.023,116.0,0.023,0.057999999999999996,people tested,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-19,Costa Rica,CRI,"Mar 19, 2020",0,2020-03-19
CRI,North America,Costa Rica,2020-03-20,87.0,18.0,1.0,0.0,17.079,3.533,0.196,0.0,119.0,1087.0,0.213,0.023,121.0,0.024,0.076,people tested,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-20,Costa Rica,CRI,"Mar 20, 2020",0,2020-03-20
CRI,North America,Costa Rica,2020-03-21,113.0,26.0,2.0,1.0,22.182,5.104,0.393,0.196,148.0,1235.0,0.242,0.029,124.0,0.024,0.1,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-21,Costa Rica,CRI,"Mar 21, 2020",0,2020-03-21
CRI,North America,Costa Rica,2020-03-22,117.0,4.0,2.0,0.0,22.968,0.785,0.393,0.0,227.0,1462.0,0.287,0.045,150.0,0.029,0.086,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-22,Costa Rica,CRI,"Mar 22, 2020",0,2020-03-22
CRI,North America,Costa Rica,2020-03-23,134.0,17.0,2.0,0.0,26.305,3.337,0.393,0.0,157.0,1619.0,0.318,0.031,148.0,0.029,0.096,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-23,Costa Rica,CRI,"Mar 23, 2020",0,2020-03-23
CRI,North America,Costa Rica,2020-03-24,158.0,24.0,2.0,0.0,31.016,4.711,0.393,0.0,165.0,1784.0,0.35,0.032,155.0,0.03,0.10800000000000001,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-24,Costa Rica,CRI,"Mar 24, 2020",0,2020-03-24
CRI,North America,Costa Rica,2020-03-25,177.0,19.0,2.0,0.0,34.746,3.73,0.393,0.0,89.0,1873.0,0.368,0.017,146.0,0.029,0.124,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-25,Costa Rica,CRI,"Mar 25, 2020",0,2020-03-25
CRI,North America,Costa Rica,2020-03-26,201.0,24.0,2.0,0.0,39.457,4.711,0.393,0.0,677.0,2550.0,0.501,0.133,226.0,0.044,0.083,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-26,Costa Rica,CRI,"Mar 26, 2020",0,2020-03-26
CRI,North America,Costa Rica,2020-03-27,231.0,30.0,2.0,0.0,45.346,5.889,0.393,0.0,487.0,3037.0,0.596,0.096,279.0,0.055,0.07400000000000001,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-27,Costa Rica,CRI,"Mar 27, 2020",0,2020-03-27
CRI,North America,Costa Rica,2020-03-28,263.0,32.0,2.0,0.0,51.628,6.282,0.393,0.0,158.0,3195.0,0.627,0.031,280.0,0.055,0.077,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-28,Costa Rica,CRI,"Mar 28, 2020",0,2020-03-28
CRI,North America,Costa Rica,2020-03-29,295.0,32.0,2.0,0.0,57.91,6.282,0.393,0.0,222.0,3417.0,0.671,0.044,279.0,0.055,0.091,people tested,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,80.28,2020-03-29,Costa Rica,CRI,"Mar 29, 2020",0,2020-03-29
