iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
HRV,Europe,Croatia,2020-03-13,25.0,9.0,0.0,0.0,6.09,2.192,0.0,0.0,70.0,553.0,0.135,0.017,36.0,0.009,0.06,people tested,31.48,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-13,Croatia,HRV,"Mar 13, 2020",0,2020-03-13
HRV,Europe,Croatia,2020-03-14,31.0,6.0,0.0,0.0,7.551,1.462,0.0,0.0,96.0,649.0,0.158,0.023,47.0,0.011,0.061,people tested,38.89,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-14,Croatia,HRV,"Mar 14, 2020",0,2020-03-14
HRV,Europe,Croatia,2020-03-15,37.0,6.0,0.0,0.0,9.013,1.462,0.0,0.0,96.0,745.0,0.181,0.023,60.0,0.015,0.06,people tested,41.67,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-15,Croatia,HRV,"Mar 15, 2020",0,2020-03-15
HRV,Europe,Croatia,2020-03-16,48.0,11.0,0.0,0.0,11.692,2.679,0.0,0.0,135.0,880.0,0.214,0.033,77.0,0.019,0.067,people tested,41.67,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-16,Croatia,HRV,"Mar 16, 2020",0,2020-03-16
HRV,Europe,Croatia,2020-03-17,56.0,8.0,0.0,0.0,13.641,1.949,0.0,0.0,229.0,1109.0,0.27,0.056,106.0,0.026,0.059000000000000004,people tested,41.67,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-17,Croatia,HRV,"Mar 17, 2020",0,2020-03-17
HRV,Europe,Croatia,2020-03-18,69.0,13.0,0.0,0.0,16.808,3.167,0.0,0.0,72.0,1181.0,0.288,0.018,108.0,0.026,0.07400000000000001,people tested,44.44,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-18,Croatia,HRV,"Mar 18, 2020",0,2020-03-18
HRV,Europe,Croatia,2020-03-19,81.0,12.0,0.0,0.0,19.731,2.923,0.0,0.0,83.0,1264.0,0.308,0.02,112.0,0.027,0.083,people tested,50.0,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-19,Croatia,HRV,"Mar 19, 2020",0,2020-03-19
HRV,Europe,Croatia,2020-03-25,382.0,76.0,1.0,1.0,93.051,18.513,0.244,0.244,459.0,3618.0,0.881,0.112,348.0,0.085,0.128,people tested,96.3,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-25,Croatia,HRV,"Mar 25, 2020",2,2020-03-25
HRV,Europe,Croatia,2020-03-26,418.0,36.0,1.0,0.0,101.82,8.769,0.244,0.0,590.0,4208.0,1.025,0.144,421.0,0.103,0.114,people tested,96.3,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-26,Croatia,HRV,"Mar 26, 2020",2,2020-03-26
HRV,Europe,Croatia,2020-03-27,495.0,77.0,2.0,1.0,120.577,18.756,0.487,0.244,570.0,4778.0,1.164,0.139,448.0,0.109,0.125,people tested,96.3,4105268.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,78.49,2020-03-27,Croatia,HRV,"Mar 27, 2020",2,2020-03-27
