iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
CZE,Europe,Czech Republic,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,0.004,0.0,4.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-03,Czech Republic,CZE,"Feb 3, 2020",0,2020-02-03
CZE,Europe,Czech Republic,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,0.005,0.0,4.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-04,Czech Republic,CZE,"Feb 4, 2020",0,2020-02-04
CZE,Europe,Czech Republic,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,0.006,0.001,4.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-07,Czech Republic,CZE,"Feb 7, 2020",0,2020-02-07
CZE,Europe,Czech Republic,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,72.0,0.007,0.001,3.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-10,Czech Republic,CZE,"Feb 10, 2020",0,2020-02-10
CZE,Europe,Czech Republic,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,0.007,0.0,3.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-11,Czech Republic,CZE,"Feb 11, 2020",0,2020-02-11
CZE,Europe,Czech Republic,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.007,0.0,3.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-12,Czech Republic,CZE,"Feb 12, 2020",0,2020-02-12
CZE,Europe,Czech Republic,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,0.007,0.0,3.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-13,Czech Republic,CZE,"Feb 13, 2020",0,2020-02-13
CZE,Europe,Czech Republic,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,0.007,0.0,2.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-16,Czech Republic,CZE,"Feb 16, 2020",0,2020-02-16
CZE,Europe,Czech Republic,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,0.007,0.0,1.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-17,Czech Republic,CZE,"Feb 17, 2020",0,2020-02-17
CZE,Europe,Czech Republic,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,86.0,0.008,0.0,1.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-23,Czech Republic,CZE,"Feb 23, 2020",0,2020-02-23
CZE,Europe,Czech Republic,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,98.0,0.009,0.001,3.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-24,Czech Republic,CZE,"Feb 24, 2020",0,2020-02-24
CZE,Europe,Czech Republic,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,112.0,0.01,0.001,4.0,0.0,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-25,Czech Republic,CZE,"Feb 25, 2020",0,2020-02-25
CZE,Europe,Czech Republic,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,135.0,0.013,0.002,8.0,0.001,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-26,Czech Republic,CZE,"Feb 26, 2020",0,2020-02-26
CZE,Europe,Czech Republic,2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,170.0,0.016,0.003,13.0,0.001,0.0,tests performed,16.67,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-27,Czech Republic,CZE,"Feb 27, 2020",0,2020-02-27
CZE,Europe,Czech Republic,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,193.0,0.018,0.002,16.0,0.001,0.0,tests performed,19.44,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-28,Czech Republic,CZE,"Feb 28, 2020",0,2020-02-28
CZE,Europe,Czech Republic,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,200.0,0.019,0.001,17.0,0.002,0.0,tests performed,19.44,10708982.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,79.38,2020-02-29,Czech Republic,CZE,"Feb 29, 2020",0,2020-02-29
