iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
SLV,North America,El Salvador,2020-04-17,164.0,5.0,6.0,0.0,25.284,0.771,0.925,0.0,924.0,10191.0,1.571,0.142,633.0,0.098,0.011000000000000001,tests performed,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-17,El Salvador,SLV,"Apr 17, 2020",3,2020-04-17
SLV,North America,El Salvador,2020-04-18,177.0,13.0,7.0,1.0,27.289,2.004,1.079,0.154,969.0,11160.0,1.721,0.149,698.0,0.108,0.012,tests performed,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-18,El Salvador,SLV,"Apr 18, 2020",3,2020-04-18
SLV,North America,El Salvador,2020-04-19,190.0,13.0,7.0,0.0,29.293,2.004,1.079,0.0,1050.0,12210.0,1.882,0.162,783.0,0.121,0.013000000000000001,tests performed,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-19,El Salvador,SLV,"Apr 19, 2020",3,2020-04-19
SLV,North America,El Salvador,2020-04-20,201.0,11.0,7.0,0.0,30.989,1.696,1.079,0.0,1142.0,13352.0,2.059,0.176,875.0,0.135,0.012,tests performed,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-20,El Salvador,SLV,"Apr 20, 2020",3,2020-04-20
SLV,North America,El Salvador,2020-04-21,218.0,17.0,7.0,0.0,33.61,2.621,1.079,0.0,1023.0,14375.0,2.216,0.158,941.0,0.145,0.01,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-21,El Salvador,SLV,"Apr 21, 2020",3,2020-04-21
SLV,North America,El Salvador,2020-04-22,225.0,7.0,7.0,0.0,34.689,1.079,1.079,0.0,1010.0,15385.0,2.372,0.156,1007.0,0.155,0.009000000000000001,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-22,El Salvador,SLV,"Apr 22, 2020",3,2020-04-22
SLV,North America,El Salvador,2020-04-23,237.0,12.0,8.0,1.0,36.539,1.85,1.233,0.154,1033.0,16418.0,2.531,0.159,1022.0,0.158,0.011000000000000001,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-23,El Salvador,SLV,"Apr 23, 2020",3,2020-04-23
SLV,North America,El Salvador,2020-04-24,250.0,13.0,8.0,0.0,38.543,2.004,1.233,0.0,1005.0,17423.0,2.686,0.155,1033.0,0.159,0.012,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-24,El Salvador,SLV,"Apr 24, 2020",3,2020-04-24
SLV,North America,El Salvador,2020-04-25,261.0,11.0,8.0,0.0,40.239,1.696,1.233,0.0,1263.0,18686.0,2.881,0.195,1075.0,0.166,0.011000000000000001,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-25,El Salvador,SLV,"Apr 25, 2020",3,2020-04-25
SLV,North America,El Salvador,2020-04-26,298.0,37.0,8.0,0.0,45.944,5.704,1.233,0.0,1423.0,20109.0,3.1,0.219,1128.0,0.174,0.013999999999999999,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-26,El Salvador,SLV,"Apr 26, 2020",3,2020-04-26
SLV,North America,El Salvador,2020-04-27,298.0,0.0,8.0,0.0,45.944,0.0,1.233,0.0,1255.0,21364.0,3.294,0.193,1145.0,0.177,0.012,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-27,El Salvador,SLV,"Apr 27, 2020",3,2020-04-27
SLV,North America,El Salvador,2020-04-28,323.0,25.0,8.0,0.0,49.798,3.854,1.233,0.0,1229.0,22593.0,3.483,0.189,1174.0,0.181,0.013000000000000001,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-28,El Salvador,SLV,"Apr 28, 2020",3,2020-04-28
SLV,North America,El Salvador,2020-04-29,345.0,22.0,9.0,1.0,53.19,3.392,1.388,0.154,1464.0,24057.0,3.709,0.226,1239.0,0.191,0.013999999999999999,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-29,El Salvador,SLV,"Apr 29, 2020",3,2020-04-29
SLV,North America,El Salvador,2020-04-30,377.0,32.0,9.0,0.0,58.123,4.934,1.388,0.0,1435.0,25492.0,3.93,0.221,1296.0,0.2,0.015,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-04-30,El Salvador,SLV,"Apr 30, 2020",3,2020-04-30
SLV,North America,El Salvador,2020-05-01,424.0,47.0,10.0,1.0,65.37,7.246,1.542,0.154,1469.0,26961.0,4.157,0.226,1363.0,0.21,0.018000000000000002,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-01,El Salvador,SLV,"May 1, 2020",3,2020-05-01
SLV,North America,El Salvador,2020-05-02,446.0,22.0,10.0,0.0,68.761,3.392,1.542,0.0,1635.0,28596.0,4.409,0.252,1416.0,0.218,0.019,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-02,El Salvador,SLV,"May 2, 2020",3,2020-05-02
SLV,North America,El Salvador,2020-05-03,446.0,0.0,11.0,1.0,68.761,0.0,1.696,0.154,1791.0,30387.0,4.685,0.276,1468.0,0.226,0.013999999999999999,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-03,El Salvador,SLV,"May 3, 2020",3,2020-05-03
SLV,North America,El Salvador,2020-05-04,555.0,109.0,12.0,1.0,85.566,16.805,1.85,0.154,1643.0,32030.0,4.938,0.253,1524.0,0.235,0.024,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-04,El Salvador,SLV,"May 4, 2020",3,2020-05-04
SLV,North America,El Salvador,2020-05-05,587.0,32.0,13.0,1.0,90.5,4.934,2.004,0.154,1598.0,33628.0,5.185,0.246,1576.0,0.243,0.024,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-05,El Salvador,SLV,"May 5, 2020",3,2020-05-05
SLV,North America,El Salvador,2020-05-06,587.0,0.0,14.0,1.0,90.5,0.0,2.158,0.154,1783.0,35411.0,5.459,0.275,1622.0,0.25,0.021,tests performed,94.44,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-06,El Salvador,SLV,"May 6, 2020",3,2020-05-06
SLV,North America,El Salvador,2020-05-07,695.0,108.0,15.0,1.0,107.151,16.651,2.313,0.154,1895.0,37306.0,5.752,0.292,1688.0,0.26,0.027000000000000003,tests performed,100.0,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-07,El Salvador,SLV,"May 7, 2020",3,2020-05-07
SLV,North America,El Salvador,2020-05-08,695.0,0.0,15.0,0.0,107.151,0.0,2.313,0.0,1773.0,39079.0,6.025,0.273,1731.0,0.267,0.022000000000000002,tests performed,100.0,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-08,El Salvador,SLV,"May 8, 2020",3,2020-05-08
SLV,North America,El Salvador,2020-05-09,784.0,89.0,16.0,1.0,120.872,13.721,2.467,0.154,2011.0,41090.0,6.335,0.31,1785.0,0.275,0.027000000000000003,tests performed,100.0,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-09,El Salvador,SLV,"May 9, 2020",3,2020-05-09
SLV,North America,El Salvador,2020-05-10,889.0,105.0,17.0,1.0,137.06,16.188,2.621,0.154,1953.0,43043.0,6.636,0.301,1808.0,0.279,0.035,tests performed,100.0,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-10,El Salvador,SLV,"May 10, 2020",3,2020-05-10
SLV,North America,El Salvador,2020-05-11,958.0,69.0,17.0,0.0,147.698,10.638,2.621,0.0,1883.0,44926.0,6.926,0.29,1842.0,0.284,0.031,tests performed,100.0,6486201.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,73.32,2020-05-11,El Salvador,SLV,"May 11, 2020",3,2020-05-11
