iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
EST,Europe,Estonia,2020-03-04,2.0,1.0,0.0,0.0,1.508,0.754,0.0,0.0,36.0,149.0,0.112,0.027,19.0,0.014,0.015,tests performed,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-04,Estonia,EST,"Mar 4, 2020",0,2020-03-04
EST,Europe,Estonia,2020-03-06,5.0,3.0,0.0,0.0,3.769,2.262,0.0,0.0,71.0,255.0,0.192,0.054,31.0,0.023,0.018000000000000002,tests performed,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-06,Estonia,EST,"Mar 6, 2020",0,2020-03-06
EST,Europe,Estonia,2020-03-07,10.0,5.0,0.0,0.0,7.538,3.769,0.0,0.0,29.0,284.0,0.214,0.022,34.0,0.026,0.038,tests performed,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-07,Estonia,EST,"Mar 7, 2020",0,2020-03-07
EST,Europe,Estonia,2020-03-11,13.0,3.0,0.0,0.0,9.8,2.262,0.0,0.0,65.0,490.0,0.369,0.049,49.0,0.037,0.032,tests performed,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-11,Estonia,EST,"Mar 11, 2020",0,2020-03-11
EST,Europe,Estonia,2020-03-12,16.0,3.0,0.0,0.0,12.061,2.262,0.0,0.0,131.0,621.0,0.468,0.099,62.0,0.047,0.032,tests performed,25.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-12,Estonia,EST,"Mar 12, 2020",0,2020-03-12
EST,Europe,Estonia,2020-03-13,27.0,11.0,0.0,0.0,20.354,8.292,0.0,0.0,183.0,804.0,0.606,0.138,78.0,0.059,0.04,tests performed,25.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-13,Estonia,EST,"Mar 13, 2020",0,2020-03-13
EST,Europe,Estonia,2020-03-14,79.0,52.0,0.0,0.0,59.553,39.2,0.0,0.0,163.0,967.0,0.729,0.123,98.0,0.074,0.10099999999999999,tests performed,33.33,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-14,Estonia,EST,"Mar 14, 2020",0,2020-03-14
EST,Europe,Estonia,2020-03-15,115.0,36.0,0.0,0.0,86.692,27.138,0.0,0.0,495.0,1462.0,1.102,0.373,165.0,0.124,0.091,tests performed,33.33,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-15,Estonia,EST,"Mar 15, 2020",0,2020-03-15
EST,Europe,Estonia,2020-03-16,171.0,56.0,0.0,0.0,128.907,42.215,0.0,0.0,305.0,1767.0,1.332,0.23,200.0,0.151,0.115,tests performed,44.44,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-16,Estonia,EST,"Mar 16, 2020",0,2020-03-16
EST,Europe,Estonia,2020-03-17,205.0,34.0,0.0,0.0,154.537,25.631,0.0,0.0,191.0,1958.0,1.476,0.144,219.0,0.165,0.127,tests performed,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,78.74,2020-03-17,Estonia,EST,"Mar 17, 2020",0,2020-03-17
