iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ETH,Africa,Ethiopia,2020-04-01,25.0,2.0,0.0,0.0,0.217,0.017,0.0,0.0,70.0,1083.0,0.009,0.001,72.0,0.001,0.027999999999999997,tests performed,68.52,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-01,Ethiopia,ETH,"Apr 1, 2020",0,2020-04-01
ETH,Africa,Ethiopia,2020-04-06,43.0,5.0,2.0,2.0,0.374,0.043,0.017,0.017,164.0,2007.0,0.017,0.001,153.0,0.001,0.025,tests performed,68.52,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-06,Ethiopia,ETH,"Apr 6, 2020",0,2020-04-06
ETH,Africa,Ethiopia,2020-04-07,44.0,1.0,2.0,0.0,0.383,0.009,0.017,0.0,264.0,2271.0,0.02,0.002,180.0,0.002,0.017,tests performed,68.52,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-07,Ethiopia,ETH,"Apr 7, 2020",0,2020-04-07
ETH,Africa,Ethiopia,2020-04-08,52.0,8.0,2.0,0.0,0.452,0.07,0.017,0.0,225.0,2496.0,0.022,0.002,202.0,0.002,0.019,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-08,Ethiopia,ETH,"Apr 8, 2020",1,2020-04-08
ETH,Africa,Ethiopia,2020-04-09,55.0,3.0,2.0,0.0,0.478,0.026,0.017,0.0,294.0,2790.0,0.024,0.003,234.0,0.002,0.016,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-09,Ethiopia,ETH,"Apr 9, 2020",1,2020-04-09
ETH,Africa,Ethiopia,2020-04-13,71.0,2.0,3.0,0.0,0.618,0.017,0.026,0.0,247.0,4110.0,0.036,0.002,300.0,0.003,0.013000000000000001,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-13,Ethiopia,ETH,"Apr 13, 2020",1,2020-04-13
ETH,Africa,Ethiopia,2020-04-14,74.0,3.0,3.0,0.0,0.644,0.026,0.026,0.0,447.0,4557.0,0.04,0.004,327.0,0.003,0.013000000000000001,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-14,Ethiopia,ETH,"Apr 14, 2020",1,2020-04-14
ETH,Africa,Ethiopia,2020-04-15,82.0,8.0,3.0,0.0,0.713,0.07,0.026,0.0,431.0,4988.0,0.043,0.004,356.0,0.003,0.012,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-15,Ethiopia,ETH,"Apr 15, 2020",1,2020-04-15
ETH,Africa,Ethiopia,2020-04-16,85.0,3.0,3.0,0.0,0.739,0.026,0.026,0.0,401.0,5389.0,0.047,0.003,371.0,0.003,0.012,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-16,Ethiopia,ETH,"Apr 16, 2020",1,2020-04-16
ETH,Africa,Ethiopia,2020-04-24,116.0,0.0,3.0,0.0,1.009,0.0,0.026,0.0,933.0,11669.0,0.102,0.008,803.0,0.007,0.004,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-24,Ethiopia,ETH,"Apr 24, 2020",1,2020-04-24
ETH,Africa,Ethiopia,2020-04-25,117.0,1.0,3.0,0.0,1.018,0.009,0.026,0.0,1019.0,12688.0,0.11,0.009,854.0,0.007,0.004,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-25,Ethiopia,ETH,"Apr 25, 2020",1,2020-04-25
ETH,Africa,Ethiopia,2020-04-28,124.0,1.0,3.0,0.0,1.079,0.009,0.026,0.0,1080.0,15668.0,0.136,0.009,996.0,0.009,0.002,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-28,Ethiopia,ETH,"Apr 28, 2020",1,2020-04-28
ETH,Africa,Ethiopia,2020-04-29,126.0,2.0,3.0,0.0,1.096,0.017,0.026,0.0,766.0,16434.0,0.143,0.007,960.0,0.008,0.002,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-29,Ethiopia,ETH,"Apr 29, 2020",1,2020-04-29
ETH,Africa,Ethiopia,2020-04-30,130.0,4.0,3.0,0.0,1.131,0.035,0.026,0.0,1408.0,17842.0,0.155,0.012,1015.0,0.009,0.002,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-04-30,Ethiopia,ETH,"Apr 30, 2020",1,2020-04-30
ETH,Africa,Ethiopia,2020-05-07,162.0,17.0,4.0,0.0,1.409,0.148,0.035,0.0,1843.0,28360.0,0.247,0.016,1503.0,0.013,0.003,tests performed,80.56,114963583.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,66.6,2020-05-07,Ethiopia,ETH,"May 7, 2020",1,2020-05-07
