iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
FJI,Oceania,Fiji,2020-03-27,5.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,61.0,307.0,0.342,0.068,29.0,0.032,0.02,samples tested,81.48,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-03-27,Fiji,FJI,"Mar 27, 2020",2,2020-03-27
FJI,Oceania,Fiji,2020-03-28,5.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,23.0,330.0,0.368,0.026,29.0,0.032,0.02,samples tested,81.48,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-03-28,Fiji,FJI,"Mar 28, 2020",2,2020-03-28
FJI,Oceania,Fiji,2020-03-29,5.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,16.0,346.0,0.386,0.018,30.0,0.033,0.013999999999999999,samples tested,84.26,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-03-29,Fiji,FJI,"Mar 29, 2020",2,2020-03-29
FJI,Oceania,Fiji,2020-03-30,5.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,10.0,356.0,0.397,0.011,30.0,0.033,0.01,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-03-30,Fiji,FJI,"Mar 30, 2020",2,2020-03-30
FJI,Oceania,Fiji,2020-03-31,5.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,11.0,367.0,0.409,0.012,27.0,0.03,0.005,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-03-31,Fiji,FJI,"Mar 31, 2020",2,2020-03-31
FJI,Oceania,Fiji,2020-04-01,5.0,0.0,0.0,0.0,5.578,0.0,0.0,0.0,17.0,384.0,0.428,0.019,25.0,0.028,0.0,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-04-01,Fiji,FJI,"Apr 1, 2020",2,2020-04-01
FJI,Oceania,Fiji,2020-04-02,7.0,2.0,0.0,0.0,7.809,2.231,0.0,0.0,24.0,408.0,0.455,0.027,23.0,0.026,0.012,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-04-02,Fiji,FJI,"Apr 2, 2020",2,2020-04-02
FJI,Oceania,Fiji,2020-04-05,12.0,0.0,0.0,0.0,13.386,0.0,0.0,0.0,44.0,489.0,0.545,0.049,20.0,0.022,0.05,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-04-05,Fiji,FJI,"Apr 5, 2020",2,2020-04-05
FJI,Oceania,Fiji,2020-04-06,14.0,2.0,0.0,0.0,15.617,2.231,0.0,0.0,23.0,512.0,0.571,0.026,22.0,0.025,0.057999999999999996,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-04-06,Fiji,FJI,"Apr 6, 2020",2,2020-04-06
FJI,Oceania,Fiji,2020-04-07,14.0,0.0,0.0,0.0,15.617,0.0,0.0,0.0,25.0,537.0,0.599,0.028,24.0,0.027,0.054000000000000006,samples tested,88.89,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,2020-04-07,Fiji,FJI,"Apr 7, 2020",2,2020-04-07
