iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
FIN,Europe,Finland,2020-03-04,7.0,1.0,0.0,0.0,1.263,0.18,0.0,0.0,85.0,637.0,0.115,0.015,80.0,0.014,0.011000000000000001,samples tested,19.44,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-04,Finland,FIN,"Mar 4, 2020",0,2020-03-04
FIN,Europe,Finland,2020-03-06,12.0,5.0,0.0,0.0,2.166,0.902,0.0,0.0,105.0,822.0,0.148,0.019,54.0,0.01,0.026000000000000002,samples tested,19.44,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-06,Finland,FIN,"Mar 6, 2020",0,2020-03-06
FIN,Europe,Finland,2020-03-07,19.0,7.0,0.0,0.0,3.429,1.263,0.0,0.0,20.0,842.0,0.152,0.004,55.0,0.01,0.042,samples tested,19.44,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-07,Finland,FIN,"Mar 7, 2020",0,2020-03-07
FIN,Europe,Finland,2020-03-09,30.0,11.0,0.0,0.0,5.414,1.985,0.0,0.0,122.0,978.0,0.177,0.022,68.0,0.012,0.05,samples tested,19.44,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-09,Finland,FIN,"Mar 9, 2020",0,2020-03-09
FIN,Europe,Finland,2020-03-10,40.0,10.0,0.0,0.0,7.219,1.805,0.0,0.0,128.0,1106.0,0.2,0.023,79.0,0.014,0.061,samples tested,19.44,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-10,Finland,FIN,"Mar 10, 2020",0,2020-03-10
FIN,Europe,Finland,2020-03-12,59.0,19.0,0.0,0.0,10.648,3.429,0.0,0.0,349.0,1618.0,0.292,0.063,129.0,0.023,0.057999999999999996,samples tested,34.26,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-12,Finland,FIN,"Mar 12, 2020",0,2020-03-12
FIN,Europe,Finland,2020-03-13,155.0,96.0,0.0,0.0,27.975,17.326,0.0,0.0,409.0,2027.0,0.366,0.074,172.0,0.031,0.11900000000000001,samples tested,34.26,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-13,Finland,FIN,"Mar 13, 2020",0,2020-03-13
FIN,Europe,Finland,2020-03-14,183.0,28.0,0.0,0.0,33.028,5.053,0.0,0.0,595.0,2622.0,0.473,0.107,254.0,0.046,0.092,samples tested,34.26,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-14,Finland,FIN,"Mar 14, 2020",0,2020-03-14
FIN,Europe,Finland,2020-03-15,210.0,27.0,0.0,0.0,37.901,4.873,0.0,0.0,644.0,3266.0,0.589,0.116,344.0,0.062,0.079,samples tested,34.26,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-15,Finland,FIN,"Mar 15, 2020",0,2020-03-15
FIN,Europe,Finland,2020-03-16,267.0,57.0,0.0,0.0,48.189,10.287,0.0,0.0,812.0,4078.0,0.736,0.147,443.0,0.08,0.076,samples tested,54.63,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-16,Finland,FIN,"Mar 16, 2020",1,2020-03-16
FIN,Europe,Finland,2020-03-17,272.0,5.0,0.0,0.0,49.091,0.902,0.0,0.0,1117.0,5195.0,0.938,0.202,584.0,0.105,0.057,samples tested,54.63,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-17,Finland,FIN,"Mar 17, 2020",1,2020-03-17
FIN,Europe,Finland,2020-03-18,319.0,47.0,0.0,0.0,57.574,8.483,0.0,0.0,1015.0,6210.0,1.121,0.183,706.0,0.127,0.055999999999999994,samples tested,54.63,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-18,Finland,FIN,"Mar 18, 2020",1,2020-03-18
FIN,Europe,Finland,2020-03-19,369.0,50.0,0.0,0.0,66.598,9.024,0.0,0.0,776.0,6986.0,1.261,0.14,767.0,0.138,0.057999999999999996,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-19,Finland,FIN,"Mar 19, 2020",1,2020-03-19
FIN,Europe,Finland,2020-03-20,400.0,31.0,0.0,0.0,72.193,5.595,0.0,0.0,1268.0,8254.0,1.49,0.229,890.0,0.161,0.039,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-20,Finland,FIN,"Mar 20, 2020",1,2020-03-20
FIN,Europe,Finland,2020-03-21,450.0,50.0,0.0,0.0,81.217,9.024,0.0,0.0,1595.0,9849.0,1.778,0.288,1032.0,0.186,0.037000000000000005,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-21,Finland,FIN,"Mar 21, 2020",1,2020-03-21
FIN,Europe,Finland,2020-03-22,521.0,71.0,1.0,1.0,94.031,12.814,0.18,0.18,1052.0,10901.0,1.967,0.19,1091.0,0.197,0.040999999999999995,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-22,Finland,FIN,"Mar 22, 2020",1,2020-03-22
FIN,Europe,Finland,2020-03-23,626.0,105.0,1.0,0.0,112.982,18.951,0.18,0.0,1319.0,12220.0,2.205,0.238,1163.0,0.21,0.044000000000000004,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-23,Finland,FIN,"Mar 23, 2020",1,2020-03-23
FIN,Europe,Finland,2020-03-24,700.0,74.0,1.0,0.0,126.337,13.356,0.18,0.0,1579.0,13799.0,2.49,0.285,1229.0,0.222,0.05,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-24,Finland,FIN,"Mar 24, 2020",1,2020-03-24
FIN,Europe,Finland,2020-03-25,792.0,92.0,1.0,0.0,142.942,16.604,0.18,0.0,1849.0,15648.0,2.824,0.334,1348.0,0.243,0.05,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-25,Finland,FIN,"Mar 25, 2020",1,2020-03-25
FIN,Europe,Finland,2020-03-26,880.0,88.0,3.0,2.0,158.824,15.882,0.541,0.361,1837.0,17485.0,3.156,0.332,1500.0,0.271,0.049,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-26,Finland,FIN,"Mar 26, 2020",1,2020-03-26
FIN,Europe,Finland,2020-03-27,958.0,78.0,4.0,1.0,172.902,14.078,0.722,0.18,2005.0,19490.0,3.518,0.362,1605.0,0.29,0.05,samples tested,57.41,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-27,Finland,FIN,"Mar 27, 2020",1,2020-03-27
FIN,Europe,Finland,2020-03-28,1025.0,67.0,7.0,3.0,184.994,12.092,1.263,0.541,1207.0,20697.0,3.735,0.218,1550.0,0.28,0.053,samples tested,60.19,5540718.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,81.91,2020-03-28,Finland,FIN,"Mar 28, 2020",1,2020-03-28
