iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
GHA,Africa,Ghana,2020-04-10,378.0,65.0,6.0,0.0,12.165,2.092,0.193,0.0,12735.0,27346.0,0.88,0.41,2683.0,0.086,0.009000000000000001,units unclear,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-04-10,Ghana,GHA,"Apr 10, 2020",2,2020-04-10
GHA,Africa,Ghana,2020-04-11,378.0,0.0,6.0,0.0,12.165,0.0,0.193,0.0,10608.0,37954.0,1.221,0.341,4054.0,0.13,0.006,units unclear,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-04-11,Ghana,GHA,"Apr 11, 2020",2,2020-04-11
GHA,Africa,Ghana,2020-04-15,636.0,70.0,8.0,0.0,20.468,2.253,0.257,0.0,6281.0,57000.0,1.834,0.202,6200.0,0.2,0.008,units unclear,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-04-15,Ghana,GHA,"Apr 15, 2020",2,2020-04-15
GHA,Africa,Ghana,2020-04-19,834.0,193.0,9.0,1.0,26.84,6.211,0.29,0.032,7675.0,68591.0,2.207,0.247,3769.0,0.121,0.016,units unclear,70.37,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-04-19,Ghana,GHA,"Apr 19, 2020",0,2020-04-19
GHA,Africa,Ghana,2020-04-28,1550.0,0.0,11.0,0.0,49.883,0.0,0.354,0.0,7407.0,113497.0,3.653,0.238,4549.0,0.146,0.016,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-04-28,Ghana,GHA,"Apr 28, 2020",0,2020-04-28
GHA,Africa,Ghana,2020-05-02,2074.0,0.0,17.0,0.0,66.746,0.0,0.547,0.0,12412.0,129461.0,4.166,0.399,4120.0,0.133,0.027999999999999997,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-02,Ghana,GHA,"May 2, 2020",0,2020-05-02
GHA,Africa,Ghana,2020-05-08,3091.0,0.0,18.0,0.0,99.476,0.0,0.579,0.0,5253.0,155201.0,4.995,0.169,5450.0,0.175,0.027000000000000003,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-08,Ghana,GHA,"May 8, 2020",0,2020-05-08
GHA,Africa,Ghana,2020-05-11,4263.0,0.0,22.0,0.0,137.193,0.0,0.708,0.0,1683.0,162184.0,5.219,0.054,3755.0,0.121,0.08,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-11,Ghana,GHA,"May 11, 2020",0,2020-05-11
GHA,Africa,Ghana,2020-05-12,4700.0,437.0,22.0,0.0,151.257,14.064,0.708,0.0,3249.0,165433.0,5.324,0.105,3550.0,0.114,0.08,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-12,Ghana,GHA,"May 12, 2020",0,2020-05-12
GHA,Africa,Ghana,2020-05-13,5127.0,427.0,22.0,0.0,164.999,13.742,0.708,0.0,3252.0,168685.0,5.429,0.105,3346.0,0.108,0.10300000000000001,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-13,Ghana,GHA,"May 13, 2020",0,2020-05-13
GHA,Africa,Ghana,2020-05-14,5408.0,281.0,24.0,2.0,174.042,9.043,0.772,0.064,3938.0,172623.0,5.555,0.127,3239.0,0.104,0.102,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-14,Ghana,GHA,"May 14, 2020",0,2020-05-14
GHA,Africa,Ghana,2020-05-15,5530.0,122.0,24.0,0.0,177.968,3.926,0.772,0.0,1454.0,174077.0,5.602,0.047,2697.0,0.087,0.129,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-15,Ghana,GHA,"May 15, 2020",0,2020-05-15
GHA,Africa,Ghana,2020-05-18,5735.0,0.0,29.0,0.0,184.566,0.0,0.933,0.0,3776.0,184343.0,5.933,0.122,3166.0,0.102,0.066,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-18,Ghana,GHA,"May 18, 2020",0,2020-05-18
GHA,Africa,Ghana,2020-05-19,5735.0,0.0,29.0,0.0,184.566,0.0,0.933,0.0,3586.0,187929.0,6.048,0.115,3214.0,0.103,0.046,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-19,Ghana,GHA,"May 19, 2020",0,2020-05-19
GHA,Africa,Ghana,2020-05-20,6096.0,361.0,31.0,2.0,196.184,11.618,0.998,0.064,4265.0,192194.0,6.185,0.137,3358.0,0.108,0.040999999999999995,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-20,Ghana,GHA,"May 20, 2020",0,2020-05-20
GHA,Africa,Ghana,2020-05-21,6269.0,173.0,31.0,0.0,201.751,5.568,0.998,0.0,1511.0,193705.0,6.234,0.049,3012.0,0.097,0.040999999999999995,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-21,Ghana,GHA,"May 21, 2020",0,2020-05-21
GHA,Africa,Ghana,2020-05-22,6486.0,217.0,31.0,0.0,208.735,6.984,0.998,0.0,1058.0,194763.0,6.268,0.034,2955.0,0.095,0.046,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-22,Ghana,GHA,"May 22, 2020",0,2020-05-22
GHA,Africa,Ghana,2020-05-23,6617.0,131.0,31.0,0.0,212.951,4.216,0.998,0.0,3412.0,198175.0,6.378,0.11,2979.0,0.096,0.047,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-23,Ghana,GHA,"May 23, 2020",0,2020-05-23
GHA,Africa,Ghana,2020-05-24,6617.0,0.0,31.0,0.0,212.951,0.0,0.998,0.0,3955.0,202130.0,6.505,0.127,3080.0,0.099,0.040999999999999995,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-24,Ghana,GHA,"May 24, 2020",0,2020-05-24
GHA,Africa,Ghana,2020-05-25,6683.0,66.0,32.0,1.0,215.075,2.124,1.03,0.032,1253.0,203383.0,6.545,0.04,2720.0,0.088,0.05,units unclear,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-25,Ghana,GHA,"May 25, 2020",0,2020-05-25
GHA,Africa,Ghana,2020-05-26,6808.0,125.0,32.0,0.0,219.097,4.023,1.03,0.0,2507.0,205890.0,6.626,0.081,2566.0,0.083,0.06,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-26,Ghana,GHA,"May 26, 2020",0,2020-05-26
GHA,Africa,Ghana,2020-05-27,7117.0,309.0,34.0,2.0,229.042,9.944,1.094,0.064,2438.0,208328.0,6.704,0.078,2305.0,0.074,0.063,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-27,Ghana,GHA,"May 27, 2020",0,2020-05-27
GHA,Africa,Ghana,2020-05-28,7303.0,186.0,34.0,0.0,235.028,5.986,1.094,0.0,3294.0,211622.0,6.81,0.106,2560.0,0.082,0.057999999999999996,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-28,Ghana,GHA,"May 28, 2020",0,2020-05-28
GHA,Africa,Ghana,2020-05-29,7303.0,0.0,34.0,0.0,235.028,0.0,1.094,0.0,3334.0,214956.0,6.918,0.107,2885.0,0.093,0.04,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-29,Ghana,GHA,"May 29, 2020",0,2020-05-29
GHA,Africa,Ghana,2020-05-30,7616.0,313.0,34.0,0.0,245.101,10.073,1.094,0.0,3469.0,218425.0,7.029,0.112,2893.0,0.093,0.049,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-30,Ghana,GHA,"May 30, 2020",0,2020-05-30
GHA,Africa,Ghana,2020-05-31,7768.0,152.0,35.0,1.0,249.992,4.892,1.126,0.032,1400.0,219825.0,7.074,0.045,2528.0,0.081,0.065,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-05-31,Ghana,GHA,"May 31, 2020",0,2020-05-31
GHA,Africa,Ghana,2020-06-01,8070.0,302.0,36.0,1.0,259.711,9.719,1.159,0.032,328.0,220153.0,7.085,0.011,2396.0,0.077,0.083,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-06-01,Ghana,GHA,"Jun 1, 2020",0,2020-06-01
GHA,Africa,Ghana,2020-06-02,8070.0,0.0,36.0,0.0,259.711,0.0,1.159,0.0,2912.0,223065.0,7.179,0.094,2454.0,0.079,0.073,units unclear,56.48,31072945.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,64.07,2020-06-02,Ghana,GHA,"Jun 2, 2020",0,2020-06-02
