iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
HUN,Europe,Hungary,2020-03-12,13.0,1.0,0.0,0.0,1.346,0.104,0.0,0.0,121.0,730.0,0.076,0.013,69.0,0.007,0.023,tests performed,53.7,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-12,Hungary,HUN,"Mar 12, 2020",1,2020-03-12
HUN,Europe,Hungary,2020-03-13,16.0,3.0,0.0,0.0,1.656,0.311,0.0,0.0,128.0,858.0,0.089,0.013,84.0,0.009,0.024,tests performed,53.7,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-13,Hungary,HUN,"Mar 13, 2020",1,2020-03-13
HUN,Europe,Hungary,2020-03-14,25.0,9.0,0.0,0.0,2.588,0.932,0.0,0.0,156.0,1014.0,0.105,0.016,99.0,0.01,0.03,tests performed,53.7,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-14,Hungary,HUN,"Mar 14, 2020",1,2020-03-14
HUN,Europe,Hungary,2020-03-15,31.0,6.0,0.0,0.0,3.209,0.621,0.0,0.0,222.0,1236.0,0.128,0.023,125.0,0.013,0.027000000000000003,tests performed,53.7,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-15,Hungary,HUN,"Mar 15, 2020",1,2020-03-15
HUN,Europe,Hungary,2020-03-16,39.0,8.0,1.0,1.0,4.037,0.828,0.104,0.104,234.0,1470.0,0.152,0.024,146.0,0.015,0.03,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-16,Hungary,HUN,"Mar 16, 2020",1,2020-03-16
HUN,Europe,Hungary,2020-03-17,50.0,11.0,1.0,0.0,5.176,1.139,0.104,0.0,117.0,1587.0,0.164,0.012,151.0,0.016,0.039,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-17,Hungary,HUN,"Mar 17, 2020",1,2020-03-17
HUN,Europe,Hungary,2020-03-18,50.0,0.0,1.0,0.0,5.176,0.0,0.104,0.0,216.0,1803.0,0.187,0.022,171.0,0.018,0.032,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-18,Hungary,HUN,"Mar 18, 2020",1,2020-03-18
HUN,Europe,Hungary,2020-03-19,73.0,23.0,1.0,0.0,7.557,2.381,0.104,0.0,519.0,2322.0,0.24,0.054,227.0,0.023,0.038,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-19,Hungary,HUN,"Mar 19, 2020",1,2020-03-19
HUN,Europe,Hungary,2020-03-20,85.0,12.0,1.0,0.0,8.799,1.242,0.104,0.0,685.0,3007.0,0.311,0.071,307.0,0.032,0.032,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-20,Hungary,HUN,"Mar 20, 2020",1,2020-03-20
HUN,Europe,Hungary,2020-03-21,103.0,18.0,4.0,3.0,10.662,1.863,0.414,0.311,470.0,3477.0,0.36,0.049,352.0,0.036,0.032,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-21,Hungary,HUN,"Mar 21, 2020",1,2020-03-21
HUN,Europe,Hungary,2020-03-22,131.0,28.0,4.0,0.0,13.561,2.898,0.414,0.0,966.0,4443.0,0.46,0.1,458.0,0.047,0.031,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-22,Hungary,HUN,"Mar 22, 2020",1,2020-03-22
HUN,Europe,Hungary,2020-03-23,167.0,36.0,7.0,3.0,17.287,3.727,0.725,0.311,1072.0,5515.0,0.571,0.111,578.0,0.06,0.032,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-23,Hungary,HUN,"Mar 23, 2020",1,2020-03-23
HUN,Europe,Hungary,2020-03-24,187.0,20.0,8.0,1.0,19.357,2.07,0.828,0.104,598.0,6113.0,0.633,0.062,647.0,0.067,0.03,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-24,Hungary,HUN,"Mar 24, 2020",1,2020-03-24
HUN,Europe,Hungary,2020-03-25,226.0,39.0,10.0,2.0,23.395,4.037,1.035,0.207,704.0,6817.0,0.706,0.073,716.0,0.074,0.035,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-25,Hungary,HUN,"Mar 25, 2020",1,2020-03-25
HUN,Europe,Hungary,2020-03-26,261.0,35.0,10.0,0.0,27.018,3.623,1.035,0.0,1188.0,8005.0,0.829,0.123,812.0,0.084,0.033,tests performed,67.59,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-26,Hungary,HUN,"Mar 26, 2020",1,2020-03-26
HUN,Europe,Hungary,2020-03-27,300.0,39.0,10.0,0.0,31.055,4.037,1.035,0.0,1270.0,9275.0,0.96,0.131,895.0,0.093,0.034,tests performed,71.3,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-27,Hungary,HUN,"Mar 27, 2020",2,2020-03-27
HUN,Europe,Hungary,2020-03-28,343.0,43.0,11.0,1.0,35.506,4.451,1.139,0.104,1028.0,10303.0,1.067,0.106,975.0,0.101,0.035,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-28,Hungary,HUN,"Mar 28, 2020",2,2020-03-28
HUN,Europe,Hungary,2020-03-29,408.0,65.0,13.0,2.0,42.234,6.729,1.346,0.207,1845.0,12148.0,1.258,0.191,1101.0,0.114,0.036000000000000004,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-29,Hungary,HUN,"Mar 29, 2020",2,2020-03-29
HUN,Europe,Hungary,2020-03-30,447.0,39.0,15.0,2.0,46.272,4.037,1.553,0.207,1153.0,13301.0,1.377,0.119,1112.0,0.115,0.036000000000000004,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-30,Hungary,HUN,"Mar 30, 2020",2,2020-03-30
HUN,Europe,Hungary,2020-03-31,492.0,45.0,16.0,1.0,50.93,4.658,1.656,0.104,845.0,14146.0,1.464,0.087,1148.0,0.119,0.038,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-03-31,Hungary,HUN,"Mar 31, 2020",2,2020-03-31
HUN,Europe,Hungary,2020-04-01,525.0,33.0,20.0,4.0,54.346,3.416,2.07,0.414,1062.0,15208.0,1.574,0.11,1199.0,0.124,0.036000000000000004,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-01,Hungary,HUN,"Apr 1, 2020",2,2020-04-01
HUN,Europe,Hungary,2020-04-02,585.0,60.0,21.0,1.0,60.557,6.211,2.174,0.104,1193.0,16401.0,1.698,0.123,1199.0,0.124,0.039,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-02,Hungary,HUN,"Apr 2, 2020",2,2020-04-02
HUN,Europe,Hungary,2020-04-03,623.0,38.0,26.0,5.0,64.49,3.934,2.691,0.518,1368.0,17769.0,1.839,0.142,1213.0,0.126,0.038,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-03,Hungary,HUN,"Apr 3, 2020",2,2020-04-03
HUN,Europe,Hungary,2020-04-04,678.0,55.0,32.0,6.0,70.184,5.693,3.313,0.621,1655.0,19424.0,2.011,0.171,1303.0,0.135,0.037000000000000005,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-04,Hungary,HUN,"Apr 4, 2020",2,2020-04-04
HUN,Europe,Hungary,2020-04-05,733.0,55.0,34.0,2.0,75.877,5.693,3.52,0.207,1826.0,21250.0,2.2,0.189,1300.0,0.135,0.036000000000000004,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-05,Hungary,HUN,"Apr 5, 2020",2,2020-04-05
HUN,Europe,Hungary,2020-04-06,744.0,11.0,38.0,4.0,77.016,1.139,3.934,0.414,1032.0,22282.0,2.307,0.107,1283.0,0.133,0.033,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-06,Hungary,HUN,"Apr 6, 2020",2,2020-04-06
HUN,Europe,Hungary,2020-04-07,817.0,73.0,47.0,9.0,84.573,7.557,4.865,0.932,1464.0,23746.0,2.458,0.152,1371.0,0.142,0.034,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-07,Hungary,HUN,"Apr 7, 2020",2,2020-04-07
HUN,Europe,Hungary,2020-04-08,895.0,78.0,58.0,11.0,92.647,8.074,6.004,1.139,2002.0,25748.0,2.665,0.207,1506.0,0.156,0.035,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-08,Hungary,HUN,"Apr 8, 2020",2,2020-04-08
HUN,Europe,Hungary,2020-04-09,980.0,85.0,66.0,8.0,101.446,8.799,6.832,0.828,2078.0,27826.0,2.88,0.215,1632.0,0.169,0.035,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-09,Hungary,HUN,"Apr 9, 2020",2,2020-04-09
HUN,Europe,Hungary,2020-04-10,1190.0,210.0,77.0,11.0,123.184,21.738,7.971,1.139,2122.0,29948.0,3.1,0.22,1740.0,0.18,0.047,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-10,Hungary,HUN,"Apr 10, 2020",2,2020-04-10
HUN,Europe,Hungary,2020-04-11,1310.0,120.0,85.0,8.0,135.606,12.422,8.799,0.828,2013.0,31961.0,3.308,0.208,1791.0,0.185,0.05,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-11,Hungary,HUN,"Apr 11, 2020",2,2020-04-11
HUN,Europe,Hungary,2020-04-12,1410.0,100.0,99.0,14.0,145.957,10.352,10.248,1.449,1571.0,33532.0,3.471,0.163,1755.0,0.182,0.055,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-12,Hungary,HUN,"Apr 12, 2020",2,2020-04-12
HUN,Europe,Hungary,2020-04-13,1458.0,48.0,109.0,10.0,150.926,4.969,11.283,1.035,1287.0,34819.0,3.604,0.133,1791.0,0.185,0.057,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-13,Hungary,HUN,"Apr 13, 2020",2,2020-04-13
HUN,Europe,Hungary,2020-04-14,1512.0,54.0,122.0,13.0,156.516,5.59,12.629,1.346,1006.0,35825.0,3.708,0.104,1726.0,0.179,0.057999999999999996,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-14,Hungary,HUN,"Apr 14, 2020",2,2020-04-14
HUN,Europe,Hungary,2020-04-15,1579.0,67.0,134.0,12.0,163.452,6.936,13.871,1.242,1501.0,37326.0,3.864,0.155,1654.0,0.171,0.059000000000000004,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-15,Hungary,HUN,"Apr 15, 2020",2,2020-04-15
HUN,Europe,Hungary,2020-04-16,1652.0,73.0,142.0,8.0,171.008,7.557,14.699,0.828,1163.0,38489.0,3.984,0.12,1523.0,0.158,0.063,tests performed,76.85,9660350.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,76.88,2020-04-16,Hungary,HUN,"Apr 16, 2020",2,2020-04-16
