iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ISL,Europe,Iceland,2020-03-05,26.0,10.0,0.0,0.0,76.19,29.304,0.0,0.0,62.0,326.0,0.955,0.182,43.0,0.126,0.086,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-05,Iceland,ISL,"Mar 5, 2020",0,2020-03-05
ISL,Europe,Iceland,2020-03-06,35.0,9.0,0.0,0.0,102.564,26.374,0.0,0.0,57.0,383.0,1.122,0.167,50.0,0.147,0.1,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-06,Iceland,ISL,"Mar 6, 2020",0,2020-03-06
ISL,Europe,Iceland,2020-03-07,43.0,8.0,0.0,0.0,126.007,23.443,0.0,0.0,58.0,441.0,1.292,0.17,53.0,0.155,0.113,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-07,Iceland,ISL,"Mar 7, 2020",0,2020-03-07
ISL,Europe,Iceland,2020-03-08,53.0,10.0,0.0,0.0,155.311,29.304,0.0,0.0,37.0,478.0,1.401,0.108,55.0,0.161,0.135,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-08,Iceland,ISL,"Mar 8, 2020",0,2020-03-08
ISL,Europe,Iceland,2020-03-09,55.0,2.0,0.0,0.0,161.172,5.861,0.0,0.0,98.0,576.0,1.688,0.287,63.0,0.185,0.11800000000000001,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-09,Iceland,ISL,"Mar 9, 2020",0,2020-03-09
ISL,Europe,Iceland,2020-03-10,65.0,10.0,0.0,0.0,190.476,29.304,0.0,0.0,169.0,745.0,2.183,0.495,80.0,0.234,0.105,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-10,Iceland,ISL,"Mar 10, 2020",0,2020-03-10
ISL,Europe,Iceland,2020-03-11,70.0,5.0,0.0,0.0,205.128,14.652,0.0,0.0,149.0,894.0,2.62,0.437,90.0,0.264,0.086,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-11,Iceland,ISL,"Mar 11, 2020",0,2020-03-11
ISL,Europe,Iceland,2020-03-12,85.0,15.0,0.0,0.0,249.084,43.956,0.0,0.0,253.0,1147.0,3.361,0.741,117.0,0.343,0.07200000000000001,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-12,Iceland,ISL,"Mar 12, 2020",0,2020-03-12
ISL,Europe,Iceland,2020-03-13,117.0,32.0,0.0,0.0,342.857,93.773,0.0,0.0,357.0,1504.0,4.407,1.046,160.0,0.469,0.073,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-13,Iceland,ISL,"Mar 13, 2020",0,2020-03-13
ISL,Europe,Iceland,2020-03-14,117.0,0.0,0.0,0.0,342.857,0.0,0.0,0.0,323.0,1827.0,5.354,0.947,198.0,0.58,0.053,tests performed,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,2020-03-14,Iceland,ISL,"Mar 14, 2020",0,2020-03-14
