iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
IND,Asia,India,2020-03-20,191.0,26.0,4.0,1.0,0.138,0.019,0.003,0.001,1060.0,14376.0,0.01,0.001,1125.0,0.001,0.015,samples tested,70.83,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-03-20,India,IND,"Mar 20, 2020",1,2020-03-20
IND,Asia,India,2020-03-21,231.0,40.0,4.0,0.0,0.167,0.029,0.003,0.0,1325.0,15701.0,0.011,0.001,1125.0,0.001,0.019,samples tested,76.39,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-03-21,India,IND,"Mar 21, 2020",1,2020-03-21
IND,Asia,India,2020-03-22,320.0,89.0,4.0,0.0,0.232,0.064,0.003,0.0,1298.0,16999.0,0.012,0.001,1121.0,0.001,0.028999999999999998,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-03-22,India,IND,"Mar 22, 2020",3,2020-03-22
IND,Asia,India,2020-03-23,439.0,119.0,7.0,3.0,0.318,0.086,0.005,0.002,3708.0,20707.0,0.015,0.003,1462.0,0.001,0.034,samples tested,86.57,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-03-23,India,IND,"Mar 23, 2020",3,2020-03-23
IND,Asia,India,2020-03-24,492.0,53.0,9.0,2.0,0.357,0.038,0.007,0.001,157.0,20864.0,0.015,0.0,1295.0,0.001,0.04,samples tested,86.57,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-03-24,India,IND,"Mar 24, 2020",3,2020-03-24
IND,Asia,India,2020-03-25,562.0,70.0,9.0,0.0,0.407,0.051,0.007,0.0,4280.0,25144.0,0.018,0.003,1717.0,0.001,0.035,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-03-25,India,IND,"Mar 25, 2020",3,2020-03-25
IND,Asia,India,2020-04-03,2301.0,336.0,56.0,6.0,1.667,0.243,0.041,0.004,21294.0,69245.0,0.05,0.015,5937.0,0.004,0.038,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-03,India,IND,"Apr 3, 2020",3,2020-04-03
IND,Asia,India,2020-04-04,2902.0,601.0,68.0,12.0,2.103,0.436,0.049,0.009,10705.0,79950.0,0.058,0.008,6984.0,0.005,0.042,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-04,India,IND,"Apr 4, 2020",3,2020-04-04
IND,Asia,India,2020-04-05,3374.0,472.0,77.0,9.0,2.445,0.342,0.056,0.007,9584.0,89534.0,0.065,0.007,7870.0,0.006,0.043,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-05,India,IND,"Apr 5, 2020",3,2020-04-05
IND,Asia,India,2020-04-06,4067.0,693.0,109.0,32.0,2.947,0.502,0.079,0.023,11534.0,101068.0,0.073,0.008,9036.0,0.007,0.047,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-06,India,IND,"Apr 6, 2020",3,2020-04-06
IND,Asia,India,2020-04-07,4421.0,354.0,114.0,5.0,3.204,0.257,0.083,0.004,12947.0,114015.0,0.083,0.009,10403.0,0.008,0.044000000000000004,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-07,India,IND,"Apr 7, 2020",3,2020-04-07
IND,Asia,India,2020-04-08,5194.0,773.0,149.0,35.0,3.764,0.56,0.108,0.025,13904.0,127919.0,0.093,0.01,11906.0,0.009,0.046,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-08,India,IND,"Apr 8, 2020",3,2020-04-08
IND,Asia,India,2020-04-09,5734.0,540.0,166.0,17.0,4.155,0.391,0.12,0.012,16991.0,144910.0,0.105,0.012,13851.0,0.01,0.039,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-09,India,IND,"Apr 9, 2020",3,2020-04-09
IND,Asia,India,2020-04-10,6412.0,678.0,199.0,33.0,4.646,0.491,0.144,0.024,16420.0,161330.0,0.117,0.012,13155.0,0.01,0.045,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-10,India,IND,"Apr 10, 2020",3,2020-04-10
IND,Asia,India,2020-04-11,7447.0,1035.0,239.0,40.0,5.396,0.75,0.173,0.029,18044.0,179374.0,0.13,0.013,14203.0,0.01,0.046,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-11,India,IND,"Apr 11, 2020",3,2020-04-11
IND,Asia,India,2020-04-12,8356.0,909.0,273.0,34.0,6.055,0.659,0.198,0.025,16374.0,195748.0,0.142,0.012,15173.0,0.011,0.047,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-12,India,IND,"Apr 12, 2020",3,2020-04-12
IND,Asia,India,2020-04-13,9152.0,796.0,308.0,35.0,6.632,0.577,0.223,0.025,21806.0,217554.0,0.158,0.016,16641.0,0.012,0.044000000000000004,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-13,India,IND,"Apr 13, 2020",3,2020-04-13
IND,Asia,India,2020-04-14,10363.0,1211.0,339.0,31.0,7.509,0.878,0.246,0.022,27339.0,244893.0,0.177,0.02,18697.0,0.014,0.045,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-14,India,IND,"Apr 14, 2020",3,2020-04-14
IND,Asia,India,2020-04-15,11438.0,1075.0,377.0,38.0,8.288,0.779,0.273,0.028,29706.0,274599.0,0.199,0.022,20954.0,0.015,0.043,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-15,India,IND,"Apr 15, 2020",3,2020-04-15
IND,Asia,India,2020-04-16,12380.0,942.0,414.0,37.0,8.971,0.683,0.3,0.027,28357.0,302956.0,0.22,0.021,22578.0,0.016,0.042,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-16,India,IND,"Apr 16, 2020",3,2020-04-16
IND,Asia,India,2020-04-17,13387.0,1007.0,437.0,23.0,9.701,0.73,0.317,0.017,32167.0,335123.0,0.243,0.023,24828.0,0.018,0.04,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-17,India,IND,"Apr 17, 2020",3,2020-04-17
IND,Asia,India,2020-04-18,14378.0,991.0,480.0,43.0,10.419,0.718,0.348,0.031,37000.0,372123.0,0.27,0.027,27536.0,0.02,0.036000000000000004,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-18,India,IND,"Apr 18, 2020",3,2020-04-18
IND,Asia,India,2020-04-19,15712.0,1334.0,507.0,27.0,11.385,0.967,0.367,0.02,29463.0,401586.0,0.291,0.021,29405.0,0.021,0.036000000000000004,samples tested,100.0,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-19,India,IND,"Apr 19, 2020",3,2020-04-19
IND,Asia,India,2020-04-24,23077.0,1684.0,718.0,37.0,16.722,1.22,0.52,0.027,41247.0,541789.0,0.393,0.03,29524.0,0.021,0.047,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-24,India,IND,"Apr 24, 2020",3,2020-04-24
IND,Asia,India,2020-04-25,24506.0,1429.0,775.0,57.0,17.758,1.036,0.562,0.041,38168.0,579957.0,0.42,0.028,29691.0,0.022,0.049,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-25,India,IND,"Apr 25, 2020",3,2020-04-25
IND,Asia,India,2020-04-26,26496.0,1990.0,824.0,49.0,19.2,1.442,0.597,0.036,45352.0,625309.0,0.453,0.033,31960.0,0.023,0.048,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-26,India,IND,"Apr 26, 2020",3,2020-04-26
IND,Asia,India,2020-04-27,27892.0,1396.0,872.0,48.0,20.212,1.012,0.632,0.035,40510.0,665819.0,0.482,0.029,33388.0,0.024,0.045,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-27,India,IND,"Apr 27, 2020",3,2020-04-27
IND,Asia,India,2020-04-28,29435.0,1543.0,934.0,62.0,21.33,1.118,0.677,0.045,50914.0,716733.0,0.519,0.037,36302.0,0.026,0.043,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-28,India,IND,"Apr 28, 2020",3,2020-04-28
IND,Asia,India,2020-04-29,31332.0,1897.0,1007.0,73.0,22.704,1.375,0.73,0.053,54031.0,770764.0,0.559,0.039,41312.0,0.03,0.039,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-29,India,IND,"Apr 29, 2020",3,2020-04-29
IND,Asia,India,2020-04-30,33050.0,1718.0,1074.0,67.0,23.949,1.245,0.778,0.049,59437.0,830201.0,0.602,0.043,47094.0,0.034,0.035,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-04-30,India,IND,"Apr 30, 2020",3,2020-04-30
IND,Asia,India,2020-05-01,35043.0,1993.0,1147.0,73.0,25.393,1.444,0.831,0.053,72453.0,902654.0,0.654,0.053,51552.0,0.037,0.033,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-05-01,India,IND,"May 1, 2020",3,2020-05-01
IND,Asia,India,2020-05-02,37336.0,2293.0,1218.0,71.0,27.055,1.662,0.883,0.051,73709.0,976363.0,0.708,0.053,56629.0,0.041,0.032,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-05-02,India,IND,"May 2, 2020",3,2020-05-02
IND,Asia,India,2020-05-03,39980.0,2644.0,1301.0,83.0,28.971,1.916,0.943,0.06,70087.0,1046450.0,0.758,0.051,60163.0,0.044,0.032,samples tested,96.3,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-05-03,India,IND,"May 3, 2020",3,2020-05-03
IND,Asia,India,2020-05-04,42533.0,2553.0,1373.0,72.0,30.821,1.85,0.995,0.052,60783.0,1107233.0,0.802,0.044,63059.0,0.046,0.033,samples tested,81.94,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-05-04,India,IND,"May 4, 2020",2,2020-05-04
IND,Asia,India,2020-05-05,46433.0,3900.0,1568.0,195.0,33.647,2.826,1.136,0.141,84713.0,1191946.0,0.864,0.061,67888.0,0.049,0.036000000000000004,samples tested,81.94,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-05-05,India,IND,"May 5, 2020",2,2020-05-05
IND,Asia,India,2020-05-06,49391.0,2958.0,1694.0,126.0,35.79,2.143,1.228,0.091,84835.0,1276781.0,0.925,0.061,72288.0,0.052,0.036000000000000004,samples tested,81.94,1380004385.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,69.66,2020-05-06,India,IND,"May 6, 2020",2,2020-05-06
