iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
IDN,Asia,Indonesia,2020-03-23,514.0,64.0,48.0,10.0,1.879,0.234,0.175,0.037,74.0,2483.0,0.009,0.0,179.0,0.001,0.317,people tested,46.3,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-03-23,Indonesia,IDN,"Mar 23, 2020",0,2020-03-23
IDN,Asia,Indonesia,2020-03-24,579.0,65.0,49.0,1.0,2.117,0.238,0.179,0.004,380.0,2863.0,0.01,0.001,230.0,0.001,0.276,people tested,46.3,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-03-24,Indonesia,IDN,"Mar 24, 2020",0,2020-03-24
IDN,Asia,Indonesia,2020-03-28,1046.0,153.0,87.0,9.0,3.824,0.559,0.318,0.033,1286.0,5775.0,0.021,0.005,517.0,0.002,0.204,people tested,48.15,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-03-28,Indonesia,IDN,"Mar 28, 2020",0,2020-03-28
IDN,Asia,Indonesia,2020-03-29,1155.0,109.0,102.0,15.0,4.223,0.399,0.373,0.055,491.0,6266.0,0.023,0.002,551.0,0.002,0.183,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-03-29,Indonesia,IDN,"Mar 29, 2020",0,2020-03-29
IDN,Asia,Indonesia,2020-03-30,1285.0,130.0,114.0,12.0,4.698,0.475,0.417,0.044,268.0,6534.0,0.024,0.001,579.0,0.002,0.19,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-03-30,Indonesia,IDN,"Mar 30, 2020",0,2020-03-30
IDN,Asia,Indonesia,2020-03-31,1414.0,129.0,122.0,8.0,5.17,0.472,0.446,0.029,129.0,6663.0,0.024,0.0,543.0,0.002,0.22,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-03-31,Indonesia,IDN,"Mar 31, 2020",0,2020-03-31
IDN,Asia,Indonesia,2020-04-01,1528.0,114.0,136.0,14.0,5.586,0.417,0.497,0.051,114.0,6777.0,0.025,0.0,482.0,0.002,0.25,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-01,Indonesia,IDN,"Apr 1, 2020",0,2020-04-01
IDN,Asia,Indonesia,2020-04-02,1677.0,149.0,157.0,21.0,6.131,0.545,0.574,0.077,416.0,7193.0,0.026,0.002,464.0,0.002,0.273,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-02,Indonesia,IDN,"Apr 2, 2020",0,2020-04-02
IDN,Asia,Indonesia,2020-04-03,1790.0,113.0,170.0,13.0,6.544,0.413,0.622,0.048,428.0,7621.0,0.028,0.002,447.0,0.002,0.287,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-03,Indonesia,IDN,"Apr 3, 2020",0,2020-04-03
IDN,Asia,Indonesia,2020-04-04,1986.0,196.0,181.0,11.0,7.261,0.717,0.662,0.04,365.0,7986.0,0.029,0.001,316.0,0.001,0.425,people tested,50.93,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-04,Indonesia,IDN,"Apr 4, 2020",0,2020-04-04
IDN,Asia,Indonesia,2020-04-07,2491.0,218.0,209.0,11.0,9.107,0.797,0.764,0.04,1973.0,13433.0,0.049,0.007,967.0,0.004,0.159,people tested,60.65,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-07,Indonesia,IDN,"Apr 7, 2020",0,2020-04-07
IDN,Asia,Indonesia,2020-04-08,2738.0,247.0,221.0,12.0,10.01,0.903,0.808,0.044,1138.0,14571.0,0.053,0.004,1113.0,0.004,0.155,people tested,60.65,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-08,Indonesia,IDN,"Apr 8, 2020",0,2020-04-08
IDN,Asia,Indonesia,2020-04-09,2956.0,218.0,240.0,19.0,10.807,0.797,0.877,0.069,2277.0,16848.0,0.062,0.008,1379.0,0.005,0.132,people tested,60.65,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-09,Indonesia,IDN,"Apr 9, 2020",0,2020-04-09
IDN,Asia,Indonesia,2020-04-10,3293.0,337.0,280.0,40.0,12.039,1.232,1.024,0.146,2604.0,19452.0,0.071,0.01,1690.0,0.006,0.127,people tested,71.76,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-10,Indonesia,IDN,"Apr 10, 2020",2,2020-04-10
IDN,Asia,Indonesia,2020-04-11,3512.0,219.0,306.0,26.0,12.84,0.801,1.119,0.095,330.0,19782.0,0.072,0.001,1685.0,0.006,0.129,people tested,71.76,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-11,Indonesia,IDN,"Apr 11, 2020",2,2020-04-11
IDN,Asia,Indonesia,2020-04-12,3842.0,330.0,327.0,21.0,14.046,1.206,1.196,0.077,7293.0,27075.0,0.099,0.027,2479.0,0.009,0.10099999999999999,people tested,71.76,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-12,Indonesia,IDN,"Apr 12, 2020",2,2020-04-12
IDN,Asia,Indonesia,2020-04-13,4241.0,399.0,373.0,46.0,15.505,1.459,1.364,0.168,316.0,27391.0,0.1,0.001,2276.0,0.008,0.124,people tested,71.76,273523621.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,71.72,2020-04-13,Indonesia,IDN,"Apr 13, 2020",2,2020-04-13
