iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
IRN,Asia,Iran,2020-04-12,70029.0,1837.0,4357.0,125.0,833.749,21.871,51.873,1.488,11685.0,263388.0,3.136,0.139,10514.0,0.125,0.19399999999999998,tests performed,50.93,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-12,Iran,IRN,"Apr 12, 2020",1,2020-04-12
IRN,Asia,Iran,2020-04-15,74877.0,1574.0,4683.0,98.0,891.468,18.74,55.755,1.167,11845.0,299204.0,3.562,0.141,11176.0,0.133,0.157,tests performed,50.93,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-15,Iran,IRN,"Apr 15, 2020",1,2020-04-15
IRN,Asia,Iran,2020-04-16,76389.0,1512.0,4777.0,94.0,909.469,18.002,56.874,1.119,11136.0,310340.0,3.695,0.133,11278.0,0.134,0.15,tests performed,50.93,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-16,Iran,IRN,"Apr 16, 2020",1,2020-04-16
IRN,Asia,Iran,2020-04-17,77995.0,1606.0,4869.0,92.0,928.59,19.121,57.969,1.095,9539.0,319879.0,3.808,0.114,11044.0,0.131,0.152,tests performed,50.93,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-17,Iran,IRN,"Apr 17, 2020",1,2020-04-17
IRN,Asia,Iran,2020-04-18,79494.0,1499.0,4958.0,89.0,946.437,17.847,59.029,1.06,10258.0,330137.0,3.931,0.122,11205.0,0.133,0.14400000000000002,tests performed,50.93,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-18,Iran,IRN,"Apr 18, 2020",1,2020-04-18
IRN,Asia,Iran,2020-04-19,80868.0,1374.0,5031.0,73.0,962.795,16.359,59.898,0.869,11525.0,341662.0,4.068,0.137,11182.0,0.133,0.138,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-19,Iran,IRN,"Apr 19, 2020",1,2020-04-19
IRN,Asia,Iran,2020-04-20,82211.0,1343.0,5118.0,87.0,978.784,15.989,60.934,1.036,11350.0,353012.0,4.203,0.135,11091.0,0.132,0.136,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-20,Iran,IRN,"Apr 20, 2020",1,2020-04-20
IRN,Asia,Iran,2020-04-21,83505.0,1294.0,5209.0,91.0,994.191,15.406,62.017,1.083,12711.0,365723.0,4.354,0.151,11195.0,0.133,0.13,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-21,Iran,IRN,"Apr 21, 2020",1,2020-04-21
IRN,Asia,Iran,2020-04-24,87026.0,1030.0,5481.0,90.0,1036.111,12.263,65.255,1.072,10420.0,399927.0,4.761,0.124,11435.0,0.136,0.113,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-24,Iran,IRN,"Apr 24, 2020",1,2020-04-24
IRN,Asia,Iran,2020-04-25,88194.0,1168.0,5574.0,93.0,1050.017,13.906,66.363,1.107,10148.0,410075.0,4.882,0.121,11420.0,0.136,0.109,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-25,Iran,IRN,"Apr 25, 2020",1,2020-04-25
IRN,Asia,Iran,2020-04-26,89328.0,1134.0,5650.0,76.0,1063.518,13.501,67.268,0.905,11238.0,421313.0,5.016,0.134,11379.0,0.135,0.106,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-26,Iran,IRN,"Apr 26, 2020",1,2020-04-26
IRN,Asia,Iran,2020-04-27,90481.0,1153.0,5710.0,60.0,1077.245,13.727,67.982,0.714,11016.0,432329.0,5.147,0.131,11331.0,0.135,0.10400000000000001,tests performed,53.7,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,2020-04-27,Iran,IRN,"Apr 27, 2020",1,2020-04-27
