iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
IRL,Europe,Ireland,2020-03-25,1329.0,204.0,7.0,1.0,269.148,41.314,1.418,0.203,1775.0,17336.0,3.511,0.359,1554.0,0.315,0.095,tests performed,48.15,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-25,Ireland,IRL,"Mar 25, 2020",0,2020-03-25
IRL,Europe,Ireland,2020-03-26,1564.0,235.0,9.0,2.0,316.741,47.592,1.823,0.405,3376.0,20712.0,4.195,0.684,1901.0,0.385,0.09,tests performed,57.41,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-26,Ireland,IRL,"Mar 26, 2020",1,2020-03-26
IRL,Europe,Ireland,2020-03-27,1819.0,255.0,19.0,10.0,368.383,51.642,3.848,2.025,2941.0,23653.0,4.79,0.596,2112.0,0.428,0.085,tests performed,75.93,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-27,Ireland,IRL,"Mar 27, 2020",1,2020-03-27
IRL,Europe,Ireland,2020-03-28,2121.0,302.0,22.0,3.0,429.544,61.161,4.455,0.608,2206.0,25859.0,5.237,0.447,2203.0,0.446,0.09300000000000001,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-28,Ireland,IRL,"Mar 28, 2020",2,2020-03-28
IRL,Europe,Ireland,2020-03-29,2415.0,294.0,36.0,14.0,489.085,59.541,7.291,2.835,1616.0,27475.0,5.564,0.327,2294.0,0.465,0.102,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-29,Ireland,IRL,"Mar 29, 2020",2,2020-03-29
IRL,Europe,Ireland,2020-03-30,2615.0,200.0,46.0,10.0,529.589,40.504,9.316,2.025,1397.0,28872.0,5.847,0.283,2125.0,0.43,0.115,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-30,Ireland,IRL,"Mar 30, 2020",2,2020-03-30
IRL,Europe,Ireland,2020-03-31,2910.0,295.0,54.0,8.0,589.332,59.743,10.936,1.62,1928.0,30800.0,6.238,0.39,2177.0,0.441,0.11699999999999999,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-03-31,Ireland,IRL,"Mar 31, 2020",2,2020-03-31
IRL,Europe,Ireland,2020-04-01,3235.0,325.0,71.0,17.0,655.151,65.819,14.379,3.443,2009.0,32809.0,6.644,0.407,2210.0,0.448,0.12300000000000001,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-04-01,Ireland,IRL,"Apr 1, 2020",2,2020-04-01
IRL,Europe,Ireland,2020-04-02,3447.0,212.0,85.0,14.0,698.085,42.934,17.214,2.835,1975.0,34784.0,7.044,0.4,2010.0,0.407,0.134,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-04-02,Ireland,IRL,"Apr 2, 2020",2,2020-04-02
IRL,Europe,Ireland,2020-04-03,3849.0,402.0,98.0,13.0,779.498,81.413,19.847,2.633,1857.0,36641.0,7.421,0.376,1855.0,0.376,0.156,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-04-03,Ireland,IRL,"Apr 3, 2020",2,2020-04-03
IRL,Europe,Ireland,2020-04-04,4273.0,424.0,120.0,22.0,865.366,85.868,24.302,4.455,1849.0,38490.0,7.795,0.374,1804.0,0.365,0.17,tests performed,85.19,4937796.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,82.3,2020-04-04,Ireland,IRL,"Apr 4, 2020",2,2020-04-04
