iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ISR,Asia,Israel,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,129.0,0.015,0.001,3.0,0.0,0.0,tests performed,13.89,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-03,Israel,ISR,"Feb 3, 2020",0,2020-02-03
ISR,Asia,Israel,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,135.0,0.016,0.001,4.0,0.0,0.0,tests performed,13.89,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-04,Israel,ISR,"Feb 4, 2020",0,2020-02-04
ISR,Asia,Israel,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,203.0,0.023,0.003,11.0,0.001,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-10,Israel,ISR,"Feb 10, 2020",0,2020-02-10
ISR,Asia,Israel,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,253.0,0.029,0.006,17.0,0.002,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-11,Israel,ISR,"Feb 11, 2020",0,2020-02-11
ISR,Asia,Israel,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,288.0,0.033,0.004,21.0,0.002,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-12,Israel,ISR,"Feb 12, 2020",0,2020-02-12
ISR,Asia,Israel,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,323.0,0.037,0.004,25.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-13,Israel,ISR,"Feb 13, 2020",0,2020-02-13
ISR,Asia,Israel,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,353.0,0.041,0.003,28.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-14,Israel,ISR,"Feb 14, 2020",0,2020-02-14
ISR,Asia,Israel,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,356.0,0.041,0.0,27.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-15,Israel,ISR,"Feb 15, 2020",0,2020-02-15
ISR,Asia,Israel,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,379.0,0.044,0.003,29.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-16,Israel,ISR,"Feb 16, 2020",0,2020-02-16
ISR,Asia,Israel,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,420.0,0.049,0.005,31.0,0.004,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-17,Israel,ISR,"Feb 17, 2020",0,2020-02-17
ISR,Asia,Israel,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,466.0,0.054,0.005,30.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-18,Israel,ISR,"Feb 18, 2020",0,2020-02-18
ISR,Asia,Israel,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,500.0,0.058,0.004,30.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-19,Israel,ISR,"Feb 19, 2020",0,2020-02-19
ISR,Asia,Israel,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,529.0,0.061,0.003,29.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-20,Israel,ISR,"Feb 20, 2020",0,2020-02-20
ISR,Asia,Israel,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,566.0,0.065,0.004,30.0,0.003,0.0,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-21,Israel,ISR,"Feb 21, 2020",0,2020-02-21
ISR,Asia,Israel,2020-02-22,1.0,1.0,0.0,0.0,0.116,0.116,0.0,0.0,13.0,579.0,0.067,0.002,32.0,0.004,0.004,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-22,Israel,ISR,"Feb 22, 2020",0,2020-02-22
ISR,Asia,Israel,2020-02-23,1.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,56.0,635.0,0.073,0.006,37.0,0.004,0.004,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-23,Israel,ISR,"Feb 23, 2020",0,2020-02-23
ISR,Asia,Israel,2020-02-24,2.0,1.0,0.0,0.0,0.231,0.116,0.0,0.0,76.0,711.0,0.082,0.009,42.0,0.005,0.006999999999999999,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-24,Israel,ISR,"Feb 24, 2020",0,2020-02-24
ISR,Asia,Israel,2020-02-25,2.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,108.0,819.0,0.095,0.012,50.0,0.006,0.006,tests performed,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,2020-02-25,Israel,ISR,"Feb 25, 2020",0,2020-02-25
