iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ITA,Europe,Italy,2020-04-26,195351.0,2357.0,26384.0,415.0,3230.981,38.983,436.375,6.864,24113.0,1210639.0,20.023,0.399,39333.0,0.651,0.071,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-04-26,Italy,ITA,"Apr 26, 2020",2,2020-04-26
ITA,Europe,Italy,2020-04-27,197675.0,2324.0,26644.0,260.0,3269.418,38.437,440.675,4.3,26678.0,1237317.0,20.464,0.441,42024.0,0.695,0.064,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-04-27,Italy,ITA,"Apr 27, 2020",2,2020-04-27
ITA,Europe,Italy,2020-04-28,199414.0,1739.0,26977.0,333.0,3298.18,28.762,446.182,5.508,37554.0,1274871.0,21.086,0.621,43375.0,0.717,0.06,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-04-28,Italy,ITA,"Apr 28, 2020",2,2020-04-28
ITA,Europe,Italy,2020-04-29,201505.0,2091.0,27359.0,382.0,3332.764,34.584,452.5,6.318,38589.0,1313460.0,21.724,0.638,42567.0,0.704,0.059000000000000004,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-04-29,Italy,ITA,"Apr 29, 2020",2,2020-04-29
ITA,Europe,Italy,2020-04-30,203591.0,2086.0,27682.0,323.0,3367.265,34.501,457.843,5.342,41441.0,1354901.0,22.409,0.685,43189.0,0.714,0.054000000000000006,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-04-30,Italy,ITA,"Apr 30, 2020",2,2020-04-30
ITA,Europe,Italy,2020-05-01,205463.0,1872.0,27967.0,285.0,3398.227,30.962,462.556,4.714,43732.0,1398633.0,23.132,0.723,35826.0,0.593,0.062,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-01,Italy,ITA,"May 1, 2020",2,2020-05-01
ITA,Europe,Italy,2020-05-02,207428.0,1965.0,28236.0,269.0,3430.727,32.5,467.005,4.449,31231.0,1429864.0,23.649,0.517,34763.0,0.575,0.059000000000000004,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-02,Italy,ITA,"May 2, 2020",2,2020-05-02
ITA,Europe,Italy,2020-05-03,209328.0,1900.0,28710.0,474.0,3462.151,31.425,474.845,7.84,27047.0,1456911.0,24.096,0.447,35182.0,0.582,0.057,people tested,93.52,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-03,Italy,ITA,"May 3, 2020",2,2020-05-03
ITA,Europe,Italy,2020-05-04,210717.0,1389.0,28884.0,174.0,3485.125,22.973,477.723,2.878,22999.0,1479910.0,24.477,0.38,34656.0,0.573,0.054000000000000006,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-04,Italy,ITA,"May 4, 2020",1,2020-05-04
ITA,Europe,Italy,2020-05-05,211938.0,1221.0,29079.0,195.0,3505.319,20.195,480.948,3.225,32211.0,1512121.0,25.01,0.533,33893.0,0.561,0.053,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-05,Italy,ITA,"May 5, 2020",1,2020-05-05
ITA,Europe,Italy,2020-05-06,213013.0,1075.0,29315.0,236.0,3523.099,17.78,484.851,3.903,37771.0,1549892.0,25.634,0.625,33776.0,0.559,0.049,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-06,Italy,ITA,"May 6, 2020",1,2020-05-06
ITA,Europe,Italy,2020-05-07,214457.0,1444.0,29684.0,369.0,3546.982,23.883,490.954,6.103,13665.0,1563557.0,25.86,0.226,29808.0,0.493,0.052000000000000005,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-07,Italy,ITA,"May 7, 2020",1,2020-05-07
ITA,Europe,Italy,2020-05-08,215858.0,1401.0,29958.0,274.0,3570.153,23.172,495.486,4.532,45428.0,1608985.0,26.612,0.751,30050.0,0.497,0.049,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-08,Italy,ITA,"May 8, 2020",1,2020-05-08
ITA,Europe,Italy,2020-05-09,217185.0,1327.0,30201.0,243.0,3592.101,21.948,499.505,4.019,36091.0,1645076.0,27.209,0.597,30745.0,0.509,0.045,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-09,Italy,ITA,"May 9, 2020",1,2020-05-09
ITA,Europe,Italy,2020-05-10,218268.0,1083.0,30395.0,194.0,3610.013,17.912,502.714,3.209,31384.0,1676460.0,27.728,0.519,31364.0,0.519,0.040999999999999995,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-10,Italy,ITA,"May 10, 2020",1,2020-05-10
ITA,Europe,Italy,2020-05-11,219070.0,802.0,30560.0,165.0,3623.278,13.265,505.443,2.729,25823.0,1702283.0,28.155,0.427,31768.0,0.525,0.038,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-11,Italy,ITA,"May 11, 2020",1,2020-05-11
ITA,Europe,Italy,2020-05-12,219814.0,744.0,30739.0,179.0,3635.583,12.305,508.403,2.961,39620.0,1741903.0,28.81,0.655,32826.0,0.543,0.034,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-12,Italy,ITA,"May 12, 2020",1,2020-05-12
ITA,Europe,Italy,2020-05-13,221216.0,1402.0,30911.0,172.0,3658.771,23.188,511.248,2.845,37049.0,1778952.0,29.423,0.613,32723.0,0.541,0.036000000000000004,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-13,Italy,ITA,"May 13, 2020",1,2020-05-13
ITA,Europe,Italy,2020-05-14,222104.0,888.0,31106.0,195.0,3673.458,14.687,514.473,3.225,41131.0,1820083.0,30.103,0.68,36647.0,0.606,0.03,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-14,Italy,ITA,"May 14, 2020",1,2020-05-14
ITA,Europe,Italy,2020-05-15,223096.0,992.0,31368.0,262.0,3689.865,16.407,518.807,4.333,39027.0,1859110.0,30.748,0.645,35732.0,0.591,0.028999999999999998,people tested,62.96,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-15,Italy,ITA,"May 15, 2020",1,2020-05-15
ITA,Europe,Italy,2020-05-16,223885.0,789.0,31610.0,242.0,3702.915,13.05,522.809,4.003,40657.0,1899767.0,31.421,0.672,36384.0,0.602,0.026000000000000002,people tested,66.67,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-16,Italy,ITA,"May 16, 2020",1,2020-05-16
ITA,Europe,Italy,2020-05-17,224760.0,875.0,31763.0,153.0,3717.387,14.472,525.34,2.531,33505.0,1933272.0,31.975,0.554,36687.0,0.607,0.025,people tested,66.67,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,83.51,2020-05-17,Italy,ITA,"May 17, 2020",1,2020-05-17
