iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
JPN,Asia,Japan,2020-07-19,24642.0,510.0,985.0,0.0,194.835,4.032,7.788,0.0,6712.0,909606.0,7.192,0.053,13471.0,0.107,0.033,tests performed,24.07,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-19,Japan,JPN,"Jul 19, 2020",0,2020-07-19
JPN,Asia,Japan,2020-07-20,25096.0,454.0,985.0,0.0,198.424,3.59,7.788,0.0,16296.0,925902.0,7.321,0.129,13714.0,0.108,0.034,tests performed,24.07,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-20,Japan,JPN,"Jul 20, 2020",0,2020-07-20
JPN,Asia,Japan,2020-07-21,25736.0,640.0,988.0,3.0,203.485,5.06,7.812,0.024,19025.0,944927.0,7.471,0.15,14346.0,0.113,0.035,tests performed,24.07,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-21,Japan,JPN,"Jul 21, 2020",0,2020-07-21
JPN,Asia,Japan,2020-07-22,26303.0,567.0,989.0,1.0,207.968,4.483,7.82,0.008,22302.0,967229.0,7.648,0.176,15447.0,0.122,0.035,tests performed,24.07,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-22,Japan,JPN,"Jul 22, 2020",0,2020-07-22
JPN,Asia,Japan,2020-07-23,27029.0,726.0,990.0,1.0,213.708,5.74,7.828,0.008,13994.0,981223.0,7.758,0.111,15361.0,0.121,0.038,tests performed,28.7,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-23,Japan,JPN,"Jul 23, 2020",1,2020-07-23
JPN,Asia,Japan,2020-07-24,27956.0,927.0,992.0,2.0,221.037,7.329,7.843,0.016,9818.0,991041.0,7.836,0.078,14678.0,0.116,0.044000000000000004,tests performed,28.7,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-24,Japan,JPN,"Jul 24, 2020",1,2020-07-24
JPN,Asia,Japan,2020-07-25,28786.0,830.0,993.0,1.0,227.6,6.562,7.851,0.008,15574.0,1006615.0,7.959,0.123,14817.0,0.117,0.045,tests performed,28.7,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-25,Japan,JPN,"Jul 25, 2020",1,2020-07-25
JPN,Asia,Japan,2020-07-26,29382.0,596.0,996.0,3.0,232.312,4.712,7.875,0.024,9246.0,1015861.0,8.032,0.073,15179.0,0.12,0.045,tests performed,32.41,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-26,Japan,JPN,"Jul 26, 2020",1,2020-07-26
JPN,Asia,Japan,2020-07-27,29989.0,607.0,996.0,0.0,237.111,4.799,7.875,0.0,17759.0,1033620.0,8.172,0.14,15388.0,0.122,0.045,tests performed,32.41,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-27,Japan,JPN,"Jul 27, 2020",1,2020-07-27
JPN,Asia,Japan,2020-07-28,29989.0,0.0,996.0,0.0,237.111,0.0,7.875,0.0,20750.0,1054370.0,8.336,0.164,15635.0,0.124,0.039,tests performed,,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,2020-07-28,Japan,JPN,"Jul 28, 2020",1,2020-07-28
