iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
KAZ,Asia,Kazakhstan,2020-03-22,56.0,3.0,0.0,0.0,2.982,0.16,0.0,0.0,1233.0,6508.0,0.347,0.066,837.0,0.045,0.009000000000000001,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-22,Kazakhstan,KAZ,"Mar 22, 2020",3,2020-03-22
KAZ,Asia,Kazakhstan,2020-03-23,60.0,4.0,0.0,0.0,3.195,0.213,0.0,0.0,1754.0,8262.0,0.44,0.093,1032.0,0.055,0.006999999999999999,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-23,Kazakhstan,KAZ,"Mar 23, 2020",3,2020-03-23
KAZ,Asia,Kazakhstan,2020-03-24,62.0,2.0,0.0,0.0,3.302,0.107,0.0,0.0,1622.0,9884.0,0.526,0.086,1131.0,0.06,0.006,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-24,Kazakhstan,KAZ,"Mar 24, 2020",3,2020-03-24
KAZ,Asia,Kazakhstan,2020-03-25,79.0,17.0,0.0,0.0,4.207,0.905,0.0,0.0,1465.0,11349.0,0.604,0.078,1302.0,0.069,0.005,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-25,Kazakhstan,KAZ,"Mar 25, 2020",3,2020-03-25
KAZ,Asia,Kazakhstan,2020-03-26,88.0,9.0,0.0,0.0,4.687,0.479,0.0,0.0,2111.0,13460.0,0.717,0.112,1454.0,0.077,0.005,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-26,Kazakhstan,KAZ,"Mar 26, 2020",3,2020-03-26
KAZ,Asia,Kazakhstan,2020-03-27,120.0,32.0,0.0,0.0,6.391,1.704,0.0,0.0,1687.0,15147.0,0.807,0.09,1578.0,0.084,0.006,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-27,Kazakhstan,KAZ,"Mar 27, 2020",3,2020-03-27
KAZ,Asia,Kazakhstan,2020-03-28,193.0,73.0,0.0,0.0,10.279,3.888,0.0,0.0,1475.0,16622.0,0.885,0.079,1621.0,0.086,0.012,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-28,Kazakhstan,KAZ,"Mar 28, 2020",3,2020-03-28
KAZ,Asia,Kazakhstan,2020-03-29,229.0,36.0,0.0,0.0,12.196,1.917,0.0,0.0,2696.0,19318.0,1.029,0.144,1830.0,0.097,0.013999999999999999,tests performed,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-29,Kazakhstan,KAZ,"Mar 29, 2020",3,2020-03-29
KAZ,Asia,Kazakhstan,2020-03-30,284.0,55.0,1.0,1.0,15.125,2.929,0.053,0.053,1695.0,21013.0,1.119,0.09,1822.0,0.097,0.018000000000000002,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-30,Kazakhstan,KAZ,"Mar 30, 2020",3,2020-03-30
KAZ,Asia,Kazakhstan,2020-03-31,325.0,41.0,1.0,0.0,17.309,2.184,0.053,0.0,9892.0,30905.0,1.646,0.527,3003.0,0.16,0.013000000000000001,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-03-31,Kazakhstan,KAZ,"Mar 31, 2020",3,2020-03-31
KAZ,Asia,Kazakhstan,2020-04-01,340.0,15.0,1.0,0.0,18.108,0.799,0.053,0.0,1914.0,32819.0,1.748,0.102,3067.0,0.163,0.012,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-01,Kazakhstan,KAZ,"Apr 1, 2020",3,2020-04-01
KAZ,Asia,Kazakhstan,2020-04-02,348.0,8.0,2.0,1.0,18.534,0.426,0.107,0.053,2372.0,35191.0,1.874,0.126,3104.0,0.165,0.012,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-02,Kazakhstan,KAZ,"Apr 2, 2020",3,2020-04-02
KAZ,Asia,Kazakhstan,2020-04-03,386.0,38.0,3.0,1.0,20.557,2.024,0.16,0.053,7958.0,43149.0,2.298,0.424,4000.0,0.213,0.01,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-03,Kazakhstan,KAZ,"Apr 3, 2020",3,2020-04-03
KAZ,Asia,Kazakhstan,2020-04-04,460.0,74.0,3.0,0.0,24.498,3.941,0.16,0.0,2403.0,45552.0,2.426,0.128,4133.0,0.22,0.009000000000000001,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-04,Kazakhstan,KAZ,"Apr 4, 2020",3,2020-04-04
KAZ,Asia,Kazakhstan,2020-04-05,460.0,0.0,3.0,0.0,24.498,0.0,0.16,0.0,4970.0,50522.0,2.691,0.265,4458.0,0.237,0.006999999999999999,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-05,Kazakhstan,KAZ,"Apr 5, 2020",3,2020-04-05
KAZ,Asia,Kazakhstan,2020-04-06,531.0,71.0,5.0,2.0,28.28,3.781,0.266,0.107,2359.0,52881.0,2.816,0.126,4553.0,0.242,0.008,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-06,Kazakhstan,KAZ,"Apr 6, 2020",3,2020-04-06
KAZ,Asia,Kazakhstan,2020-04-07,670.0,139.0,6.0,1.0,35.683,7.403,0.32,0.053,1886.0,54767.0,2.917,0.1,3409.0,0.182,0.013999999999999999,tests performed,89.35,18776707.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,2020-04-07,Kazakhstan,KAZ,"Apr 7, 2020",3,2020-04-07
