iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
KEN,Africa,Kenya,2020-03-29,38.0,7.0,1.0,0.0,0.707,0.13,0.019,0.0,69.0,902.0,0.017,0.001,78.0,0.001,0.057,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-03-29,Kenya,KEN,"Mar 29, 2020",2,2020-03-29
KEN,Africa,Kenya,2020-03-30,42.0,4.0,1.0,0.0,0.781,0.074,0.019,0.0,172.0,1074.0,0.02,0.003,94.0,0.002,0.040999999999999995,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-03-30,Kenya,KEN,"Mar 30, 2020",2,2020-03-30
KEN,Africa,Kenya,2020-03-31,50.0,8.0,1.0,0.0,0.93,0.149,0.019,0.0,234.0,1308.0,0.024,0.004,119.0,0.002,0.040999999999999995,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-03-31,Kenya,KEN,"Mar 31, 2020",2,2020-03-31
KEN,Africa,Kenya,2020-04-01,59.0,9.0,1.0,0.0,1.097,0.167,0.019,0.0,380.0,1688.0,0.031,0.007,164.0,0.003,0.03,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-01,Kenya,KEN,"Apr 1, 2020",2,2020-04-01
KEN,Africa,Kenya,2020-04-02,81.0,22.0,1.0,0.0,1.506,0.409,0.019,0.0,662.0,2350.0,0.044,0.012,250.0,0.005,0.032,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-02,Kenya,KEN,"Apr 2, 2020",2,2020-04-02
KEN,Africa,Kenya,2020-04-03,110.0,29.0,3.0,2.0,2.046,0.539,0.056,0.037,362.0,2712.0,0.05,0.007,285.0,0.005,0.04,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-03,Kenya,KEN,"Apr 3, 2020",2,2020-04-03
KEN,Africa,Kenya,2020-04-04,122.0,12.0,4.0,1.0,2.269,0.223,0.074,0.019,372.0,3084.0,0.057,0.007,322.0,0.006,0.04,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-04,Kenya,KEN,"Apr 4, 2020",2,2020-04-04
KEN,Africa,Kenya,2020-04-05,126.0,4.0,4.0,0.0,2.343,0.074,0.074,0.0,530.0,3614.0,0.067,0.01,387.0,0.007,0.032,units unclear,87.04,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-05,Kenya,KEN,"Apr 5, 2020",2,2020-04-05
KEN,Africa,Kenya,2020-04-06,142.0,16.0,4.0,0.0,2.641,0.298,0.074,0.0,663.0,4277.0,0.08,0.012,458.0,0.009,0.031,units unclear,91.67,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-06,Kenya,KEN,"Apr 6, 2020",3,2020-04-06
KEN,Africa,Kenya,2020-04-07,158.0,16.0,4.0,0.0,2.938,0.298,0.074,0.0,696.0,4973.0,0.092,0.013,524.0,0.01,0.028999999999999998,units unclear,91.67,53771300.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,2020-04-07,Kenya,KEN,"Apr 7, 2020",3,2020-04-07
