iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
KWT,Asia,Kuwait,2020-05-20,16764.0,1073.0,121.0,3.0,3925.478,251.255,28.334,0.702,3618.0,256314.0,60.019,0.847,4188.0,0.981,0.221,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-20,Kuwait,KWT,"May 20, 2020",3,2020-05-20
KWT,Asia,Kuwait,2020-05-21,17568.0,804.0,124.0,3.0,4113.743,188.266,29.036,0.702,4757.0,261071.0,61.133,1.114,4163.0,0.975,0.22399999999999998,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-21,Kuwait,KWT,"May 21, 2020",3,2020-05-21
KWT,Asia,Kuwait,2020-05-22,18609.0,1041.0,129.0,5.0,4357.505,243.762,30.207,1.171,3888.0,264959.0,62.043,0.91,4136.0,0.968,0.22899999999999998,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-22,Kuwait,KWT,"May 22, 2020",3,2020-05-22
KWT,Asia,Kuwait,2020-05-23,19564.0,955.0,138.0,9.0,4581.129,223.624,32.314,2.107,3195.0,268154.0,62.791,0.748,3920.0,0.918,0.244,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-23,Kuwait,KWT,"May 23, 2020",3,2020-05-23
KWT,Asia,Kuwait,2020-05-24,20464.0,900.0,148.0,10.0,4791.874,210.745,34.656,2.342,2935.0,271089.0,63.479,0.687,3802.0,0.89,0.25,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-24,Kuwait,KWT,"May 24, 2020",3,2020-05-24
KWT,Asia,Kuwait,2020-05-25,21302.0,838.0,156.0,8.0,4988.101,196.227,36.529,1.873,2723.0,273812.0,64.116,0.638,3643.0,0.853,0.253,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-25,Kuwait,KWT,"May 25, 2020",3,2020-05-25
KWT,Asia,Kuwait,2020-05-26,21967.0,665.0,165.0,9.0,5143.818,155.717,38.637,2.107,2395.0,276207.0,64.677,0.561,3359.0,0.787,0.267,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-26,Kuwait,KWT,"May 26, 2020",3,2020-05-26
KWT,Asia,Kuwait,2020-05-27,22575.0,608.0,172.0,7.0,5286.188,142.37,40.276,1.639,2738.0,278945.0,65.318,0.641,3233.0,0.757,0.257,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-27,Kuwait,KWT,"May 27, 2020",3,2020-05-27
KWT,Asia,Kuwait,2020-05-28,23267.0,692.0,175.0,3.0,5448.228,162.04,40.978,0.702,3396.0,282341.0,66.113,0.795,3039.0,0.712,0.268,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-28,Kuwait,KWT,"May 28, 2020",3,2020-05-28
KWT,Asia,Kuwait,2020-05-29,24112.0,845.0,185.0,10.0,5646.094,197.866,43.32,2.342,4011.0,286352.0,67.053,0.939,3056.0,0.716,0.257,tests performed,100.0,4270563.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,75.49,2020-05-29,Kuwait,KWT,"May 29, 2020",3,2020-05-29
