iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
LVA,Europe,Latvia,2020-03-10,6.0,3.0,0.0,0.0,3.181,1.59,0.0,0.0,59.0,450.0,0.239,0.031,35.0,0.019,0.02,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-10,Latvia,LVA,"Mar 10, 2020",0,2020-03-10
LVA,Europe,Latvia,2020-03-11,8.0,2.0,0.0,0.0,4.241,1.06,0.0,0.0,47.0,497.0,0.263,0.025,37.0,0.02,0.027000000000000003,tests performed,11.11,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-11,Latvia,LVA,"Mar 11, 2020",0,2020-03-11
LVA,Europe,Latvia,2020-03-12,10.0,2.0,0.0,0.0,5.302,1.06,0.0,0.0,79.0,576.0,0.305,0.042,43.0,0.023,0.03,tests performed,11.11,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-12,Latvia,LVA,"Mar 12, 2020",0,2020-03-12
LVA,Europe,Latvia,2020-03-13,16.0,6.0,0.0,0.0,8.483,3.181,0.0,0.0,127.0,703.0,0.373,0.067,57.0,0.03,0.038,tests performed,48.15,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-13,Latvia,LVA,"Mar 13, 2020",1,2020-03-13
LVA,Europe,Latvia,2020-03-14,19.0,3.0,0.0,0.0,10.073,1.59,0.0,0.0,316.0,1019.0,0.54,0.168,100.0,0.053,0.026000000000000002,tests performed,50.93,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-14,Latvia,LVA,"Mar 14, 2020",1,2020-03-14
LVA,Europe,Latvia,2020-03-15,26.0,7.0,0.0,0.0,13.784,3.711,0.0,0.0,334.0,1353.0,0.717,0.177,144.0,0.076,0.024,tests performed,50.93,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-15,Latvia,LVA,"Mar 15, 2020",1,2020-03-15
LVA,Europe,Latvia,2020-03-16,31.0,5.0,0.0,0.0,16.435,2.651,0.0,0.0,351.0,1704.0,0.903,0.186,188.0,0.1,0.021,tests performed,50.93,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-16,Latvia,LVA,"Mar 16, 2020",1,2020-03-16
LVA,Europe,Latvia,2020-03-17,36.0,5.0,0.0,0.0,19.086,2.651,0.0,0.0,495.0,2199.0,1.166,0.262,250.0,0.133,0.017,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-17,Latvia,LVA,"Mar 17, 2020",1,2020-03-17
LVA,Europe,Latvia,2020-03-18,61.0,25.0,0.0,0.0,32.34,13.254,0.0,0.0,755.0,2954.0,1.566,0.4,351.0,0.186,0.022000000000000002,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-18,Latvia,LVA,"Mar 18, 2020",1,2020-03-18
LVA,Europe,Latvia,2020-03-19,71.0,10.0,0.0,0.0,37.642,5.302,0.0,0.0,720.0,3674.0,1.948,0.382,443.0,0.235,0.02,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-19,Latvia,LVA,"Mar 19, 2020",1,2020-03-19
LVA,Europe,Latvia,2020-03-20,86.0,15.0,0.0,0.0,45.594,7.952,0.0,0.0,699.0,4373.0,2.318,0.371,524.0,0.278,0.019,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-20,Latvia,LVA,"Mar 20, 2020",1,2020-03-20
LVA,Europe,Latvia,2020-03-21,111.0,25.0,0.0,0.0,58.848,13.254,0.0,0.0,1389.0,5762.0,3.055,0.736,678.0,0.359,0.019,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-21,Latvia,LVA,"Mar 21, 2020",1,2020-03-21
LVA,Europe,Latvia,2020-03-22,124.0,13.0,0.0,0.0,65.741,6.892,0.0,0.0,811.0,6573.0,3.485,0.43,746.0,0.396,0.019,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-22,Latvia,LVA,"Mar 22, 2020",1,2020-03-22
LVA,Europe,Latvia,2020-03-23,139.0,15.0,0.0,0.0,73.693,7.952,0.0,0.0,1185.0,7758.0,4.113,0.628,865.0,0.459,0.018000000000000002,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-23,Latvia,LVA,"Mar 23, 2020",1,2020-03-23
LVA,Europe,Latvia,2020-03-24,180.0,41.0,0.0,0.0,95.43,21.737,0.0,0.0,887.0,8645.0,4.583,0.47,921.0,0.488,0.022000000000000002,tests performed,60.19,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-24,Latvia,LVA,"Mar 24, 2020",1,2020-03-24
LVA,Europe,Latvia,2020-03-25,197.0,17.0,0.0,0.0,104.443,9.013,0.0,0.0,1151.0,9796.0,5.194,0.61,977.0,0.518,0.02,tests performed,60.19,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,2020-03-25,Latvia,LVA,"Mar 25, 2020",1,2020-03-25
