iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
LTU,Europe,Lithuania,2020-03-17,17.0,3.0,0.0,0.0,6.245,1.102,0.0,0.0,118.0,742.0,0.273,0.043,60.0,0.022,0.038,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-03-17,Lithuania,LTU,"Mar 17, 2020",1,2020-03-17
LTU,Europe,Lithuania,2020-03-18,25.0,8.0,0.0,0.0,9.183,2.939,0.0,0.0,193.0,935.0,0.343,0.071,86.0,0.032,0.037000000000000005,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-03-18,Lithuania,LTU,"Mar 18, 2020",1,2020-03-18
LTU,Europe,Lithuania,2020-03-28,358.0,59.0,5.0,1.0,131.507,21.673,1.837,0.367,1405.0,6900.0,2.535,0.516,729.0,0.268,0.057,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-03-28,Lithuania,LTU,"Mar 28, 2020",1,2020-03-28
LTU,Europe,Lithuania,2020-03-29,394.0,36.0,7.0,2.0,144.731,13.224,2.571,0.735,1524.0,8424.0,3.094,0.56,905.0,0.332,0.046,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-03-29,Lithuania,LTU,"Mar 29, 2020",1,2020-03-29
LTU,Europe,Lithuania,2020-03-30,484.0,90.0,7.0,0.0,177.791,33.06,2.571,0.0,1467.0,9891.0,3.633,0.539,1049.0,0.385,0.046,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-03-30,Lithuania,LTU,"Mar 30, 2020",1,2020-03-30
LTU,Europe,Lithuania,2020-04-02,581.0,48.0,8.0,1.0,213.423,17.632,2.939,0.367,3049.0,15623.0,5.739,1.12,1591.0,0.584,0.027999999999999997,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-02,Lithuania,LTU,"Apr 2, 2020",1,2020-04-02
LTU,Europe,Lithuania,2020-04-03,649.0,68.0,9.0,1.0,238.402,24.979,3.306,0.367,2809.0,18432.0,6.771,1.032,1848.0,0.679,0.027000000000000003,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-03,Lithuania,LTU,"Apr 3, 2020",1,2020-04-03
LTU,Europe,Lithuania,2020-04-04,771.0,122.0,9.0,0.0,283.217,44.815,3.306,0.0,2944.0,21376.0,7.852,1.081,2068.0,0.76,0.028999999999999998,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-04,Lithuania,LTU,"Apr 4, 2020",1,2020-04-04
LTU,Europe,Lithuania,2020-04-05,771.0,0.0,9.0,0.0,283.217,0.0,3.306,0.0,2269.0,23645.0,8.686,0.833,2174.0,0.799,0.025,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-05,Lithuania,LTU,"Apr 5, 2020",1,2020-04-05
LTU,Europe,Lithuania,2020-04-06,811.0,40.0,13.0,4.0,297.911,14.694,4.775,1.469,1954.0,25599.0,9.403,0.718,2244.0,0.824,0.021,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-06,Lithuania,LTU,"Apr 6, 2020",1,2020-04-06
LTU,Europe,Lithuania,2020-04-07,843.0,32.0,14.0,1.0,309.666,11.755,5.143,0.367,2208.0,27807.0,10.215,0.811,2368.0,0.87,0.022000000000000002,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-07,Lithuania,LTU,"Apr 7, 2020",1,2020-04-07
LTU,Europe,Lithuania,2020-04-10,955.0,43.0,15.0,0.0,350.807,15.796,5.51,0.0,3242.0,36051.0,13.243,1.191,2517.0,0.925,0.017,samples tested,87.04,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-10,Lithuania,LTU,"Apr 10, 2020",1,2020-04-10
LTU,Europe,Lithuania,2020-04-11,999.0,44.0,17.0,2.0,366.97,16.163,6.245,0.735,2421.0,38472.0,14.132,0.889,2442.0,0.897,0.013000000000000001,samples tested,87.04,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-11,Lithuania,LTU,"Apr 11, 2020",1,2020-04-11
LTU,Europe,Lithuania,2020-04-14,1070.0,8.0,24.0,0.0,393.051,2.939,8.816,0.0,1187.0,42690.0,15.682,0.436,2126.0,0.781,0.015,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-14,Lithuania,LTU,"Apr 14, 2020",1,2020-04-14
LTU,Europe,Lithuania,2020-04-15,1070.0,0.0,24.0,0.0,393.051,0.0,8.816,0.0,1987.0,44677.0,16.412,0.73,2053.0,0.754,0.013000000000000001,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-15,Lithuania,LTU,"Apr 15, 2020",1,2020-04-15
LTU,Europe,Lithuania,2020-04-16,1091.0,21.0,29.0,5.0,400.765,7.714,10.653,1.837,3860.0,48537.0,17.829,1.418,2247.0,0.825,0.011000000000000001,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-16,Lithuania,LTU,"Apr 16, 2020",1,2020-04-16
LTU,Europe,Lithuania,2020-04-17,1149.0,58.0,32.0,3.0,422.071,21.306,11.755,1.102,4564.0,53101.0,19.506,1.677,2436.0,0.895,0.011000000000000001,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-17,Lithuania,LTU,"Apr 17, 2020",1,2020-04-17
LTU,Europe,Lithuania,2020-04-18,1239.0,90.0,33.0,1.0,455.131,33.06,12.122,0.367,5715.0,58816.0,21.605,2.099,2906.0,1.067,0.012,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-18,Lithuania,LTU,"Apr 18, 2020",1,2020-04-18
LTU,Europe,Lithuania,2020-04-19,1298.0,59.0,33.0,0.0,476.804,21.673,12.122,0.0,5219.0,64035.0,23.522,1.917,3435.0,1.262,0.01,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-19,Lithuania,LTU,"Apr 19, 2020",1,2020-04-19
LTU,Europe,Lithuania,2020-04-20,1326.0,28.0,36.0,3.0,487.09,10.285,13.224,1.102,2317.0,66352.0,24.374,0.851,3550.0,1.304,0.011000000000000001,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-20,Lithuania,LTU,"Apr 20, 2020",1,2020-04-20
LTU,Europe,Lithuania,2020-04-21,1350.0,24.0,37.0,1.0,495.906,8.816,13.591,0.367,4401.0,70753.0,25.99,1.617,4009.0,1.473,0.01,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-21,Lithuania,LTU,"Apr 21, 2020",1,2020-04-21
LTU,Europe,Lithuania,2020-04-22,1370.0,20.0,38.0,1.0,503.253,7.347,13.959,0.367,6040.0,76793.0,28.209,2.219,4588.0,1.685,0.009000000000000001,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-22,Lithuania,LTU,"Apr 22, 2020",1,2020-04-22
LTU,Europe,Lithuania,2020-04-23,1398.0,28.0,38.0,0.0,513.538,10.285,13.959,0.0,6798.0,83591.0,30.706,2.497,5008.0,1.84,0.009000000000000001,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-23,Lithuania,LTU,"Apr 23, 2020",1,2020-04-23
LTU,Europe,Lithuania,2020-04-24,1410.0,12.0,40.0,2.0,517.946,4.408,14.694,0.735,7401.0,90992.0,33.425,2.719,5413.0,1.988,0.006999999999999999,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-24,Lithuania,LTU,"Apr 24, 2020",1,2020-04-24
LTU,Europe,Lithuania,2020-04-25,1410.0,0.0,40.0,0.0,517.946,0.0,14.694,0.0,7956.0,98948.0,36.347,2.923,5733.0,2.106,0.004,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-25,Lithuania,LTU,"Apr 25, 2020",1,2020-04-25
LTU,Europe,Lithuania,2020-04-26,1426.0,16.0,41.0,1.0,523.824,5.877,15.061,0.367,5540.0,104488.0,38.382,2.035,5779.0,2.123,0.003,samples tested,81.48,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-26,Lithuania,LTU,"Apr 26, 2020",1,2020-04-26
LTU,Europe,Lithuania,2020-04-27,1438.0,12.0,41.0,0.0,528.232,4.408,15.061,0.0,2287.0,106775.0,39.222,0.84,5775.0,2.121,0.003,samples tested,77.78,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-27,Lithuania,LTU,"Apr 27, 2020",1,2020-04-27
LTU,Europe,Lithuania,2020-04-28,1449.0,11.0,41.0,0.0,532.272,4.041,15.061,0.0,5034.0,111809.0,41.072,1.849,5865.0,2.154,0.002,samples tested,77.78,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-04-28,Lithuania,LTU,"Apr 28, 2020",1,2020-04-28
LTU,Europe,Lithuania,2020-05-06,1423.0,4.0,46.0,0.0,522.721,1.469,16.898,0.0,7387.0,156493.0,57.486,2.714,5470.0,2.009,0.002,samples tested,77.78,2722291.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,75.93,2020-05-06,Lithuania,LTU,"May 6, 2020",1,2020-05-06
