iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
LUX,Europe,Luxembourg,2020-03-07,3.0,2.0,0.0,0.0,4.793,3.195,0.0,0.0,6.0,52.0,0.083,0.01,5.0,0.008,0.086,people tested,11.11,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-07,Luxembourg,LUX,"Mar 7, 2020",0,2020-03-07
LUX,Europe,Luxembourg,2020-03-11,7.0,2.0,0.0,0.0,11.183,3.195,0.0,0.0,51.0,144.0,0.23,0.081,16.0,0.026,0.054000000000000006,people tested,22.22,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-11,Luxembourg,LUX,"Mar 11, 2020",0,2020-03-11
LUX,Europe,Luxembourg,2020-03-12,7.0,0.0,0.0,0.0,11.183,0.0,0.0,0.0,199.0,343.0,0.548,0.318,44.0,0.07,0.019,people tested,31.48,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-12,Luxembourg,LUX,"Mar 12, 2020",0,2020-03-12
LUX,Europe,Luxembourg,2020-03-13,26.0,19.0,0.0,0.0,41.535,30.353,0.0,0.0,204.0,547.0,0.874,0.326,72.0,0.115,0.05,people tested,42.59,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-13,Luxembourg,LUX,"Mar 13, 2020",0,2020-03-13
LUX,Europe,Luxembourg,2020-03-14,38.0,12.0,1.0,1.0,60.705,19.17,1.598,1.598,106.0,653.0,1.043,0.169,86.0,0.137,0.057999999999999996,people tested,42.59,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-14,Luxembourg,LUX,"Mar 14, 2020",0,2020-03-14
LUX,Europe,Luxembourg,2020-03-16,77.0,39.0,1.0,0.0,123.008,62.303,1.598,0.0,420.0,1097.0,1.752,0.671,147.0,0.235,0.07,people tested,72.22,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-16,Luxembourg,LUX,"Mar 16, 2020",0,2020-03-16
LUX,Europe,Luxembourg,2020-03-17,81.0,4.0,1.0,0.0,129.398,6.39,1.598,0.0,650.0,1747.0,2.791,1.038,236.0,0.377,0.046,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-17,Luxembourg,LUX,"Mar 17, 2020",2,2020-03-17
LUX,Europe,Luxembourg,2020-03-18,140.0,59.0,1.0,0.0,223.651,94.253,1.598,0.0,951.0,2698.0,4.31,1.519,365.0,0.583,0.052000000000000005,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-18,Luxembourg,LUX,"Mar 18, 2020",2,2020-03-18
LUX,Europe,Luxembourg,2020-03-19,210.0,70.0,2.0,1.0,335.476,111.825,3.195,1.598,971.0,3669.0,5.861,1.551,475.0,0.759,0.061,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-19,Luxembourg,LUX,"Mar 19, 2020",2,2020-03-19
LUX,Europe,Luxembourg,2020-03-20,345.0,135.0,4.0,2.0,551.139,215.663,6.39,3.195,1108.0,4777.0,7.631,1.77,604.0,0.965,0.075,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-20,Luxembourg,LUX,"Mar 20, 2020",2,2020-03-20
LUX,Europe,Luxembourg,2020-03-21,484.0,139.0,5.0,1.0,773.193,222.053,7.988,1.598,482.0,5259.0,8.401,0.77,658.0,1.051,0.09699999999999999,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-21,Luxembourg,LUX,"Mar 21, 2020",2,2020-03-21
LUX,Europe,Luxembourg,2020-03-22,670.0,186.0,8.0,3.0,1070.329,297.136,12.78,4.793,21.0,5280.0,8.435,0.034,658.0,1.051,0.13699999999999998,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-22,Luxembourg,LUX,"Mar 22, 2020",2,2020-03-22
LUX,Europe,Luxembourg,2020-03-23,798.0,128.0,8.0,0.0,1274.809,204.481,12.78,0.0,1197.0,6477.0,10.347,1.912,769.0,1.228,0.134,people tested,79.63,625976.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,2020-03-23,Luxembourg,LUX,"Mar 23, 2020",2,2020-03-23
