iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
MYS,Asia,Malaysia,2020-02-21,22.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,88.0,968.0,0.03,0.003,45.0,0.001,0.01,people tested,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-02-21,Malaysia,MYS,"Feb 21, 2020",0,2020-02-21
MYS,Asia,Malaysia,2020-02-24,22.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,26.0,1054.0,0.033,0.001,42.0,0.001,0.0,people tested,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-02-24,Malaysia,MYS,"Feb 24, 2020",0,2020-02-24
MYS,Asia,Malaysia,2020-02-25,22.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,13.0,1067.0,0.033,0.0,39.0,0.001,0.0,people tested,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-02-25,Malaysia,MYS,"Feb 25, 2020",0,2020-02-25
MYS,Asia,Malaysia,2020-02-26,22.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,24.0,1091.0,0.034,0.001,36.0,0.001,0.0,people tested,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-02-26,Malaysia,MYS,"Feb 26, 2020",0,2020-02-26
MYS,Asia,Malaysia,2020-02-27,22.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,454.0,1545.0,0.048,0.014,95.0,0.003,0.0,people tested,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-02-27,Malaysia,MYS,"Feb 27, 2020",0,2020-02-27
MYS,Asia,Malaysia,2020-02-28,23.0,1.0,0.0,0.0,0.711,0.031,0.0,0.0,3.0,1548.0,0.048,0.0,83.0,0.003,0.002,people tested,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-02-28,Malaysia,MYS,"Feb 28, 2020",0,2020-02-28
MYS,Asia,Malaysia,2020-03-12,149.0,20.0,0.0,0.0,4.604,0.618,0.0,0.0,118.0,3691.0,0.114,0.004,224.0,0.007,0.063,people tested,27.78,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-12,Malaysia,MYS,"Mar 12, 2020",0,2020-03-12
MYS,Asia,Malaysia,2020-03-20,900.0,110.0,2.0,0.0,27.807,3.399,0.062,0.0,1270.0,10143.0,0.313,0.039,835.0,0.026,0.127,people tested,73.15,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-20,Malaysia,MYS,"Mar 20, 2020",1,2020-03-20
MYS,Asia,Malaysia,2020-03-23,1306.0,123.0,10.0,6.0,40.351,3.8,0.309,0.185,1835.0,13110.0,0.405,0.057,988.0,0.031,0.127,people tested,73.15,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-23,Malaysia,MYS,"Mar 23, 2020",1,2020-03-23
MYS,Asia,Malaysia,2020-03-24,1518.0,212.0,14.0,4.0,46.901,6.55,0.433,0.124,484.0,13594.0,0.42,0.015,965.0,0.03,0.14300000000000002,people tested,73.15,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-24,Malaysia,MYS,"Mar 24, 2020",1,2020-03-24
MYS,Asia,Malaysia,2020-03-25,1624.0,106.0,15.0,1.0,50.176,3.275,0.463,0.031,2226.0,15820.0,0.489,0.069,1138.0,0.035,0.11900000000000001,people tested,73.15,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-25,Malaysia,MYS,"Mar 25, 2020",1,2020-03-25
MYS,Asia,Malaysia,2020-03-26,1796.0,172.0,19.0,4.0,55.49,5.314,0.587,0.124,1163.0,16983.0,0.525,0.036,1159.0,0.036,0.124,people tested,73.15,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-26,Malaysia,MYS,"Mar 26, 2020",1,2020-03-26
MYS,Asia,Malaysia,2020-03-27,2031.0,235.0,23.0,4.0,62.751,7.261,0.711,0.124,7185.0,24168.0,0.747,0.222,2004.0,0.062,0.081,people tested,73.15,32365998.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,2020-03-27,Malaysia,MYS,"Mar 27, 2020",1,2020-03-27
