iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
MEX,North America,Mexico,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,130.0,0.001,0.0,18.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-08,Mexico,MEX,"Jan 8, 2020",0,2020-01-08
MEX,North America,Mexico,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,174.0,0.001,0.0,22.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-09,Mexico,MEX,"Jan 9, 2020",0,2020-01-09
MEX,North America,Mexico,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,213.0,0.002,0.0,25.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-10,Mexico,MEX,"Jan 10, 2020",0,2020-01-10
MEX,North America,Mexico,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,218.0,0.002,0.0,25.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-11,Mexico,MEX,"Jan 11, 2020",0,2020-01-11
MEX,North America,Mexico,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,238.0,0.002,0.0,26.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-12,Mexico,MEX,"Jan 12, 2020",0,2020-01-12
MEX,North America,Mexico,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,275.0,0.002,0.0,27.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-13,Mexico,MEX,"Jan 13, 2020",0,2020-01-13
MEX,North America,Mexico,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,326.0,0.003,0.0,30.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-14,Mexico,MEX,"Jan 14, 2020",0,2020-01-14
MEX,North America,Mexico,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,385.0,0.003,0.0,36.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-15,Mexico,MEX,"Jan 15, 2020",0,2020-01-15
MEX,North America,Mexico,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,427.0,0.003,0.0,36.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-16,Mexico,MEX,"Jan 16, 2020",0,2020-01-16
MEX,North America,Mexico,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,469.0,0.004,0.0,37.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-17,Mexico,MEX,"Jan 17, 2020",0,2020-01-17
MEX,North America,Mexico,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,485.0,0.004,0.0,38.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-18,Mexico,MEX,"Jan 18, 2020",0,2020-01-18
MEX,North America,Mexico,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,506.0,0.004,0.0,38.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-19,Mexico,MEX,"Jan 19, 2020",0,2020-01-19
MEX,North America,Mexico,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,571.0,0.004,0.001,42.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-20,Mexico,MEX,"Jan 20, 2020",0,2020-01-20
MEX,North America,Mexico,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,623.0,0.005,0.0,42.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-21,Mexico,MEX,"Jan 21, 2020",0,2020-01-21
MEX,North America,Mexico,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,679.0,0.005,0.0,42.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-22,Mexico,MEX,"Jan 22, 2020",0,2020-01-22
MEX,North America,Mexico,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,725.0,0.006,0.0,43.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-23,Mexico,MEX,"Jan 23, 2020",0,2020-01-23
MEX,North America,Mexico,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,771.0,0.006,0.0,43.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-24,Mexico,MEX,"Jan 24, 2020",0,2020-01-24
MEX,North America,Mexico,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,786.0,0.006,0.0,43.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-25,Mexico,MEX,"Jan 25, 2020",0,2020-01-25
MEX,North America,Mexico,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,820.0,0.006,0.0,45.0,0.0,0.0,people tested,0.0,128932753.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,75.05,2020-01-26,Mexico,MEX,"Jan 26, 2020",0,2020-01-26
