iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
MMR,Asia,Myanmar,2020-04-10,27.0,5.0,3.0,0.0,0.496,0.092,0.055,0.0,76.0,1619.0,0.03,0.001,62.0,0.001,0.016,samples tested,79.63,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-10,Myanmar,MMR,"Apr 10, 2020",1,2020-04-10
MMR,Asia,Myanmar,2020-04-11,28.0,1.0,3.0,0.0,0.515,0.018,0.055,0.0,230.0,1849.0,0.034,0.004,86.0,0.002,0.013000000000000001,samples tested,79.63,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-11,Myanmar,MMR,"Apr 11, 2020",1,2020-04-11
MMR,Asia,Myanmar,2020-04-12,31.0,3.0,3.0,0.0,0.57,0.055,0.055,0.0,285.0,2134.0,0.039,0.005,120.0,0.002,0.012,samples tested,81.48,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-12,Myanmar,MMR,"Apr 12, 2020",1,2020-04-12
MMR,Asia,Myanmar,2020-04-13,41.0,10.0,4.0,1.0,0.754,0.184,0.074,0.018,309.0,2443.0,0.045,0.006,158.0,0.003,0.018000000000000002,samples tested,81.48,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-13,Myanmar,MMR,"Apr 13, 2020",1,2020-04-13
MMR,Asia,Myanmar,2020-04-14,62.0,21.0,4.0,0.0,1.14,0.386,0.074,0.0,360.0,2803.0,0.052,0.007,204.0,0.004,0.027999999999999997,samples tested,83.33,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-14,Myanmar,MMR,"Apr 14, 2020",2,2020-04-14
MMR,Asia,Myanmar,2020-04-15,74.0,12.0,4.0,0.0,1.36,0.221,0.074,0.0,433.0,3236.0,0.059,0.008,261.0,0.005,0.027999999999999997,samples tested,83.33,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-15,Myanmar,MMR,"Apr 15, 2020",2,2020-04-15
MMR,Asia,Myanmar,2020-04-18,94.0,9.0,5.0,1.0,1.728,0.165,0.092,0.018,267.0,4147.0,0.076,0.005,328.0,0.006,0.028999999999999998,samples tested,86.11,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-18,Myanmar,MMR,"Apr 18, 2020",2,2020-04-18
MMR,Asia,Myanmar,2020-04-19,107.0,13.0,5.0,0.0,1.967,0.239,0.092,0.0,370.0,4517.0,0.083,0.007,340.0,0.006,0.032,samples tested,86.11,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-19,Myanmar,MMR,"Apr 19, 2020",2,2020-04-19
MMR,Asia,Myanmar,2020-04-20,111.0,4.0,5.0,0.0,2.04,0.074,0.092,0.0,402.0,4919.0,0.09,0.007,354.0,0.007,0.027999999999999997,samples tested,86.11,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-20,Myanmar,MMR,"Apr 20, 2020",2,2020-04-20
MMR,Asia,Myanmar,2020-04-21,119.0,8.0,5.0,0.0,2.187,0.147,0.092,0.0,276.0,5195.0,0.095,0.005,342.0,0.006,0.024,samples tested,86.11,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,2020-04-21,Myanmar,MMR,"Apr 21, 2020",2,2020-04-21
