iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
NPL,Asia,Nepal,2020-02-13,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,4.0,24.0,0.001,0.0,1.0,0.0,0.0,tests performed,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-02-13,Nepal,NPL,"Feb 13, 2020",0,2020-02-13
NPL,Asia,Nepal,2020-02-19,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,175.0,210.0,0.007,0.006,27.0,0.001,0.0,tests performed,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-02-19,Nepal,NPL,"Feb 19, 2020",0,2020-02-19
NPL,Asia,Nepal,2020-02-20,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,2.0,212.0,0.007,0.0,27.0,0.001,0.0,tests performed,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-02-20,Nepal,NPL,"Feb 20, 2020",0,2020-02-20
NPL,Asia,Nepal,2020-02-24,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,1.0,217.0,0.007,0.0,26.0,0.001,0.0,tests performed,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-02-24,Nepal,NPL,"Feb 24, 2020",0,2020-02-24
NPL,Asia,Nepal,2020-02-25,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,4.0,221.0,0.008,0.0,27.0,0.001,0.0,tests performed,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-02-25,Nepal,NPL,"Feb 25, 2020",0,2020-02-25
NPL,Asia,Nepal,2020-02-26,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,1.0,222.0,0.008,0.0,2.0,0.0,0.0,tests performed,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-02-26,Nepal,NPL,"Feb 26, 2020",0,2020-02-26
NPL,Asia,Nepal,2020-03-02,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,182.0,425.0,0.015,0.006,30.0,0.001,0.0,tests performed,22.22,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-02,Nepal,NPL,"Mar 2, 2020",0,2020-03-02
NPL,Asia,Nepal,2020-03-17,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,18.0,496.0,0.017,0.001,7.0,0.0,0.0,tests performed,22.22,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-17,Nepal,NPL,"Mar 17, 2020",0,2020-03-17
NPL,Asia,Nepal,2020-03-18,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,16.0,512.0,0.018,0.001,9.0,0.0,0.0,tests performed,36.11,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-18,Nepal,NPL,"Mar 18, 2020",0,2020-03-18
NPL,Asia,Nepal,2020-03-19,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,17.0,529.0,0.018,0.001,11.0,0.0,0.0,tests performed,47.22,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-19,Nepal,NPL,"Mar 19, 2020",0,2020-03-19
NPL,Asia,Nepal,2020-03-20,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,17.0,546.0,0.019,0.001,13.0,0.0,0.0,tests performed,58.33,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-20,Nepal,NPL,"Mar 20, 2020",1,2020-03-20
NPL,Asia,Nepal,2020-03-23,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,37.0,609.0,0.021,0.001,19.0,0.001,0.0,tests performed,83.33,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-23,Nepal,NPL,"Mar 23, 2020",2,2020-03-23
NPL,Asia,Nepal,2020-03-24,2.0,1.0,0.0,0.0,0.069,0.034,0.0,0.0,1.0,610.0,0.021,0.0,16.0,0.001,0.009000000000000001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-24,Nepal,NPL,"Mar 24, 2020",2,2020-03-24
NPL,Asia,Nepal,2020-03-25,3.0,1.0,0.0,0.0,0.103,0.034,0.0,0.0,77.0,687.0,0.024,0.003,25.0,0.001,0.011000000000000001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-25,Nepal,NPL,"Mar 25, 2020",2,2020-03-25
NPL,Asia,Nepal,2020-03-26,3.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,71.0,758.0,0.026,0.002,33.0,0.001,0.009000000000000001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-26,Nepal,NPL,"Mar 26, 2020",2,2020-03-26
NPL,Asia,Nepal,2020-03-27,3.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,44.0,802.0,0.028,0.002,37.0,0.001,0.008,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-27,Nepal,NPL,"Mar 27, 2020",2,2020-03-27
NPL,Asia,Nepal,2020-03-28,3.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,73.0,875.0,0.03,0.003,45.0,0.002,0.006,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-28,Nepal,NPL,"Mar 28, 2020",2,2020-03-28
NPL,Asia,Nepal,2020-03-29,5.0,2.0,0.0,0.0,0.172,0.069,0.0,0.0,42.0,917.0,0.031,0.001,49.0,0.002,0.012,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-29,Nepal,NPL,"Mar 29, 2020",2,2020-03-29
NPL,Asia,Nepal,2020-03-30,5.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,76.0,993.0,0.034,0.003,55.0,0.002,0.01,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-30,Nepal,NPL,"Mar 30, 2020",2,2020-03-30
NPL,Asia,Nepal,2020-03-31,5.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,67.0,1060.0,0.036,0.002,64.0,0.002,0.006999999999999999,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-03-31,Nepal,NPL,"Mar 31, 2020",2,2020-03-31
NPL,Asia,Nepal,2020-04-01,5.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,85.0,1145.0,0.039,0.003,65.0,0.002,0.004,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-01,Nepal,NPL,"Apr 1, 2020",2,2020-04-01
NPL,Asia,Nepal,2020-04-02,5.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,40.0,1185.0,0.041,0.001,61.0,0.002,0.005,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-02,Nepal,NPL,"Apr 2, 2020",2,2020-04-02
NPL,Asia,Nepal,2020-04-03,5.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,123.0,1308.0,0.045,0.004,72.0,0.002,0.004,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-03,Nepal,NPL,"Apr 3, 2020",2,2020-04-03
NPL,Asia,Nepal,2020-04-04,6.0,1.0,0.0,0.0,0.206,0.034,0.0,0.0,213.0,1521.0,0.052,0.007,92.0,0.003,0.005,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-04,Nepal,NPL,"Apr 4, 2020",2,2020-04-04
NPL,Asia,Nepal,2020-04-05,6.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,121.0,1642.0,0.056,0.004,104.0,0.004,0.001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-05,Nepal,NPL,"Apr 5, 2020",2,2020-04-05
NPL,Asia,Nepal,2020-04-06,9.0,3.0,0.0,0.0,0.309,0.103,0.0,0.0,248.0,1890.0,0.065,0.009,128.0,0.004,0.004,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-06,Nepal,NPL,"Apr 6, 2020",2,2020-04-06
NPL,Asia,Nepal,2020-04-07,9.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,232.0,2122.0,0.073,0.008,152.0,0.005,0.004,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-07,Nepal,NPL,"Apr 7, 2020",2,2020-04-07
NPL,Asia,Nepal,2020-04-08,9.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,244.0,2366.0,0.081,0.008,174.0,0.006,0.003,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-08,Nepal,NPL,"Apr 8, 2020",2,2020-04-08
NPL,Asia,Nepal,2020-04-09,9.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,529.0,2895.0,0.099,0.018,244.0,0.008,0.002,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-09,Nepal,NPL,"Apr 9, 2020",2,2020-04-09
NPL,Asia,Nepal,2020-04-10,9.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,630.0,3525.0,0.121,0.022,317.0,0.011,0.002,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-10,Nepal,NPL,"Apr 10, 2020",2,2020-04-10
NPL,Asia,Nepal,2020-04-11,9.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,901.0,4426.0,0.152,0.031,415.0,0.014,0.001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-11,Nepal,NPL,"Apr 11, 2020",2,2020-04-11
NPL,Asia,Nepal,2020-04-12,9.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,758.0,5184.0,0.178,0.026,506.0,0.017,0.001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-12,Nepal,NPL,"Apr 12, 2020",2,2020-04-12
NPL,Asia,Nepal,2020-04-13,12.0,3.0,0.0,0.0,0.412,0.103,0.0,0.0,507.0,5691.0,0.195,0.017,543.0,0.019,0.001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-13,Nepal,NPL,"Apr 13, 2020",2,2020-04-13
NPL,Asia,Nepal,2020-04-14,14.0,2.0,0.0,0.0,0.48,0.069,0.0,0.0,608.0,6299.0,0.216,0.021,597.0,0.02,0.001,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-14,Nepal,NPL,"Apr 14, 2020",2,2020-04-14
NPL,Asia,Nepal,2020-04-15,16.0,2.0,0.0,0.0,0.549,0.069,0.0,0.0,572.0,6871.0,0.236,0.02,644.0,0.022,0.002,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-15,Nepal,NPL,"Apr 15, 2020",2,2020-04-15
NPL,Asia,Nepal,2020-04-16,16.0,0.0,0.0,0.0,0.549,0.0,0.0,0.0,369.0,7240.0,0.248,0.013,621.0,0.021,0.002,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-16,Nepal,NPL,"Apr 16, 2020",2,2020-04-16
NPL,Asia,Nepal,2020-04-17,16.0,0.0,0.0,0.0,0.549,0.0,0.0,0.0,218.0,7458.0,0.256,0.007,562.0,0.019,0.002,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-17,Nepal,NPL,"Apr 17, 2020",2,2020-04-17
NPL,Asia,Nepal,2020-04-18,30.0,14.0,0.0,0.0,1.03,0.48,0.0,0.0,555.0,8013.0,0.275,0.019,512.0,0.018,0.006,tests performed,96.3,29136808.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,70.78,2020-04-18,Nepal,NPL,"Apr 18, 2020",2,2020-04-18
