iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
NGA,Africa,Nigeria,2020-04-17,442.0,35.0,13.0,1.0,2.144,0.17,0.063,0.005,504.0,7153.0,0.035,0.002,249.0,0.001,0.08800000000000001,samples tested,82.87,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-04-17,Nigeria,NGA,"Apr 17, 2020",2,2020-04-17
NGA,Africa,Nigeria,2020-04-29,1532.0,195.0,44.0,4.0,7.432,0.946,0.213,0.019,824.0,12828.0,0.062,0.004,465.0,0.002,0.23,samples tested,85.65,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-04-29,Nigeria,NGA,"Apr 29, 2020",2,2020-04-29
NGA,Africa,Nigeria,2020-05-04,2558.0,170.0,87.0,2.0,12.409,0.825,0.422,0.01,1948.0,18536.0,0.09,0.009,985.0,0.005,0.18600000000000003,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-04,Nigeria,NGA,"May 4, 2020",1,2020-05-04
NGA,Africa,Nigeria,2020-05-05,2802.0,244.0,93.0,6.0,13.593,1.184,0.451,0.029,976.0,19512.0,0.095,0.005,1073.0,0.005,0.195,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-05,Nigeria,NGA,"May 5, 2020",1,2020-05-05
NGA,Africa,Nigeria,2020-05-06,2950.0,148.0,98.0,5.0,14.311,0.718,0.475,0.024,1696.0,21208.0,0.103,0.008,1197.0,0.006,0.16899999999999998,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-06,Nigeria,NGA,"May 6, 2020",1,2020-05-06
NGA,Africa,Nigeria,2020-05-07,3145.0,195.0,103.0,5.0,15.257,0.946,0.5,0.024,1284.0,22492.0,0.109,0.006,1171.0,0.006,0.17300000000000001,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-07,Nigeria,NGA,"May 7, 2020",1,2020-05-07
NGA,Africa,Nigeria,2020-05-08,3526.0,381.0,107.0,4.0,17.105,1.848,0.519,0.019,1343.0,23835.0,0.116,0.007,1154.0,0.006,0.19699999999999998,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-08,Nigeria,NGA,"May 8, 2020",1,2020-05-08
NGA,Africa,Nigeria,2020-05-12,4641.0,242.0,150.0,7.0,22.514,1.174,0.728,0.034,1340.0,28418.0,0.138,0.007,1272.0,0.006,0.207,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-12,Nigeria,NGA,"May 12, 2020",1,2020-05-12
NGA,Africa,Nigeria,2020-05-13,4787.0,146.0,158.0,8.0,23.222,0.708,0.766,0.039,990.0,29408.0,0.143,0.005,1171.0,0.006,0.22399999999999998,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-13,Nigeria,NGA,"May 13, 2020",1,2020-05-13
NGA,Africa,Nigeria,2020-05-14,4971.0,184.0,164.0,6.0,24.115,0.893,0.796,0.029,1249.0,30657.0,0.149,0.006,1166.0,0.006,0.22399999999999998,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-14,Nigeria,NGA,"May 14, 2020",1,2020-05-14
NGA,Africa,Nigeria,2020-05-17,5621.0,176.0,176.0,5.0,27.268,0.854,0.854,0.024,1028.0,33970.0,0.165,0.005,1139.0,0.006,0.184,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-17,Nigeria,NGA,"May 17, 2020",1,2020-05-17
NGA,Africa,Nigeria,2020-05-18,5959.0,338.0,182.0,6.0,28.908,1.64,0.883,0.029,1375.0,35345.0,0.171,0.007,1181.0,0.006,0.18899999999999997,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-18,Nigeria,NGA,"May 18, 2020",1,2020-05-18
NGA,Africa,Nigeria,2020-05-19,6175.0,216.0,191.0,9.0,29.955,1.048,0.927,0.044,1554.0,36899.0,0.179,0.008,1212.0,0.006,0.18100000000000002,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-19,Nigeria,NGA,"May 19, 2020",1,2020-05-19
NGA,Africa,Nigeria,2020-05-20,6401.0,226.0,192.0,1.0,31.052,1.096,0.931,0.005,1332.0,38231.0,0.185,0.006,1260.0,0.006,0.183,samples tested,80.56,206139587.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,54.69,2020-05-20,Nigeria,NGA,"May 20, 2020",1,2020-05-20
