iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
NOR,Europe,Norway,2020-03-02,19.0,4.0,0.0,0.0,3.505,0.738,0.0,0.0,391.0,1596.0,0.294,0.072,226.0,0.042,0.012,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-02,Norway,NOR,"Mar 2, 2020",0,2020-03-02
NOR,Europe,Norway,2020-03-03,25.0,6.0,0.0,0.0,4.611,1.107,0.0,0.0,380.0,1976.0,0.364,0.07,272.0,0.05,0.013000000000000001,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-03,Norway,NOR,"Mar 3, 2020",0,2020-03-03
NOR,Europe,Norway,2020-03-04,33.0,8.0,0.0,0.0,6.087,1.476,0.0,0.0,341.0,2317.0,0.427,0.063,299.0,0.055,0.016,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-04,Norway,NOR,"Mar 4, 2020",0,2020-03-04
NOR,Europe,Norway,2020-03-05,56.0,23.0,0.0,0.0,10.33,4.243,0.0,0.0,374.0,2691.0,0.496,0.069,317.0,0.058,0.025,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-05,Norway,NOR,"Mar 5, 2020",0,2020-03-05
NOR,Europe,Norway,2020-03-06,86.0,30.0,0.0,0.0,15.864,5.534,0.0,0.0,365.0,3056.0,0.564,0.067,328.0,0.061,0.036000000000000004,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-06,Norway,NOR,"Mar 6, 2020",0,2020-03-06
NOR,Europe,Norway,2020-03-07,113.0,27.0,0.0,0.0,20.844,4.98,0.0,0.0,315.0,3371.0,0.622,0.058,343.0,0.063,0.045,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-07,Norway,NOR,"Mar 7, 2020",0,2020-03-07
NOR,Europe,Norway,2020-03-08,147.0,34.0,0.0,0.0,27.116,6.272,0.0,0.0,408.0,3779.0,0.697,0.075,368.0,0.068,0.051,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-08,Norway,NOR,"Mar 8, 2020",0,2020-03-08
NOR,Europe,Norway,2020-03-09,169.0,22.0,0.0,0.0,31.174,4.058,0.0,0.0,1484.0,5263.0,0.971,0.274,524.0,0.097,0.040999999999999995,people tested,11.11,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-09,Norway,NOR,"Mar 9, 2020",0,2020-03-09
NOR,Europe,Norway,2020-03-10,192.0,23.0,0.0,0.0,35.416,4.243,0.0,0.0,1686.0,6949.0,1.282,0.311,710.0,0.131,0.034,people tested,14.81,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-10,Norway,NOR,"Mar 10, 2020",0,2020-03-10
NOR,Europe,Norway,2020-03-11,277.0,85.0,0.0,0.0,51.095,15.679,0.0,0.0,2085.0,9034.0,1.666,0.385,960.0,0.177,0.036000000000000004,people tested,20.37,5421242.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,82.4,2020-03-11,Norway,NOR,"Mar 11, 2020",0,2020-03-11
