iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
PAK,Asia,Pakistan,2020-03-18,187.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,1022.0,2163.0,0.01,0.005,242.0,0.001,0.10099999999999999,tests performed,52.78,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-18,Pakistan,PAK,"Mar 18, 2020",0,2020-03-18
PAK,Asia,Pakistan,2020-03-19,302.0,115.0,0.0,0.0,1.367,0.521,0.0,0.0,1247.0,3410.0,0.015,0.006,411.0,0.002,0.098,tests performed,52.78,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-19,Pakistan,PAK,"Mar 19, 2020",0,2020-03-19
PAK,Asia,Pakistan,2020-03-20,478.0,176.0,2.0,2.0,2.164,0.797,0.009,0.009,591.0,4001.0,0.018,0.003,485.0,0.002,0.135,tests performed,52.78,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-20,Pakistan,PAK,"Mar 20, 2020",0,2020-03-20
PAK,Asia,Pakistan,2020-03-21,495.0,17.0,3.0,1.0,2.241,0.077,0.014,0.005,1224.0,5225.0,0.024,0.006,649.0,0.003,0.10400000000000001,tests performed,55.56,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-21,Pakistan,PAK,"Mar 21, 2020",0,2020-03-21
PAK,Asia,Pakistan,2020-03-22,646.0,151.0,3.0,0.0,2.925,0.684,0.014,0.0,219.0,5444.0,0.025,0.001,659.0,0.003,0.134,tests performed,55.56,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-22,Pakistan,PAK,"Mar 22, 2020",0,2020-03-22
PAK,Asia,Pakistan,2020-03-23,784.0,138.0,5.0,2.0,3.549,0.625,0.023,0.009,413.0,5857.0,0.027,0.002,676.0,0.003,0.159,tests performed,85.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-23,Pakistan,PAK,"Mar 23, 2020",2,2020-03-23
PAK,Asia,Pakistan,2020-03-24,887.0,103.0,6.0,1.0,4.016,0.466,0.027,0.005,266.0,6123.0,0.028,0.001,712.0,0.003,0.14,tests performed,93.52,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-24,Pakistan,PAK,"Mar 24, 2020",2,2020-03-24
PAK,Asia,Pakistan,2020-03-25,991.0,104.0,7.0,1.0,4.486,0.471,0.032,0.005,326.0,6449.0,0.029,0.001,612.0,0.003,0.188,tests performed,93.52,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-25,Pakistan,PAK,"Mar 25, 2020",2,2020-03-25
PAK,Asia,Pakistan,2020-03-26,1057.0,66.0,8.0,1.0,4.785,0.299,0.036,0.005,1386.0,7835.0,0.035,0.006,632.0,0.003,0.171,tests performed,96.3,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-26,Pakistan,PAK,"Mar 26, 2020",2,2020-03-26
PAK,Asia,Pakistan,2020-03-27,1197.0,140.0,9.0,1.0,5.419,0.634,0.041,0.005,5396.0,13231.0,0.06,0.024,1319.0,0.006,0.078,tests performed,96.3,220892331.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,2020-03-27,Pakistan,PAK,"Mar 27, 2020",2,2020-03-27
