iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
PAN,North America,Panama,2020-03-17,69.0,26.0,1.0,0.0,15.992,6.026,0.232,0.0,241.0,1245.0,0.289,0.056,158.0,0.037,0.061,tests performed,51.85,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-17,Panama,PAN,"Mar 17, 2020",1,2020-03-17
PAN,North America,Panama,2020-03-18,86.0,17.0,1.0,0.0,19.932,3.94,0.232,0.0,210.0,1455.0,0.337,0.049,182.0,0.042,0.062,tests performed,51.85,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-18,Panama,PAN,"Mar 18, 2020",1,2020-03-18
PAN,North America,Panama,2020-03-19,109.0,23.0,1.0,0.0,25.262,5.331,0.232,0.0,313.0,1768.0,0.41,0.073,199.0,0.046,0.068,tests performed,51.85,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-19,Panama,PAN,"Mar 19, 2020",1,2020-03-19
PAN,North America,Panama,2020-03-20,137.0,28.0,1.0,0.0,31.751,6.489,0.232,0.0,401.0,2169.0,0.503,0.093,222.0,0.051,0.071,tests performed,59.26,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-20,Panama,PAN,"Mar 20, 2020",1,2020-03-20
PAN,North America,Panama,2020-03-21,200.0,63.0,1.0,0.0,46.352,14.601,0.232,0.0,303.0,2472.0,0.573,0.07,237.0,0.055,0.099,tests performed,59.26,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-21,Panama,PAN,"Mar 21, 2020",1,2020-03-21
PAN,North America,Panama,2020-03-22,245.0,45.0,3.0,2.0,56.782,10.429,0.695,0.464,627.0,3099.0,0.718,0.145,311.0,0.072,0.09300000000000001,tests performed,59.26,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-22,Panama,PAN,"Mar 22, 2020",1,2020-03-22
PAN,North America,Panama,2020-03-23,313.0,68.0,3.0,0.0,72.542,15.76,0.695,0.0,286.0,3385.0,0.785,0.066,340.0,0.079,0.113,tests performed,70.37,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-23,Panama,PAN,"Mar 23, 2020",1,2020-03-23
PAN,North America,Panama,2020-03-24,345.0,32.0,6.0,3.0,79.958,7.416,1.391,0.695,305.0,3690.0,0.855,0.071,349.0,0.081,0.113,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-24,Panama,PAN,"Mar 24, 2020",1,2020-03-24
PAN,North America,Panama,2020-03-25,443.0,98.0,6.0,0.0,102.671,22.713,1.391,0.0,558.0,4248.0,0.985,0.129,399.0,0.092,0.128,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-25,Panama,PAN,"Mar 25, 2020",1,2020-03-25
PAN,North America,Panama,2020-03-26,588.0,145.0,6.0,0.0,136.276,33.606,1.391,0.0,608.0,4856.0,1.125,0.141,441.0,0.102,0.155,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-26,Panama,PAN,"Mar 26, 2020",1,2020-03-26
PAN,North America,Panama,2020-03-27,674.0,86.0,9.0,3.0,156.208,19.932,2.086,0.695,366.0,5222.0,1.21,0.085,436.0,0.101,0.17600000000000002,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-27,Panama,PAN,"Mar 27, 2020",1,2020-03-27
PAN,North America,Panama,2020-03-28,786.0,112.0,14.0,5.0,182.165,25.957,3.245,1.159,540.0,5762.0,1.335,0.125,470.0,0.109,0.17800000000000002,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-28,Panama,PAN,"Mar 28, 2020",1,2020-03-28
PAN,North America,Panama,2020-03-29,901.0,115.0,17.0,3.0,208.818,26.653,3.94,0.695,398.0,6160.0,1.428,0.092,437.0,0.101,0.214,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-29,Panama,PAN,"Mar 29, 2020",1,2020-03-29
PAN,North America,Panama,2020-03-30,989.0,88.0,24.0,7.0,229.213,20.395,5.562,1.622,422.0,6582.0,1.525,0.098,457.0,0.106,0.21100000000000002,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-30,Panama,PAN,"Mar 30, 2020",1,2020-03-30
PAN,North America,Panama,2020-03-31,1075.0,86.0,26.0,2.0,249.144,19.932,6.026,0.464,362.0,6944.0,1.609,0.084,465.0,0.108,0.22399999999999998,tests performed,75.93,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-03-31,Panama,PAN,"Mar 31, 2020",1,2020-03-31
PAN,North America,Panama,2020-04-01,1181.0,106.0,30.0,4.0,273.711,24.567,6.953,0.927,389.0,7333.0,1.7,0.09,441.0,0.102,0.239,tests performed,79.63,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-04-01,Panama,PAN,"Apr 1, 2020",2,2020-04-01
PAN,North America,Panama,2020-04-02,1317.0,136.0,32.0,2.0,305.231,31.52,7.416,0.464,608.0,7941.0,1.84,0.141,441.0,0.102,0.23600000000000002,tests performed,79.63,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-04-02,Panama,PAN,"Apr 2, 2020",2,2020-04-02
PAN,North America,Panama,2020-04-03,1475.0,158.0,37.0,5.0,341.849,36.618,8.575,1.159,753.0,8694.0,2.015,0.175,496.0,0.115,0.231,tests performed,90.74,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-04-03,Panama,PAN,"Apr 3, 2020",2,2020-04-03
PAN,North America,Panama,2020-04-04,1673.0,198.0,41.0,4.0,387.738,45.889,9.502,0.927,562.0,9256.0,2.145,0.13,499.0,0.116,0.254,tests performed,90.74,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-04-04,Panama,PAN,"Apr 4, 2020",2,2020-04-04
PAN,North America,Panama,2020-04-05,1801.0,128.0,46.0,5.0,417.404,29.666,10.661,1.159,493.0,9749.0,2.259,0.114,513.0,0.119,0.251,tests performed,90.74,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-04-05,Panama,PAN,"Apr 5, 2020",2,2020-04-05
PAN,North America,Panama,2020-04-06,1988.0,187.0,54.0,8.0,460.743,43.34,12.515,1.854,548.0,10297.0,2.386,0.127,531.0,0.123,0.26899999999999996,tests performed,90.74,4314768.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,2020-04-06,Panama,PAN,"Apr 6, 2020",2,2020-04-06
