iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
PRY,South America,Paraguay,2020-03-16,8.0,1.0,0.0,0.0,1.122,0.14,0.0,0.0,27.0,114.0,0.016,0.004,15.0,0.002,0.067,tests performed,70.37,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-16,Paraguay,PRY,"Mar 16, 2020",1,2020-03-16
PRY,South America,Paraguay,2020-03-17,9.0,1.0,0.0,0.0,1.262,0.14,0.0,0.0,26.0,140.0,0.02,0.004,19.0,0.003,0.06,tests performed,74.07,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-17,Paraguay,PRY,"Mar 17, 2020",2,2020-03-17
PRY,South America,Paraguay,2020-03-18,11.0,2.0,0.0,0.0,1.542,0.28,0.0,0.0,24.0,164.0,0.023,0.003,21.0,0.003,0.040999999999999995,tests performed,74.07,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-18,Paraguay,PRY,"Mar 18, 2020",2,2020-03-18
PRY,South America,Paraguay,2020-03-19,11.0,0.0,0.0,0.0,1.542,0.0,0.0,0.0,32.0,196.0,0.027,0.004,25.0,0.004,0.034,tests performed,74.07,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-19,Paraguay,PRY,"Mar 19, 2020",2,2020-03-19
PRY,South America,Paraguay,2020-03-20,13.0,2.0,0.0,0.0,1.823,0.28,0.0,0.0,44.0,240.0,0.034,0.006,29.0,0.004,0.034,tests performed,74.07,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-20,Paraguay,PRY,"Mar 20, 2020",2,2020-03-20
PRY,South America,Paraguay,2020-03-21,18.0,5.0,1.0,1.0,2.524,0.701,0.14,0.14,68.0,308.0,0.043,0.01,36.0,0.005,0.044000000000000004,tests performed,85.19,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-21,Paraguay,PRY,"Mar 21, 2020",2,2020-03-21
PRY,South America,Paraguay,2020-03-22,22.0,4.0,1.0,0.0,3.084,0.561,0.14,0.0,37.0,345.0,0.048,0.005,37.0,0.005,0.057999999999999996,tests performed,85.19,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-22,Paraguay,PRY,"Mar 22, 2020",2,2020-03-22
PRY,South America,Paraguay,2020-03-23,22.0,0.0,1.0,0.0,3.084,0.0,0.14,0.0,89.0,434.0,0.061,0.012,46.0,0.006,0.043,tests performed,90.74,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-23,Paraguay,PRY,"Mar 23, 2020",2,2020-03-23
PRY,South America,Paraguay,2020-03-24,27.0,5.0,1.0,0.0,3.785,0.701,0.14,0.0,91.0,525.0,0.074,0.013,55.0,0.008,0.047,tests performed,93.52,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-24,Paraguay,PRY,"Mar 24, 2020",2,2020-03-24
PRY,South America,Paraguay,2020-03-25,37.0,10.0,3.0,2.0,5.188,1.402,0.421,0.28,51.0,576.0,0.081,0.007,59.0,0.008,0.063,tests performed,93.52,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-25,Paraguay,PRY,"Mar 25, 2020",2,2020-03-25
PRY,South America,Paraguay,2020-03-26,41.0,4.0,3.0,0.0,5.748,0.561,0.421,0.0,78.0,654.0,0.092,0.011,65.0,0.009,0.066,tests performed,93.52,7132530.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,74.25,2020-03-26,Paraguay,PRY,"Mar 26, 2020",2,2020-03-26
