iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
PHL,Asia,Philippines,2020-04-10,4076.0,206.0,203.0,21.0,37.196,1.88,1.853,0.192,1244.0,32770.0,0.299,0.011,1785.0,0.016,0.115,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-10,Philippines,PHL,"Apr 10, 2020",3,2020-04-10
PHL,Asia,Philippines,2020-04-11,4076.0,0.0,203.0,0.0,37.196,0.0,1.853,0.0,1302.0,34072.0,0.311,0.012,1627.0,0.015,0.09300000000000001,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-11,Philippines,PHL,"Apr 11, 2020",3,2020-04-11
PHL,Asia,Philippines,2020-04-12,4428.0,352.0,247.0,44.0,40.408,3.212,2.254,0.402,1710.0,35782.0,0.327,0.016,1822.0,0.017,0.105,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-12,Philippines,PHL,"Apr 12, 2020",3,2020-04-12
PHL,Asia,Philippines,2020-04-13,4648.0,220.0,297.0,50.0,42.416,2.008,2.71,0.456,2321.0,38103.0,0.348,0.021,1911.0,0.017,0.105,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-13,Philippines,PHL,"Apr 13, 2020",3,2020-04-13
PHL,Asia,Philippines,2020-04-14,4932.0,284.0,315.0,18.0,45.008,2.592,2.875,0.164,1844.0,39947.0,0.365,0.017,1934.0,0.018,0.094,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-14,Philippines,PHL,"Apr 14, 2020",3,2020-04-14
PHL,Asia,Philippines,2020-04-15,5223.0,291.0,335.0,20.0,47.663,2.656,3.057,0.183,2268.0,42215.0,0.385,0.021,1811.0,0.017,0.115,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-15,Philippines,PHL,"Apr 15, 2020",3,2020-04-15
PHL,Asia,Philippines,2020-04-16,5453.0,230.0,349.0,14.0,49.762,2.099,3.185,0.128,3898.0,46113.0,0.421,0.036,2084.0,0.019,0.109,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-16,Philippines,PHL,"Apr 16, 2020",3,2020-04-16
PHL,Asia,Philippines,2020-04-17,5660.0,207.0,362.0,13.0,51.651,1.889,3.303,0.119,3421.0,49534.0,0.452,0.031,2395.0,0.022,0.094,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-17,Philippines,PHL,"Apr 17, 2020",3,2020-04-17
PHL,Asia,Philippines,2020-04-18,5878.0,218.0,387.0,25.0,53.641,1.989,3.532,0.228,3657.0,53191.0,0.485,0.033,2731.0,0.025,0.094,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-18,Philippines,PHL,"Apr 18, 2020",3,2020-04-18
PHL,Asia,Philippines,2020-04-19,6087.0,209.0,397.0,10.0,55.548,1.907,3.623,0.091,2317.0,55508.0,0.507,0.021,2818.0,0.026,0.084,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-19,Philippines,PHL,"Apr 19, 2020",3,2020-04-19
PHL,Asia,Philippines,2020-04-20,6259.0,172.0,409.0,12.0,57.118,1.57,3.732,0.11,2323.0,57831.0,0.528,0.021,2818.0,0.026,0.08199999999999999,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-20,Philippines,PHL,"Apr 20, 2020",3,2020-04-20
PHL,Asia,Philippines,2020-04-21,6459.0,200.0,428.0,19.0,58.943,1.825,3.906,0.173,2870.0,60701.0,0.554,0.026,2965.0,0.027,0.07400000000000001,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-21,Philippines,PHL,"Apr 21, 2020",3,2020-04-21
PHL,Asia,Philippines,2020-04-22,6599.0,140.0,437.0,9.0,60.22,1.278,3.988,0.082,3620.0,64321.0,0.587,0.033,3158.0,0.029,0.062,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-22,Philippines,PHL,"Apr 22, 2020",3,2020-04-22
PHL,Asia,Philippines,2020-04-23,6710.0,111.0,446.0,9.0,61.233,1.013,4.07,0.082,3726.0,68047.0,0.621,0.034,3133.0,0.029,0.057,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-23,Philippines,PHL,"Apr 23, 2020",3,2020-04-23
PHL,Asia,Philippines,2020-04-24,6981.0,271.0,462.0,16.0,63.706,2.473,4.216,0.146,4167.0,72214.0,0.659,0.038,3240.0,0.03,0.057999999999999996,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-24,Philippines,PHL,"Apr 24, 2020",3,2020-04-24
PHL,Asia,Philippines,2020-04-25,7192.0,211.0,477.0,15.0,65.632,1.926,4.353,0.137,4417.0,76631.0,0.699,0.04,3349.0,0.031,0.055999999999999994,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-25,Philippines,PHL,"Apr 25, 2020",3,2020-04-25
PHL,Asia,Philippines,2020-04-26,7294.0,102.0,494.0,17.0,66.563,0.931,4.508,0.155,3876.0,80507.0,0.735,0.035,3571.0,0.033,0.048,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-26,Philippines,PHL,"Apr 26, 2020",3,2020-04-26
PHL,Asia,Philippines,2020-04-27,7579.0,285.0,501.0,7.0,69.163,2.601,4.572,0.064,4428.0,84935.0,0.775,0.04,3872.0,0.035,0.049,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-27,Philippines,PHL,"Apr 27, 2020",3,2020-04-27
PHL,Asia,Philippines,2020-04-28,7777.0,198.0,511.0,10.0,70.97,1.807,4.663,0.091,4434.0,89369.0,0.816,0.04,4095.0,0.037,0.046,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-28,Philippines,PHL,"Apr 28, 2020",3,2020-04-28
PHL,Asia,Philippines,2020-04-29,7958.0,181.0,530.0,19.0,72.622,1.652,4.837,0.173,5019.0,94388.0,0.861,0.046,4295.0,0.039,0.045,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-29,Philippines,PHL,"Apr 29, 2020",3,2020-04-29
PHL,Asia,Philippines,2020-04-30,8212.0,254.0,558.0,28.0,74.94,2.318,5.092,0.256,4802.0,99190.0,0.905,0.044,4449.0,0.041,0.048,people tested,100.0,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-04-30,Philippines,PHL,"Apr 30, 2020",3,2020-04-30
PHL,Asia,Philippines,2020-05-01,8488.0,276.0,568.0,10.0,77.459,2.519,5.183,0.091,3932.0,103122.0,0.941,0.036,4415.0,0.04,0.049,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-01,Philippines,PHL,"May 1, 2020",2,2020-05-01
PHL,Asia,Philippines,2020-05-02,8772.0,284.0,579.0,11.0,80.05,2.592,5.284,0.1,5208.0,108330.0,0.989,0.048,4528.0,0.041,0.05,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-02,Philippines,PHL,"May 2, 2020",2,2020-05-02
PHL,Asia,Philippines,2020-05-03,8928.0,156.0,603.0,24.0,81.474,1.424,5.503,0.219,4487.0,112817.0,1.03,0.041,4616.0,0.042,0.051,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-03,Philippines,PHL,"May 3, 2020",2,2020-05-03
PHL,Asia,Philippines,2020-05-04,9223.0,295.0,607.0,4.0,84.166,2.692,5.539,0.037,5464.0,118281.0,1.079,0.05,4764.0,0.043,0.049,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-04,Philippines,PHL,"May 4, 2020",2,2020-05-04
PHL,Asia,Philippines,2020-05-05,9485.0,262.0,623.0,16.0,86.557,2.391,5.685,0.146,6555.0,124836.0,1.139,0.06,5067.0,0.046,0.048,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-05,Philippines,PHL,"May 5, 2020",2,2020-05-05
PHL,Asia,Philippines,2020-05-06,9684.0,199.0,637.0,14.0,88.373,1.816,5.813,0.128,5137.0,129973.0,1.186,0.047,5084.0,0.046,0.048,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-06,Philippines,PHL,"May 6, 2020",2,2020-05-06
PHL,Asia,Philippines,2020-05-07,10004.0,320.0,658.0,21.0,91.293,2.92,6.005,0.192,5401.0,135374.0,1.235,0.049,5169.0,0.047,0.05,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-07,Philippines,PHL,"May 7, 2020",2,2020-05-07
PHL,Asia,Philippines,2020-05-08,10343.0,339.0,685.0,27.0,94.387,3.094,6.251,0.246,5532.0,140906.0,1.286,0.05,5398.0,0.049,0.049,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-08,Philippines,PHL,"May 8, 2020",2,2020-05-08
PHL,Asia,Philippines,2020-05-09,10463.0,120.0,696.0,11.0,95.482,1.095,6.351,0.1,7130.0,148036.0,1.351,0.065,5672.0,0.052,0.043,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-09,Philippines,PHL,"May 9, 2020",2,2020-05-09
PHL,Asia,Philippines,2020-05-10,10610.0,147.0,704.0,8.0,96.823,1.341,6.424,0.073,8757.0,156793.0,1.431,0.08,6282.0,0.057,0.038,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-10,Philippines,PHL,"May 10, 2020",2,2020-05-10
PHL,Asia,Philippines,2020-05-11,10794.0,184.0,719.0,15.0,98.502,1.679,6.561,0.137,8514.0,165307.0,1.509,0.078,6718.0,0.061,0.033,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-11,Philippines,PHL,"May 11, 2020",2,2020-05-11
PHL,Asia,Philippines,2020-05-12,11086.0,292.0,726.0,7.0,101.167,2.665,6.625,0.064,8512.0,173819.0,1.586,0.078,6998.0,0.064,0.033,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-12,Philippines,PHL,"May 12, 2020",2,2020-05-12
PHL,Asia,Philippines,2020-05-13,11350.0,264.0,751.0,25.0,103.576,2.409,6.853,0.228,8766.0,182585.0,1.666,0.08,7516.0,0.069,0.032,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-13,Philippines,PHL,"May 13, 2020",2,2020-05-13
PHL,Asia,Philippines,2020-05-14,11618.0,268.0,772.0,21.0,106.022,2.446,7.045,0.192,16620.0,199205.0,1.818,0.152,9119.0,0.083,0.025,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-14,Philippines,PHL,"May 14, 2020",2,2020-05-14
PHL,Asia,Philippines,2020-05-15,11876.0,258.0,790.0,18.0,108.376,2.354,7.209,0.164,10529.0,209734.0,1.914,0.096,9833.0,0.09,0.022000000000000002,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-15,Philippines,PHL,"May 15, 2020",2,2020-05-15
PHL,Asia,Philippines,2020-05-16,12091.0,215.0,806.0,16.0,110.338,1.962,7.355,0.146,9490.0,219224.0,2.001,0.087,10170.0,0.093,0.023,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-16,Philippines,PHL,"May 16, 2020",2,2020-05-16
PHL,Asia,Philippines,2020-05-17,12305.0,214.0,817.0,11.0,112.291,1.953,7.456,0.1,9095.0,228319.0,2.084,0.083,10218.0,0.093,0.024,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-17,Philippines,PHL,"May 17, 2020",2,2020-05-17
PHL,Asia,Philippines,2020-05-18,12513.0,208.0,824.0,7.0,114.189,1.898,7.52,0.064,5394.0,233713.0,2.133,0.049,9772.0,0.089,0.025,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-18,Philippines,PHL,"May 18, 2020",2,2020-05-18
PHL,Asia,Philippines,2020-05-19,12718.0,205.0,831.0,7.0,116.06,1.871,7.583,0.064,7354.0,241067.0,2.2,0.067,9607.0,0.088,0.024,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-19,Philippines,PHL,"May 19, 2020",2,2020-05-19
PHL,Asia,Philippines,2020-05-20,12942.0,224.0,837.0,6.0,118.104,2.044,7.638,0.055,8215.0,249282.0,2.275,0.075,9528.0,0.087,0.024,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-20,Philippines,PHL,"May 20, 2020",2,2020-05-20
PHL,Asia,Philippines,2020-05-21,13221.0,279.0,842.0,5.0,120.65,2.546,7.684,0.046,8690.0,257972.0,2.354,0.079,8395.0,0.077,0.027000000000000003,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-21,Philippines,PHL,"May 21, 2020",2,2020-05-21
PHL,Asia,Philippines,2020-05-22,13434.0,213.0,846.0,4.0,122.594,1.944,7.72,0.037,8999.0,266971.0,2.436,0.082,8177.0,0.075,0.027000000000000003,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-22,Philippines,PHL,"May 22, 2020",2,2020-05-22
PHL,Asia,Philippines,2020-05-23,13597.0,163.0,857.0,11.0,124.082,1.487,7.821,0.1,7645.0,274616.0,2.506,0.07,7913.0,0.072,0.027000000000000003,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-23,Philippines,PHL,"May 23, 2020",2,2020-05-23
PHL,Asia,Philippines,2020-05-24,13777.0,180.0,863.0,6.0,125.724,1.643,7.875,0.055,5892.0,280508.0,2.56,0.054,7456.0,0.068,0.027999999999999997,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-24,Philippines,PHL,"May 24, 2020",2,2020-05-24
PHL,Asia,Philippines,2020-05-25,14035.0,258.0,868.0,5.0,128.079,2.354,7.921,0.046,5421.0,285929.0,2.609,0.049,7459.0,0.068,0.028999999999999998,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-25,Philippines,PHL,"May 25, 2020",2,2020-05-25
PHL,Asia,Philippines,2020-05-26,14319.0,284.0,873.0,5.0,130.67,2.592,7.967,0.046,7290.0,293219.0,2.676,0.067,7450.0,0.068,0.031,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-26,Philippines,PHL,"May 26, 2020",2,2020-05-26
PHL,Asia,Philippines,2020-05-27,14669.0,350.0,886.0,13.0,133.864,3.194,8.085,0.119,7722.0,300941.0,2.746,0.07,7380.0,0.067,0.033,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-27,Philippines,PHL,"May 27, 2020",2,2020-05-27
PHL,Asia,Philippines,2020-05-28,15049.0,380.0,904.0,18.0,137.332,3.468,8.25,0.164,9283.0,310224.0,2.831,0.085,7465.0,0.068,0.035,people tested,96.3,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-28,Philippines,PHL,"May 28, 2020",2,2020-05-28
PHL,Asia,Philippines,2020-05-29,15588.0,539.0,921.0,17.0,142.251,4.919,8.405,0.155,8530.0,318754.0,2.909,0.078,7398.0,0.068,0.042,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-29,Philippines,PHL,"May 29, 2020",1,2020-05-29
PHL,Asia,Philippines,2020-05-30,16634.0,1046.0,942.0,21.0,151.796,9.545,8.596,0.192,9390.0,328144.0,2.995,0.086,7647.0,0.07,0.057,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-30,Philippines,PHL,"May 30, 2020",1,2020-05-30
PHL,Asia,Philippines,2020-05-31,17224.0,590.0,950.0,8.0,157.18,5.384,8.669,0.073,8973.0,337117.0,3.076,0.082,8087.0,0.074,0.061,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-05-31,Philippines,PHL,"May 31, 2020",1,2020-05-31
PHL,Asia,Philippines,2020-06-01,18086.0,862.0,957.0,7.0,165.047,7.866,8.733,0.064,7453.0,344570.0,3.144,0.068,8377.0,0.076,0.069,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-01,Philippines,PHL,"Jun 1, 2020",1,2020-06-01
PHL,Asia,Philippines,2020-06-02,18638.0,552.0,960.0,3.0,170.084,5.037,8.761,0.027,10655.0,355225.0,3.242,0.097,8858.0,0.081,0.07,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-02,Philippines,PHL,"Jun 2, 2020",1,2020-06-02
PHL,Asia,Philippines,2020-06-03,18997.0,359.0,966.0,6.0,173.36,3.276,8.815,0.055,10743.0,365968.0,3.34,0.098,9290.0,0.085,0.067,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-03,Philippines,PHL,"Jun 3, 2020",1,2020-06-03
PHL,Asia,Philippines,2020-06-04,19748.0,751.0,974.0,8.0,180.214,6.853,8.888,0.073,10306.0,376274.0,3.434,0.094,9436.0,0.086,0.071,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-04,Philippines,PHL,"Jun 4, 2020",1,2020-06-04
PHL,Asia,Philippines,2020-06-05,20382.0,634.0,984.0,10.0,185.999,5.786,8.98,0.091,10468.0,386742.0,3.529,0.096,9713.0,0.089,0.071,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-05,Philippines,PHL,"Jun 5, 2020",1,2020-06-05
PHL,Asia,Philippines,2020-06-06,20626.0,244.0,987.0,3.0,188.226,2.227,9.007,0.027,11732.0,398474.0,3.636,0.107,10047.0,0.092,0.057,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-06,Philippines,PHL,"Jun 6, 2020",1,2020-06-06
PHL,Asia,Philippines,2020-06-07,21340.0,714.0,994.0,7.0,194.742,6.516,9.071,0.064,8047.0,406521.0,3.71,0.073,9915.0,0.09,0.059000000000000004,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-07,Philippines,PHL,"Jun 7, 2020",1,2020-06-07
PHL,Asia,Philippines,2020-06-08,21895.0,555.0,1003.0,9.0,199.806,5.065,9.153,0.082,9919.0,416440.0,3.8,0.091,10267.0,0.094,0.053,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-08,Philippines,PHL,"Jun 8, 2020",1,2020-06-08
PHL,Asia,Philippines,2020-06-09,22474.0,579.0,1011.0,8.0,205.09,5.284,9.226,0.073,10782.0,427222.0,3.899,0.098,10285.0,0.094,0.053,people tested,77.78,109581085.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,71.23,2020-06-09,Philippines,PHL,"Jun 9, 2020",1,2020-06-09
