iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
POL,Europe,Poland,2020-05-05,14006.0,313.0,698.0,20.0,370.073,8.27,18.443,0.528,9642.0,359690.0,9.504,0.255,11129.0,0.294,0.027000000000000003,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-05,Poland,POL,"May 5, 2020",1,2020-05-05
POL,Europe,Poland,2020-05-06,14431.0,425.0,716.0,18.0,381.302,11.23,18.918,0.476,15004.0,374694.0,9.9,0.396,11444.0,0.302,0.027999999999999997,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-06,Poland,POL,"May 6, 2020",1,2020-05-06
POL,Europe,Poland,2020-05-07,14740.0,309.0,733.0,17.0,389.467,8.165,19.368,0.449,14382.0,389076.0,10.28,0.38,11711.0,0.309,0.026000000000000002,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-07,Poland,POL,"May 7, 2020",1,2020-05-07
POL,Europe,Poland,2020-05-08,15047.0,307.0,755.0,22.0,397.579,8.112,19.949,0.581,16206.0,405282.0,10.709,0.428,11790.0,0.312,0.026000000000000002,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-08,Poland,POL,"May 8, 2020",1,2020-05-08
POL,Europe,Poland,2020-05-09,15366.0,319.0,776.0,21.0,406.007,8.429,20.504,0.555,15886.0,421168.0,11.128,0.42,12544.0,0.331,0.026000000000000002,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-09,Poland,POL,"May 9, 2020",1,2020-05-09
POL,Europe,Poland,2020-05-10,15651.0,285.0,785.0,9.0,413.538,7.53,20.742,0.238,15473.0,436641.0,11.537,0.409,13414.0,0.354,0.024,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-10,Poland,POL,"May 10, 2020",1,2020-05-10
POL,Europe,Poland,2020-05-11,15996.0,345.0,800.0,15.0,422.653,9.116,21.138,0.396,13613.0,450254.0,11.897,0.36,14315.0,0.378,0.023,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-11,Poland,POL,"May 11, 2020",1,2020-05-11
POL,Europe,Poland,2020-05-12,16326.0,330.0,811.0,11.0,431.373,8.719,21.429,0.291,15722.0,465976.0,12.312,0.415,15184.0,0.401,0.022000000000000002,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-12,Poland,POL,"May 12, 2020",1,2020-05-12
POL,Europe,Poland,2020-05-13,16921.0,595.0,839.0,28.0,447.094,15.721,22.168,0.74,19193.0,485169.0,12.819,0.507,15782.0,0.417,0.023,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-13,Poland,POL,"May 13, 2020",1,2020-05-13
POL,Europe,Poland,2020-05-14,17204.0,283.0,861.0,22.0,454.572,7.478,22.75,0.581,21564.0,506733.0,13.389,0.57,16808.0,0.444,0.021,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-14,Poland,POL,"May 14, 2020",1,2020-05-14
POL,Europe,Poland,2020-05-15,17615.0,411.0,883.0,22.0,465.431,10.86,23.331,0.581,20162.0,526895.0,13.922,0.533,17373.0,0.459,0.021,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-15,Poland,POL,"May 15, 2020",1,2020-05-15
POL,Europe,Poland,2020-05-16,18016.0,401.0,907.0,24.0,476.027,10.595,23.965,0.634,22897.0,549792.0,14.527,0.605,18375.0,0.486,0.021,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-16,Poland,POL,"May 16, 2020",1,2020-05-16
POL,Europe,Poland,2020-05-17,18257.0,241.0,915.0,8.0,482.395,6.368,24.177,0.211,17263.0,567055.0,14.983,0.456,18631.0,0.492,0.02,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-17,Poland,POL,"May 17, 2020",1,2020-05-17
POL,Europe,Poland,2020-05-18,18529.0,272.0,925.0,10.0,489.582,7.187,24.441,0.264,14416.0,581471.0,15.364,0.381,18745.0,0.495,0.019,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-18,Poland,POL,"May 18, 2020",1,2020-05-18
POL,Europe,Poland,2020-05-19,18885.0,356.0,936.0,11.0,498.988,9.406,24.731,0.291,16254.0,597725.0,15.793,0.429,18821.0,0.497,0.019,people tested,83.33,37846605.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,78.73,2020-05-19,Poland,POL,"May 19, 2020",1,2020-05-19
