iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
PRT,Europe,Portugal,2020-03-10,39.0,9.0,0.0,0.0,3.825,0.883,0.0,0.0,306.0,976.0,0.096,0.03,121.0,0.012,0.044000000000000004,samples tested,25.0,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-10,Portugal,PRT,"Mar 10, 2020",0,2020-03-10
PRT,Europe,Portugal,2020-03-11,41.0,2.0,0.0,0.0,4.021,0.196,0.0,0.0,580.0,1556.0,0.153,0.057,198.0,0.019,0.027000000000000003,samples tested,25.0,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-11,Portugal,PRT,"Mar 11, 2020",0,2020-03-11
PRT,Europe,Portugal,2020-03-12,59.0,18.0,0.0,0.0,5.786,1.765,0.0,0.0,938.0,2494.0,0.245,0.092,320.0,0.031,0.024,samples tested,32.41,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-12,Portugal,PRT,"Mar 12, 2020",0,2020-03-12
PRT,Europe,Portugal,2020-03-13,78.0,19.0,0.0,0.0,7.65,1.863,0.0,0.0,1551.0,4045.0,0.397,0.152,530.0,0.052,0.019,samples tested,32.41,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-13,Portugal,PRT,"Mar 13, 2020",0,2020-03-13
PRT,Europe,Portugal,2020-03-14,112.0,34.0,0.0,0.0,10.984,3.334,0.0,0.0,1253.0,5298.0,0.52,0.123,698.0,0.068,0.02,samples tested,32.41,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-14,Portugal,PRT,"Mar 14, 2020",0,2020-03-14
PRT,Europe,Portugal,2020-03-15,169.0,57.0,0.0,0.0,16.574,5.59,0.0,0.0,951.0,6249.0,0.613,0.093,822.0,0.081,0.026000000000000002,samples tested,32.41,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-15,Portugal,PRT,"Mar 15, 2020",0,2020-03-15
PRT,Europe,Portugal,2020-03-16,245.0,76.0,0.0,0.0,24.027,7.453,0.0,0.0,1677.0,7926.0,0.777,0.164,1037.0,0.102,0.03,samples tested,37.96,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-16,Portugal,PRT,"Mar 16, 2020",0,2020-03-16
PRT,Europe,Portugal,2020-03-17,331.0,86.0,0.0,0.0,32.461,8.434,0.0,0.0,2304.0,10230.0,1.003,0.226,1322.0,0.13,0.032,samples tested,37.96,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-17,Portugal,PRT,"Mar 17, 2020",0,2020-03-17
PRT,Europe,Portugal,2020-03-18,448.0,117.0,1.0,1.0,43.936,11.474,0.098,0.098,2458.0,12688.0,1.244,0.241,1590.0,0.156,0.037000000000000005,samples tested,37.96,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-18,Portugal,PRT,"Mar 18, 2020",0,2020-03-18
PRT,Europe,Portugal,2020-03-19,642.0,194.0,2.0,1.0,62.962,19.026,0.196,0.098,2490.0,15178.0,1.489,0.244,1812.0,0.178,0.046,samples tested,82.41,10196707.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,82.05,2020-03-19,Portugal,PRT,"Mar 19, 2020",2,2020-03-19
