iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
QAT,Asia,Qatar,2020-03-22,481.0,11.0,0.0,0.0,166.952,3.818,0.0,0.0,499.0,10857.0,3.768,0.173,415.0,0.144,0.05,people tested,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-22,Qatar,QAT,"Mar 22, 2020",1,2020-03-22
QAT,Asia,Qatar,2020-03-23,494.0,13.0,0.0,0.0,171.465,4.512,0.0,0.0,674.0,11531.0,4.002,0.234,468.0,0.162,0.027999999999999997,people tested,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-23,Qatar,QAT,"Mar 23, 2020",1,2020-03-23
QAT,Asia,Qatar,2020-03-26,537.0,11.0,0.0,0.0,186.39,3.818,0.0,0.0,1423.0,13681.0,4.749,0.494,603.0,0.209,0.02,people tested,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-26,Qatar,QAT,"Mar 26, 2020",1,2020-03-26
QAT,Asia,Qatar,2020-03-27,549.0,12.0,0.0,0.0,190.555,4.165,0.0,0.0,1164.0,14845.0,5.153,0.404,705.0,0.245,0.018000000000000002,people tested,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-27,Qatar,QAT,"Mar 27, 2020",1,2020-03-27
QAT,Asia,Qatar,2020-03-28,562.0,13.0,0.0,0.0,195.067,4.512,0.0,0.0,1737.0,16582.0,5.756,0.603,889.0,0.309,0.015,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-28,Qatar,QAT,"Mar 28, 2020",1,2020-03-28
QAT,Asia,Qatar,2020-03-29,590.0,28.0,1.0,1.0,204.786,9.719,0.347,0.347,2295.0,18877.0,6.552,0.797,1146.0,0.398,0.013999999999999999,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-29,Qatar,QAT,"Mar 29, 2020",1,2020-03-29
QAT,Asia,Qatar,2020-03-30,634.0,44.0,1.0,0.0,220.058,15.272,0.347,0.0,1181.0,20058.0,6.962,0.41,1218.0,0.423,0.016,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-30,Qatar,QAT,"Mar 30, 2020",1,2020-03-30
QAT,Asia,Qatar,2020-03-31,693.0,59.0,1.0,0.0,240.536,20.479,0.347,0.0,2336.0,22394.0,7.773,0.811,1500.0,0.521,0.018000000000000002,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-03-31,Qatar,QAT,"Mar 31, 2020",1,2020-03-31
QAT,Asia,Qatar,2020-04-01,781.0,88.0,2.0,1.0,271.081,30.544,0.694,0.347,2431.0,24825.0,8.617,0.844,1795.0,0.623,0.02,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-01,Qatar,QAT,"Apr 1, 2020",1,2020-04-01
QAT,Asia,Qatar,2020-04-02,835.0,54.0,2.0,0.0,289.824,18.743,0.694,0.0,1435.0,26260.0,9.115,0.498,1797.0,0.624,0.024,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-02,Qatar,QAT,"Apr 2, 2020",1,2020-04-02
QAT,Asia,Qatar,2020-04-03,949.0,114.0,3.0,1.0,329.393,39.569,1.041,0.347,2171.0,28431.0,9.868,0.754,1941.0,0.674,0.028999999999999998,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-03,Qatar,QAT,"Apr 3, 2020",1,2020-04-03
QAT,Asia,Qatar,2020-04-04,949.0,0.0,3.0,0.0,329.393,0.0,1.041,0.0,3520.0,31951.0,11.09,1.222,2196.0,0.762,0.025,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-04,Qatar,QAT,"Apr 4, 2020",1,2020-04-04
QAT,Asia,Qatar,2020-04-05,1325.0,376.0,3.0,0.0,459.9,130.508,1.041,0.0,3806.0,35757.0,12.411,1.321,2411.0,0.837,0.044000000000000004,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-05,Qatar,QAT,"Apr 5, 2020",1,2020-04-05
QAT,Asia,Qatar,2020-04-06,1604.0,279.0,4.0,1.0,556.74,96.839,1.388,0.347,2351.0,38108.0,13.227,0.816,2579.0,0.895,0.054000000000000006,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-06,Qatar,QAT,"Apr 6, 2020",1,2020-04-06
QAT,Asia,Qatar,2020-04-07,1832.0,228.0,4.0,0.0,635.877,79.138,1.388,0.0,3710.0,41818.0,14.515,1.288,2775.0,0.963,0.059000000000000004,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-07,Qatar,QAT,"Apr 7, 2020",1,2020-04-07
QAT,Asia,Qatar,2020-04-10,2376.0,166.0,6.0,0.0,824.696,57.618,2.083,0.0,2195.0,45339.0,15.737,0.762,2415.0,0.838,0.084,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-10,Qatar,QAT,"Apr 10, 2020",1,2020-04-10
QAT,Asia,Qatar,2020-04-11,2512.0,136.0,6.0,0.0,871.901,47.205,2.083,0.0,2412.0,47751.0,16.574,0.837,2257.0,0.783,0.099,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-11,Qatar,QAT,"Apr 11, 2020",1,2020-04-11
QAT,Asia,Qatar,2020-04-12,2728.0,216.0,6.0,0.0,946.874,74.972,2.083,0.0,1351.0,49102.0,17.043,0.469,1906.0,0.662,0.105,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-12,Qatar,QAT,"Apr 12, 2020",1,2020-04-12
QAT,Asia,Qatar,2020-04-13,2979.0,251.0,7.0,1.0,1033.994,87.121,2.43,0.347,1726.0,50828.0,17.642,0.599,1817.0,0.631,0.10800000000000001,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-13,Qatar,QAT,"Apr 13, 2020",1,2020-04-13
QAT,Asia,Qatar,2020-04-14,3231.0,252.0,7.0,0.0,1121.462,87.468,2.43,0.0,1794.0,52622.0,18.265,0.623,1543.0,0.536,0.13,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-14,Qatar,QAT,"Apr 14, 2020",1,2020-04-14
QAT,Asia,Qatar,2020-04-15,3428.0,197.0,7.0,0.0,1189.84,68.378,2.43,0.0,1862.0,54484.0,18.911,0.646,1715.0,0.595,0.114,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-15,Qatar,QAT,"Apr 15, 2020",1,2020-04-15
QAT,Asia,Qatar,2020-04-16,3711.0,283.0,7.0,0.0,1288.068,98.228,2.43,0.0,1897.0,56381.0,19.57,0.658,1891.0,0.656,0.113,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-16,Qatar,QAT,"Apr 16, 2020",1,2020-04-16
QAT,Asia,Qatar,2020-04-17,4103.0,392.0,7.0,0.0,1424.129,136.061,2.43,0.0,1947.0,58328.0,20.245,0.676,1856.0,0.644,0.133,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-17,Qatar,QAT,"Apr 17, 2020",1,2020-04-17
QAT,Asia,Qatar,2020-04-18,4663.0,560.0,7.0,0.0,1618.502,194.373,2.43,0.0,1811.0,60139.0,20.874,0.629,1770.0,0.614,0.174,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-18,Qatar,QAT,"Apr 18, 2020",1,2020-04-18
QAT,Asia,Qatar,2020-04-19,5008.0,345.0,8.0,1.0,1738.249,119.748,2.777,0.347,2399.0,62538.0,21.707,0.833,1919.0,0.666,0.17,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-19,Qatar,QAT,"Apr 19, 2020",1,2020-04-19
QAT,Asia,Qatar,2020-04-20,5448.0,440.0,8.0,0.0,1890.971,152.722,2.777,0.0,2082.0,64620.0,22.429,0.723,1970.0,0.684,0.179,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-20,Qatar,QAT,"Apr 20, 2020",1,2020-04-20
QAT,Asia,Qatar,2020-04-21,6015.0,567.0,9.0,1.0,2087.773,196.803,3.124,0.347,2105.0,66725.0,23.16,0.731,2015.0,0.699,0.19699999999999998,people tested,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-21,Qatar,QAT,"Apr 21, 2020",1,2020-04-21
QAT,Asia,Qatar,2020-04-22,6533.0,518.0,9.0,0.0,2267.568,179.795,3.124,0.0,3287.0,70012.0,24.301,1.141,2218.0,0.77,0.2,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-22,Qatar,QAT,"Apr 22, 2020",1,2020-04-22
QAT,Asia,Qatar,2020-04-23,7141.0,608.0,10.0,1.0,2478.602,211.033,3.471,0.347,3445.0,73457.0,25.497,1.196,2439.0,0.847,0.201,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-23,Qatar,QAT,"Apr 23, 2020",1,2020-04-23
QAT,Asia,Qatar,2020-04-24,7764.0,623.0,10.0,0.0,2694.841,216.24,3.471,0.0,2431.0,75888.0,26.34,0.844,2509.0,0.871,0.20800000000000002,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-24,Qatar,QAT,"Apr 24, 2020",1,2020-04-24
QAT,Asia,Qatar,2020-04-25,8525.0,761.0,10.0,0.0,2958.98,264.139,3.471,0.0,3817.0,79705.0,27.665,1.325,2795.0,0.97,0.19699999999999998,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-25,Qatar,QAT,"Apr 25, 2020",1,2020-04-25
QAT,Asia,Qatar,2020-04-26,9358.0,833.0,10.0,0.0,3248.11,289.13,3.471,0.0,2584.0,82289.0,28.562,0.897,2822.0,0.98,0.22,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-26,Qatar,QAT,"Apr 26, 2020",1,2020-04-26
QAT,Asia,Qatar,2020-04-27,10287.0,929.0,10.0,0.0,3570.561,322.451,3.471,0.0,3420.0,85709.0,29.749,1.187,3013.0,1.046,0.22899999999999998,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-27,Qatar,QAT,"Apr 27, 2020",1,2020-04-27
QAT,Asia,Qatar,2020-04-28,11244.0,957.0,10.0,0.0,3902.73,332.169,3.471,0.0,2898.0,88607.0,30.755,1.006,3126.0,1.085,0.239,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-28,Qatar,QAT,"Apr 28, 2020",1,2020-04-28
QAT,Asia,Qatar,2020-04-29,11921.0,677.0,10.0,0.0,4137.713,234.983,3.471,0.0,2808.0,91415.0,31.73,0.975,3058.0,1.061,0.252,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-29,Qatar,QAT,"Apr 29, 2020",1,2020-04-29
QAT,Asia,Qatar,2020-04-30,12564.0,643.0,10.0,0.0,4360.895,223.182,3.471,0.0,3085.0,94500.0,32.8,1.071,3006.0,1.043,0.258,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-04-30,Qatar,QAT,"Apr 30, 2020",1,2020-04-30
QAT,Asia,Qatar,2020-05-01,13409.0,845.0,10.0,0.0,4654.19,293.295,3.471,0.0,3226.0,97726.0,33.92,1.12,3120.0,1.083,0.258,people tested,83.33,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,80.23,2020-05-01,Qatar,QAT,"May 1, 2020",1,2020-05-01
