iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ROU,Europe,Romania,2020-03-19,260.0,43.0,0.0,0.0,13.515,2.235,0.0,0.0,303.0,4973.0,0.259,0.016,436.0,0.023,0.07,tests performed,61.11,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-19,Romania,ROU,"Mar 19, 2020",1,2020-03-19
ROU,Europe,Romania,2020-03-20,277.0,17.0,0.0,0.0,14.399,0.884,0.0,0.0,3311.0,8284.0,0.431,0.172,820.0,0.043,0.037000000000000005,tests performed,61.11,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-20,Romania,ROU,"Mar 20, 2020",1,2020-03-20
ROU,Europe,Romania,2020-03-21,308.0,31.0,0.0,0.0,16.01,1.611,0.0,0.0,631.0,8915.0,0.463,0.033,855.0,0.044,0.037000000000000005,tests performed,69.44,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-21,Romania,ROU,"Mar 21, 2020",1,2020-03-21
ROU,Europe,Romania,2020-03-22,367.0,59.0,0.0,0.0,19.077,3.067,0.0,0.0,1052.0,9967.0,0.518,0.055,966.0,0.05,0.038,tests performed,75.0,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-22,Romania,ROU,"Mar 22, 2020",1,2020-03-22
ROU,Europe,Romania,2020-03-23,433.0,66.0,2.0,2.0,22.508,3.431,0.104,0.104,1256.0,11223.0,0.583,0.065,1074.0,0.056,0.039,tests performed,75.0,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-23,Romania,ROU,"Mar 23, 2020",1,2020-03-23
ROU,Europe,Romania,2020-03-24,576.0,143.0,7.0,5.0,29.941,7.433,0.364,0.26,1401.0,12624.0,0.656,0.073,1211.0,0.063,0.046,tests performed,75.0,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-24,Romania,ROU,"Mar 24, 2020",1,2020-03-24
ROU,Europe,Romania,2020-03-25,762.0,186.0,11.0,4.0,39.61,9.669,0.572,0.208,1842.0,14466.0,0.752,0.096,1399.0,0.073,0.055999999999999994,tests performed,78.7,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-25,Romania,ROU,"Mar 25, 2020",2,2020-03-25
ROU,Europe,Romania,2020-03-26,906.0,144.0,13.0,2.0,47.095,7.485,0.676,0.104,1532.0,15998.0,0.832,0.08,1575.0,0.082,0.059000000000000004,tests performed,78.7,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-26,Romania,ROU,"Mar 26, 2020",2,2020-03-26
ROU,Europe,Romania,2020-03-27,1029.0,123.0,17.0,4.0,53.489,6.394,0.884,0.208,1455.0,17453.0,0.907,0.076,1310.0,0.068,0.08199999999999999,tests performed,78.7,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-27,Romania,ROU,"Mar 27, 2020",2,2020-03-27
ROU,Europe,Romania,2020-03-28,1292.0,263.0,24.0,7.0,67.16,13.671,1.248,0.364,2210.0,19663.0,1.022,0.115,1535.0,0.08,0.092,tests performed,78.7,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-28,Romania,ROU,"Mar 28, 2020",2,2020-03-28
ROU,Europe,Romania,2020-03-29,1452.0,160.0,29.0,5.0,75.477,8.317,1.507,0.26,1797.0,21460.0,1.116,0.093,1642.0,0.085,0.094,tests performed,78.7,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-29,Romania,ROU,"Mar 29, 2020",2,2020-03-29
ROU,Europe,Romania,2020-03-30,1760.0,308.0,40.0,11.0,91.487,16.01,2.079,0.572,1643.0,23103.0,1.201,0.085,1697.0,0.088,0.11199999999999999,tests performed,81.48,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-30,Romania,ROU,"Mar 30, 2020",2,2020-03-30
ROU,Europe,Romania,2020-03-31,1952.0,192.0,44.0,4.0,101.468,9.98,2.287,0.208,1551.0,24654.0,1.282,0.081,1719.0,0.089,0.114,tests performed,87.04,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-03-31,Romania,ROU,"Mar 31, 2020",2,2020-03-31
ROU,Europe,Romania,2020-04-01,2245.0,293.0,69.0,25.0,116.698,15.231,3.587,1.3,1955.0,26609.0,1.383,0.102,1735.0,0.09,0.122,tests performed,87.04,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-04-01,Romania,ROU,"Apr 1, 2020",2,2020-04-01
ROU,Europe,Romania,2020-04-02,2460.0,215.0,85.0,16.0,127.874,11.176,4.418,0.832,1874.0,28483.0,1.481,0.097,1784.0,0.093,0.124,tests performed,87.04,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-04-02,Romania,ROU,"Apr 2, 2020",2,2020-04-02
ROU,Europe,Romania,2020-04-03,2738.0,278.0,94.0,9.0,142.325,14.451,4.886,0.468,3174.0,31657.0,1.646,0.165,2029.0,0.105,0.12,tests performed,87.04,19237682.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,76.05,2020-04-03,Romania,ROU,"Apr 3, 2020",2,2020-04-03
