iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
RUS,Europe,Russia,2020-03-11,10.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,6362.0,76963.0,0.527,0.044,4364.0,0.03,0.0,tests performed,31.94,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-11,Russia,RUS,"Mar 11, 2020",2,2020-03-11
RUS,Europe,Russia,2020-03-14,45.0,15.0,0.0,0.0,0.308,0.103,0.0,0.0,10031.0,104883.0,0.719,0.069,6418.0,0.044,0.001,tests performed,35.65,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-14,Russia,RUS,"Mar 14, 2020",2,2020-03-14
RUS,Europe,Russia,2020-03-15,59.0,14.0,0.0,0.0,0.404,0.096,0.0,0.0,5056.0,109939.0,0.753,0.035,6678.0,0.046,0.001,tests performed,35.65,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-15,Russia,RUS,"Mar 15, 2020",2,2020-03-15
RUS,Europe,Russia,2020-03-16,63.0,4.0,0.0,0.0,0.432,0.027,0.0,0.0,6122.0,116061.0,0.795,0.042,7024.0,0.048,0.001,tests performed,52.31,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-16,Russia,RUS,"Mar 16, 2020",2,2020-03-16
RUS,Europe,Russia,2020-03-17,93.0,30.0,0.0,0.0,0.637,0.206,0.0,0.0,6793.0,122854.0,0.842,0.047,7465.0,0.051,0.002,tests performed,62.5,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-17,Russia,RUS,"Mar 17, 2020",2,2020-03-17
RUS,Europe,Russia,2020-03-18,114.0,21.0,0.0,0.0,0.781,0.144,0.0,0.0,10247.0,133101.0,0.912,0.07,8020.0,0.055,0.002,tests performed,62.5,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-18,Russia,RUS,"Mar 18, 2020",2,2020-03-18
RUS,Europe,Russia,2020-03-19,147.0,33.0,0.0,0.0,1.007,0.226,0.0,0.0,10418.0,143519.0,0.983,0.071,8230.0,0.056,0.002,tests performed,68.06,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-19,Russia,RUS,"Mar 19, 2020",2,2020-03-19
RUS,Europe,Russia,2020-03-20,199.0,52.0,0.0,0.0,1.364,0.356,0.0,0.0,12497.0,156016.0,1.069,0.086,8738.0,0.06,0.003,tests performed,68.06,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-20,Russia,RUS,"Mar 20, 2020",2,2020-03-20
RUS,Europe,Russia,2020-03-21,253.0,54.0,0.0,0.0,1.734,0.37,0.0,0.0,7513.0,163529.0,1.121,0.051,8378.0,0.057,0.004,tests performed,69.91,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-21,Russia,RUS,"Mar 21, 2020",2,2020-03-21
RUS,Europe,Russia,2020-03-22,306.0,53.0,0.0,0.0,2.097,0.363,0.0,0.0,2243.0,165772.0,1.136,0.015,7976.0,0.055,0.004,tests performed,69.91,145934460.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,72.58,2020-03-22,Russia,RUS,"Mar 22, 2020",2,2020-03-22
