iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
RWA,Africa,Rwanda,2020-04-13,126.0,6.0,0.0,0.0,9.728,0.463,0.0,0.0,901.0,11938.0,0.922,0.07,891.0,0.069,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-13,Rwanda,RWA,"Apr 13, 2020",2,2020-04-13
RWA,Africa,Rwanda,2020-04-14,127.0,1.0,0.0,0.0,9.805,0.077,0.0,0.0,983.0,12921.0,0.998,0.076,916.0,0.071,0.003,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-14,Rwanda,RWA,"Apr 14, 2020",2,2020-04-14
RWA,Africa,Rwanda,2020-04-15,134.0,7.0,0.0,0.0,10.346,0.54,0.0,0.0,923.0,13844.0,1.069,0.071,938.0,0.072,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-15,Rwanda,RWA,"Apr 15, 2020",2,2020-04-15
RWA,Africa,Rwanda,2020-04-16,136.0,2.0,0.0,0.0,10.5,0.154,0.0,0.0,664.0,14508.0,1.12,0.051,930.0,0.072,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-16,Rwanda,RWA,"Apr 16, 2020",2,2020-04-16
RWA,Africa,Rwanda,2020-04-17,138.0,2.0,0.0,0.0,10.655,0.154,0.0,0.0,760.0,15268.0,1.179,0.059,890.0,0.069,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-17,Rwanda,RWA,"Apr 17, 2020",2,2020-04-17
RWA,Africa,Rwanda,2020-04-18,143.0,5.0,0.0,0.0,11.041,0.386,0.0,0.0,712.0,15980.0,1.234,0.055,872.0,0.067,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-18,Rwanda,RWA,"Apr 18, 2020",2,2020-04-18
RWA,Africa,Rwanda,2020-04-19,144.0,1.0,0.0,0.0,11.118,0.077,0.0,0.0,722.0,16702.0,1.29,0.056,809.0,0.062,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-19,Rwanda,RWA,"Apr 19, 2020",2,2020-04-19
RWA,Africa,Rwanda,2020-04-20,147.0,3.0,0.0,0.0,11.349,0.232,0.0,0.0,1299.0,18001.0,1.39,0.1,866.0,0.067,0.003,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-20,Rwanda,RWA,"Apr 20, 2020",2,2020-04-20
RWA,Africa,Rwanda,2020-04-21,147.0,0.0,0.0,0.0,11.349,0.0,0.0,0.0,1449.0,19450.0,1.502,0.112,933.0,0.072,0.003,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-21,Rwanda,RWA,"Apr 21, 2020",2,2020-04-21
RWA,Africa,Rwanda,2020-04-22,150.0,3.0,0.0,0.0,11.581,0.232,0.0,0.0,1038.0,20488.0,1.582,0.08,949.0,0.073,0.002,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-22,Rwanda,RWA,"Apr 22, 2020",2,2020-04-22
RWA,Africa,Rwanda,2020-04-23,153.0,3.0,0.0,0.0,11.813,0.232,0.0,0.0,1343.0,21831.0,1.686,0.104,1046.0,0.081,0.002,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-23,Rwanda,RWA,"Apr 23, 2020",2,2020-04-23
RWA,Africa,Rwanda,2020-04-24,154.0,1.0,0.0,0.0,11.89,0.077,0.0,0.0,1046.0,22877.0,1.766,0.081,1087.0,0.084,0.002,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-24,Rwanda,RWA,"Apr 24, 2020",2,2020-04-24
RWA,Africa,Rwanda,2020-04-25,176.0,22.0,0.0,0.0,13.588,1.699,0.0,0.0,1275.0,24152.0,1.865,0.098,1167.0,0.09,0.004,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-25,Rwanda,RWA,"Apr 25, 2020",2,2020-04-25
RWA,Africa,Rwanda,2020-04-26,183.0,7.0,0.0,0.0,14.129,0.54,0.0,0.0,1025.0,25177.0,1.944,0.079,1211.0,0.093,0.005,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-26,Rwanda,RWA,"Apr 26, 2020",2,2020-04-26
RWA,Africa,Rwanda,2020-04-27,191.0,8.0,0.0,0.0,14.747,0.618,0.0,0.0,1214.0,26391.0,2.038,0.094,1199.0,0.093,0.005,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-27,Rwanda,RWA,"Apr 27, 2020",2,2020-04-27
RWA,Africa,Rwanda,2020-04-28,207.0,16.0,0.0,0.0,15.982,1.235,0.0,0.0,1505.0,27896.0,2.154,0.116,1207.0,0.093,0.006999999999999999,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-28,Rwanda,RWA,"Apr 28, 2020",2,2020-04-28
RWA,Africa,Rwanda,2020-04-29,212.0,5.0,0.0,0.0,16.368,0.386,0.0,0.0,1705.0,29601.0,2.285,0.132,1302.0,0.101,0.006999999999999999,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-29,Rwanda,RWA,"Apr 29, 2020",2,2020-04-29
RWA,Africa,Rwanda,2020-04-30,225.0,13.0,0.0,0.0,17.372,1.004,0.0,0.0,1140.0,30741.0,2.373,0.088,1273.0,0.098,0.008,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-04-30,Rwanda,RWA,"Apr 30, 2020",2,2020-04-30
RWA,Africa,Rwanda,2020-05-01,243.0,18.0,0.0,0.0,18.761,1.39,0.0,0.0,1365.0,32106.0,2.479,0.105,1318.0,0.102,0.01,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-05-01,Rwanda,RWA,"May 1, 2020",2,2020-05-01
RWA,Africa,Rwanda,2020-05-02,249.0,6.0,0.0,0.0,19.225,0.463,0.0,0.0,1197.0,33303.0,2.571,0.092,1307.0,0.101,0.008,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-05-02,Rwanda,RWA,"May 2, 2020",2,2020-05-02
RWA,Africa,Rwanda,2020-05-03,255.0,6.0,0.0,0.0,19.688,0.463,0.0,0.0,1047.0,34350.0,2.652,0.081,1310.0,0.101,0.008,units unclear,90.74,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-05-03,Rwanda,RWA,"May 3, 2020",2,2020-05-03
RWA,Africa,Rwanda,2020-05-04,259.0,4.0,0.0,0.0,19.997,0.309,0.0,0.0,746.0,35096.0,2.71,0.058,1244.0,0.096,0.008,units unclear,69.44,12952209.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,69.02,2020-05-04,Rwanda,RWA,"May 4, 2020",1,2020-05-04
