iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
SAU,Asia,Saudi Arabia,2020-05-13,42925.0,1911.0,264.0,9.0,1232.986,54.892,7.583,0.259,14574.0,496948.0,14.274,0.419,15327.0,0.44,0.11800000000000001,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-13,Saudi Arabia,SAU,"May 13, 2020",3,2020-05-13
SAU,Asia,Saudi Arabia,2020-05-14,44830.0,1905.0,273.0,9.0,1287.705,54.72,7.842,0.259,16639.0,513587.0,14.752,0.478,15415.0,0.443,0.11900000000000001,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-14,Saudi Arabia,SAU,"May 14, 2020",3,2020-05-14
SAU,Asia,Saudi Arabia,2020-05-15,46869.0,2039.0,283.0,10.0,1346.274,58.569,8.129,0.287,16678.0,530265.0,15.231,0.479,15935.0,0.458,0.11800000000000001,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-15,Saudi Arabia,SAU,"May 15, 2020",3,2020-05-15
SAU,Asia,Saudi Arabia,2020-05-16,49176.0,2307.0,292.0,9.0,1412.541,66.267,8.387,0.259,17758.0,548023.0,15.742,0.51,16360.0,0.47,0.12,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-16,Saudi Arabia,SAU,"May 16, 2020",3,2020-05-16
SAU,Asia,Saudi Arabia,2020-05-17,52016.0,2840.0,302.0,10.0,1494.117,81.577,8.675,0.287,38382.0,586405.0,16.844,1.102,19537.0,0.561,0.109,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-17,Saudi Arabia,SAU,"May 17, 2020",3,2020-05-17
SAU,Asia,Saudi Arabia,2020-05-18,54752.0,2736.0,312.0,10.0,1572.707,78.589,8.962,0.287,15549.0,601954.0,17.291,0.447,19226.0,0.552,0.11699999999999999,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-18,Saudi Arabia,SAU,"May 18, 2020",3,2020-05-18
SAU,Asia,Saudi Arabia,2020-05-19,57345.0,2593.0,320.0,8.0,1647.188,74.482,9.192,0.23,16130.0,618084.0,17.754,0.463,19387.0,0.557,0.12,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-19,Saudi Arabia,SAU,"May 19, 2020",3,2020-05-19
SAU,Asia,Saudi Arabia,2020-05-20,59854.0,2509.0,329.0,9.0,1719.257,72.069,9.45,0.259,33074.0,651158.0,18.704,0.95,22030.0,0.633,0.11,units unclear,89.81,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-20,Saudi Arabia,SAU,"May 20, 2020",3,2020-05-20
SAU,Asia,Saudi Arabia,2020-05-23,67719.0,2642.0,364.0,13.0,1945.173,75.889,10.456,0.373,17558.0,684615.0,19.665,0.504,19513.0,0.56,0.136,units unclear,91.67,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-23,Saudi Arabia,SAU,"May 23, 2020",3,2020-05-23
SAU,Asia,Saudi Arabia,2020-05-24,70161.0,2442.0,379.0,15.0,2015.318,70.144,10.886,0.431,18919.0,703534.0,20.208,0.543,16733.0,0.481,0.155,units unclear,91.67,34813867.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,75.13,2020-05-24,Saudi Arabia,SAU,"May 24, 2020",3,2020-05-24
