iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
SEN,Africa,Senegal,2020-03-13,6.0,2.0,0.0,0.0,0.358,0.119,0.0,0.0,11.0,52.0,0.003,0.001,5.0,0.0,0.057,tests performed,0.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-13,Senegal,SEN,"Mar 13, 2020",0,2020-03-13
SEN,Africa,Senegal,2020-03-14,19.0,13.0,0.0,0.0,1.135,0.776,0.0,0.0,3.0,55.0,0.003,0.0,5.0,0.0,0.429,tests performed,27.78,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-14,Senegal,SEN,"Mar 14, 2020",0,2020-03-14
SEN,Africa,Senegal,2020-03-15,21.0,2.0,0.0,0.0,1.254,0.119,0.0,0.0,2.0,57.0,0.003,0.0,5.0,0.0,0.486,tests performed,30.56,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-15,Senegal,SEN,"Mar 15, 2020",0,2020-03-15
SEN,Africa,Senegal,2020-03-16,26.0,5.0,0.0,0.0,1.553,0.299,0.0,0.0,9.0,66.0,0.004,0.001,6.0,0.0,0.524,tests performed,41.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-16,Senegal,SEN,"Mar 16, 2020",0,2020-03-16
SEN,Africa,Senegal,2020-03-17,27.0,1.0,0.0,0.0,1.613,0.06,0.0,0.0,44.0,110.0,0.007,0.003,12.0,0.001,0.27399999999999997,tests performed,41.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-17,Senegal,SEN,"Mar 17, 2020",0,2020-03-17
SEN,Africa,Senegal,2020-03-18,31.0,4.0,0.0,0.0,1.851,0.239,0.0,0.0,27.0,137.0,0.008,0.002,15.0,0.001,0.257,tests performed,47.22,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-18,Senegal,SEN,"Mar 18, 2020",0,2020-03-18
SEN,Africa,Senegal,2020-03-19,36.0,5.0,0.0,0.0,2.15,0.299,0.0,0.0,22.0,159.0,0.009,0.001,17.0,0.001,0.26899999999999996,tests performed,47.22,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-19,Senegal,SEN,"Mar 19, 2020",0,2020-03-19
SEN,Africa,Senegal,2020-03-20,36.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,56.0,215.0,0.013,0.003,23.0,0.001,0.18600000000000003,tests performed,50.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-20,Senegal,SEN,"Mar 20, 2020",0,2020-03-20
SEN,Africa,Senegal,2020-03-21,47.0,11.0,0.0,0.0,2.807,0.657,0.0,0.0,31.0,246.0,0.015,0.002,27.0,0.002,0.14800000000000002,tests performed,50.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-21,Senegal,SEN,"Mar 21, 2020",0,2020-03-21
SEN,Africa,Senegal,2020-03-22,56.0,9.0,0.0,0.0,3.344,0.538,0.0,0.0,85.0,331.0,0.02,0.005,39.0,0.002,0.128,tests performed,50.0,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-22,Senegal,SEN,"Mar 22, 2020",0,2020-03-22
SEN,Africa,Senegal,2020-03-23,67.0,11.0,0.0,0.0,4.001,0.657,0.0,0.0,60.0,391.0,0.023,0.004,46.0,0.003,0.127,tests performed,66.67,16743930.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,67.94,2020-03-23,Senegal,SEN,"Mar 23, 2020",0,2020-03-23
