iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
SVK,Europe,Slovakia,2020-03-22,178.0,41.0,0.0,0.0,32.603,7.51,0.0,0.0,242.0,3489.0,0.639,0.044,278.0,0.051,0.069,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-03-22,Slovakia,SVK,"Mar 22, 2020",1,2020-03-22
SVK,Europe,Slovakia,2020-03-23,185.0,7.0,0.0,0.0,33.885,1.282,0.0,0.0,29.0,3518.0,0.644,0.005,229.0,0.042,0.077,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-03-23,Slovakia,SVK,"Mar 23, 2020",1,2020-03-23
SVK,Europe,Slovakia,2020-04-03,426.0,26.0,0.0,0.0,78.027,4.762,0.0,0.0,1889.0,13631.0,2.497,0.346,1033.0,0.189,0.027999999999999997,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-03,Slovakia,SVK,"Apr 3, 2020",1,2020-04-03
SVK,Europe,Slovakia,2020-04-04,450.0,24.0,0.0,0.0,82.423,4.396,0.0,0.0,1524.0,15155.0,2.776,0.279,1146.0,0.21,0.019,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-04,Slovakia,SVK,"Apr 4, 2020",1,2020-04-04
SVK,Europe,Slovakia,2020-04-09,682.0,101.0,2.0,0.0,124.917,18.499,0.366,0.0,2301.0,23672.0,4.336,0.421,1704.0,0.312,0.024,tests performed,87.04,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-09,Slovakia,SVK,"Apr 9, 2020",2,2020-04-09
SVK,Europe,Slovakia,2020-04-10,701.0,19.0,2.0,0.0,128.397,3.48,0.366,0.0,2174.0,25846.0,4.734,0.398,1745.0,0.32,0.023,tests performed,87.04,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-10,Slovakia,SVK,"Apr 10, 2020",2,2020-04-10
SVK,Europe,Slovakia,2020-04-11,715.0,14.0,2.0,0.0,130.961,2.564,0.366,0.0,1580.0,27426.0,5.023,0.289,1753.0,0.321,0.022000000000000002,tests performed,87.04,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-11,Slovakia,SVK,"Apr 11, 2020",2,2020-04-11
SVK,Europe,Slovakia,2020-04-12,728.0,13.0,2.0,0.0,133.342,2.381,0.366,0.0,1324.0,28750.0,5.266,0.243,1720.0,0.315,0.021,tests performed,87.04,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-12,Slovakia,SVK,"Apr 12, 2020",2,2020-04-12
SVK,Europe,Slovakia,2020-04-13,742.0,14.0,2.0,0.0,135.906,2.564,0.366,0.0,1302.0,30052.0,5.504,0.238,1684.0,0.308,0.022000000000000002,tests performed,87.04,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-13,Slovakia,SVK,"Apr 13, 2020",2,2020-04-13
SVK,Europe,Slovakia,2020-04-14,769.0,27.0,2.0,0.0,140.852,4.945,0.366,0.0,1439.0,31491.0,5.768,0.264,1668.0,0.306,0.02,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-14,Slovakia,SVK,"Apr 14, 2020",1,2020-04-14
SVK,Europe,Slovakia,2020-04-15,835.0,66.0,2.0,0.0,152.94,12.089,0.366,0.0,2967.0,34458.0,6.311,0.543,1870.0,0.343,0.019,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-15,Slovakia,SVK,"Apr 15, 2020",1,2020-04-15
SVK,Europe,Slovakia,2020-04-16,863.0,28.0,6.0,4.0,158.069,5.129,1.099,0.733,3351.0,37809.0,6.925,0.614,2020.0,0.37,0.013000000000000001,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-16,Slovakia,SVK,"Apr 16, 2020",1,2020-04-16
SVK,Europe,Slovakia,2020-04-17,977.0,114.0,8.0,2.0,178.949,20.88,1.465,0.366,3144.0,40953.0,7.501,0.576,2158.0,0.395,0.018000000000000002,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-17,Slovakia,SVK,"Apr 17, 2020",1,2020-04-17
SVK,Europe,Slovakia,2020-04-18,1049.0,72.0,9.0,1.0,192.137,13.188,1.648,0.183,3323.0,44276.0,8.11,0.609,2407.0,0.441,0.02,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-18,Slovakia,SVK,"Apr 18, 2020",1,2020-04-18
SVK,Europe,Slovakia,2020-04-19,1089.0,40.0,11.0,2.0,199.464,7.326,2.015,0.366,2458.0,46734.0,8.56,0.45,2569.0,0.471,0.02,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-19,Slovakia,SVK,"Apr 19, 2020",1,2020-04-19
SVK,Europe,Slovakia,2020-04-20,1161.0,72.0,12.0,1.0,212.651,13.188,2.198,0.183,2694.0,49428.0,9.053,0.493,2768.0,0.507,0.022000000000000002,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-20,Slovakia,SVK,"Apr 20, 2020",1,2020-04-20
SVK,Europe,Slovakia,2020-04-21,1173.0,12.0,13.0,1.0,214.849,2.198,2.381,0.183,4465.0,53893.0,9.871,0.818,3200.0,0.586,0.018000000000000002,tests performed,75.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-21,Slovakia,SVK,"Apr 21, 2020",1,2020-04-21
SVK,Europe,Slovakia,2020-04-24,1325.0,81.0,15.0,1.0,242.69,14.836,2.747,0.183,3840.0,61261.0,11.221,0.703,2901.0,0.531,0.017,tests performed,73.15,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-24,Slovakia,SVK,"Apr 24, 2020",1,2020-04-24
SVK,Europe,Slovakia,2020-04-25,1360.0,35.0,17.0,2.0,249.101,6.411,3.114,0.366,4828.0,66089.0,12.105,0.884,3116.0,0.571,0.013999999999999999,tests performed,73.15,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-25,Slovakia,SVK,"Apr 25, 2020",1,2020-04-25
SVK,Europe,Slovakia,2020-04-26,1373.0,13.0,17.0,0.0,251.482,2.381,3.114,0.0,4839.0,70928.0,12.991,0.886,3456.0,0.633,0.012,tests performed,73.15,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-26,Slovakia,SVK,"Apr 26, 2020",1,2020-04-26
SVK,Europe,Slovakia,2020-04-27,1379.0,6.0,18.0,1.0,252.581,1.099,3.297,0.183,3171.0,74099.0,13.572,0.581,3524.0,0.645,0.009000000000000001,tests performed,73.15,5459643.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,77.54,2020-04-27,Slovakia,SVK,"Apr 27, 2020",1,2020-04-27
