iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
SVN,Europe,Slovenia,2020-03-19,286.0,11.0,1.0,0.0,137.571,5.291,0.481,0.0,1184.0,10768.0,5.18,0.57,986.0,0.474,0.033,tests performed,67.59,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-19,Slovenia,SVN,"Mar 19, 2020",1,2020-03-19
SVN,Europe,Slovenia,2020-03-20,319.0,33.0,1.0,0.0,153.444,15.874,0.481,0.0,1242.0,12010.0,5.777,0.597,993.0,0.478,0.032,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-20,Slovenia,SVN,"Mar 20, 2020",1,2020-03-20
SVN,Europe,Slovenia,2020-03-21,341.0,22.0,1.0,0.0,164.027,10.582,0.481,0.0,872.0,12882.0,6.196,0.419,987.0,0.475,0.028999999999999998,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-21,Slovenia,SVN,"Mar 21, 2020",1,2020-03-21
SVN,Europe,Slovenia,2020-03-22,383.0,42.0,1.0,0.0,184.229,20.203,0.481,0.0,731.0,13613.0,6.548,0.352,1007.0,0.484,0.028999999999999998,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-22,Slovenia,SVN,"Mar 22, 2020",1,2020-03-22
SVN,Europe,Slovenia,2020-03-23,414.0,31.0,1.0,0.0,199.141,14.912,0.481,0.0,1257.0,14870.0,7.153,0.605,1062.0,0.511,0.026000000000000002,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-23,Slovenia,SVN,"Mar 23, 2020",1,2020-03-23
SVN,Europe,Slovenia,2020-03-24,442.0,28.0,1.0,0.0,212.609,13.468,0.481,0.0,1243.0,16113.0,7.751,0.598,1079.0,0.519,0.025,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-24,Slovenia,SVN,"Mar 24, 2020",1,2020-03-24
SVN,Europe,Slovenia,2020-03-25,480.0,38.0,3.0,2.0,230.888,18.279,1.443,0.962,1181.0,17294.0,8.319,0.568,1101.0,0.53,0.027000000000000003,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-25,Slovenia,SVN,"Mar 25, 2020",1,2020-03-25
SVN,Europe,Slovenia,2020-03-26,528.0,48.0,4.0,1.0,253.977,23.089,1.924,0.481,1075.0,18369.0,8.836,0.517,1086.0,0.522,0.032,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-26,Slovenia,SVN,"Mar 26, 2020",1,2020-03-26
SVN,Europe,Slovenia,2020-03-27,577.0,49.0,5.0,1.0,277.546,23.57,2.405,0.481,1387.0,19756.0,9.503,0.667,1107.0,0.532,0.033,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-27,Slovenia,SVN,"Mar 27, 2020",1,2020-03-27
SVN,Europe,Slovenia,2020-03-28,632.0,55.0,9.0,4.0,304.002,26.456,4.329,1.924,997.0,20753.0,9.983,0.48,1124.0,0.541,0.037000000000000005,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-28,Slovenia,SVN,"Mar 28, 2020",1,2020-03-28
SVN,Europe,Slovenia,2020-03-29,691.0,59.0,9.0,0.0,332.382,28.38,4.329,0.0,596.0,21349.0,10.269,0.287,1105.0,0.532,0.04,tests performed,78.7,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-29,Slovenia,SVN,"Mar 29, 2020",1,2020-03-29
SVN,Europe,Slovenia,2020-03-30,730.0,39.0,11.0,2.0,351.142,18.76,5.291,0.962,1125.0,22474.0,10.81,0.541,1086.0,0.522,0.042,tests performed,89.81,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-30,Slovenia,SVN,"Mar 30, 2020",1,2020-03-30
SVN,Europe,Slovenia,2020-03-31,763.0,33.0,11.0,0.0,367.015,15.874,5.291,0.0,1288.0,23762.0,11.43,0.62,1093.0,0.526,0.042,tests performed,89.81,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-03-31,Slovenia,SVN,"Mar 31, 2020",1,2020-03-31
SVN,Europe,Slovenia,2020-04-01,814.0,51.0,13.0,2.0,391.547,24.532,6.253,0.962,1095.0,24857.0,11.957,0.527,1080.0,0.519,0.044000000000000004,tests performed,89.81,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-04-01,Slovenia,SVN,"Apr 1, 2020",1,2020-04-01
SVN,Europe,Slovenia,2020-04-02,841.0,27.0,15.0,2.0,404.535,12.987,7.215,0.962,1064.0,25921.0,12.468,0.512,1079.0,0.519,0.040999999999999995,tests performed,89.81,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-04-02,Slovenia,SVN,"Apr 2, 2020",1,2020-04-02
SVN,Europe,Slovenia,2020-04-03,897.0,56.0,16.0,1.0,431.472,26.937,7.696,0.481,1188.0,27109.0,13.04,0.571,1050.0,0.505,0.044000000000000004,tests performed,89.81,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-04-03,Slovenia,SVN,"Apr 3, 2020",1,2020-04-03
SVN,Europe,Slovenia,2020-04-04,934.0,37.0,20.0,4.0,449.269,17.798,9.62,1.924,655.0,27764.0,13.355,0.315,1002.0,0.482,0.043,tests performed,89.81,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,81.32,2020-04-04,Slovenia,SVN,"Apr 4, 2020",1,2020-04-04
