iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ZAF,Africa,South Africa,2020-03-13,17.0,4.0,0.0,0.0,0.287,0.067,0.0,0.0,76.0,924.0,0.016,0.001,103.0,0.002,0.022000000000000002,people tested,13.89,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-13,South Africa,ZAF,"Mar 13, 2020",0,2020-03-13
ZAF,Africa,South Africa,2020-03-14,24.0,7.0,0.0,0.0,0.405,0.118,0.0,0.0,93.0,1017.0,0.017,0.002,111.0,0.002,0.03,people tested,13.89,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-14,South Africa,ZAF,"Mar 14, 2020",0,2020-03-14
ZAF,Africa,South Africa,2020-03-15,24.0,0.0,0.0,0.0,0.405,0.0,0.0,0.0,459.0,1476.0,0.025,0.008,162.0,0.003,0.019,people tested,19.44,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-15,South Africa,ZAF,"Mar 15, 2020",0,2020-03-15
ZAF,Africa,South Africa,2020-03-16,51.0,27.0,0.0,0.0,0.86,0.455,0.0,0.0,929.0,2405.0,0.041,0.016,280.0,0.005,0.024,people tested,38.89,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-16,South Africa,ZAF,"Mar 16, 2020",0,2020-03-16
ZAF,Africa,South Africa,2020-03-17,62.0,11.0,0.0,0.0,1.045,0.185,0.0,0.0,506.0,2911.0,0.049,0.009,338.0,0.006,0.023,people tested,38.89,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-17,South Africa,ZAF,"Mar 17, 2020",0,2020-03-17
ZAF,Africa,South Africa,2020-03-18,85.0,23.0,0.0,0.0,1.433,0.388,0.0,0.0,159.0,3070.0,0.052,0.003,346.0,0.006,0.032,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-18,South Africa,ZAF,"Mar 18, 2020",0,2020-03-18
ZAF,Africa,South Africa,2020-03-19,116.0,31.0,0.0,0.0,1.956,0.523,0.0,0.0,1762.0,4832.0,0.081,0.03,569.0,0.01,0.026000000000000002,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-19,South Africa,ZAF,"Mar 19, 2020",0,2020-03-19
ZAF,Africa,South Africa,2020-03-20,150.0,34.0,0.0,0.0,2.529,0.573,0.0,0.0,1606.0,6438.0,0.109,0.027,788.0,0.013,0.024,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-20,South Africa,ZAF,"Mar 20, 2020",0,2020-03-20
ZAF,Africa,South Africa,2020-03-21,205.0,55.0,0.0,0.0,3.456,0.927,0.0,0.0,987.0,7425.0,0.125,0.017,915.0,0.015,0.027999999999999997,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-21,South Africa,ZAF,"Mar 21, 2020",0,2020-03-21
ZAF,Africa,South Africa,2020-03-22,240.0,35.0,0.0,0.0,4.047,0.59,0.0,0.0,1890.0,9315.0,0.157,0.032,1120.0,0.019,0.027999999999999997,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-22,South Africa,ZAF,"Mar 22, 2020",0,2020-03-22
ZAF,Africa,South Africa,2020-03-23,274.0,34.0,0.0,0.0,4.62,0.573,0.0,0.0,3500.0,12815.0,0.216,0.059,1487.0,0.025,0.021,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-23,South Africa,ZAF,"Mar 23, 2020",0,2020-03-23
ZAF,Africa,South Africa,2020-03-24,402.0,128.0,0.0,0.0,6.778,2.158,0.0,0.0,2714.0,15529.0,0.262,0.046,1803.0,0.03,0.027000000000000003,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-24,South Africa,ZAF,"Mar 24, 2020",0,2020-03-24
ZAF,Africa,South Africa,2020-03-27,927.0,218.0,2.0,2.0,15.63,3.676,0.034,0.034,8066.0,28537.0,0.481,0.136,3157.0,0.053,0.035,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-27,South Africa,ZAF,"Mar 27, 2020",2,2020-03-27
ZAF,Africa,South Africa,2020-03-28,1170.0,243.0,2.0,0.0,19.727,4.097,0.034,0.0,3426.0,31963.0,0.539,0.058,3505.0,0.059,0.039,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,64.13,2020-03-28,South Africa,ZAF,"Mar 28, 2020",2,2020-03-28
